Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,MIA vs. DEN,MIA,DEN,Home,L,10.44,4,2,5,40.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-11
2025-01-02,MIA vs. IND,MIA,IND,Home,L,10.5,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,-15
2025-01-01,MIA vs. NOP,MIA,NOP,Home,W,9.25,2,0,1,0.0,0,1,0.0,2,2,100.0,0,1,1,0,0,0,0,0,8
2024-12-20,MIA vs. OKC,MIA,OKC,Home,L,7.19,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-3
2024-12-16,MIA @ DET,MIA,DET,Away,L,12.0,7,3,5,60.0,1,2,50.0,0,1,0.0,1,1,2,4,1,0,0,0,-1
2024-12-12,MIA vs. TOR,MIA,TOR,Home,W,12.0,3,0,2,0.0,0,0,0.0,3,4,75.0,1,2,3,1,0,1,1,0,-4
2024-12-08,MIA vs. CLE,MIA,CLE,Home,W,10.2,6,3,4,75.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,0,-4
2024-12-07,MIA vs. PHX,MIA,PHX,Home,W,10.5,8,3,5,60.0,0,0,0.0,2,2,100.0,1,1,2,2,0,0,1,0,-1
2024-12-04,MIA vs. LAL,MIA,LAL,Home,W,12.0,7,3,6,50.0,1,1,100.0,0,1,0.0,5,0,5,2,1,1,0,0,8
2024-12-01,MIA @ TOR,MIA,TOR,Away,L,10.1,0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,0,1,-10
2024-11-29,MIA vs. TOR,MIA,TOR,Home,W,10.08,6,2,3,66.7,0,1,0.0,2,3,66.7,0,1,1,1,0,0,0,0,0
2024-11-27,MIA @ CHA,MIA,CHA,Away,W,8.45,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1
2024-11-26,MIA vs. MIL,MIA,MIL,Home,L,11.01,7,1,3,33.3,0,0,0.0,5,6,83.3,0,0,0,1,0,0,0,0,-10
2024-11-24,MIA vs. DAL,MIA,DAL,Home,W,8.42,6,1,2,50.0,0,0,0.0,4,7,57.1,1,0,1,1,0,0,0,0,-4
2024-11-18,MIA vs. PHI,MIA,PHI,Home,W,9.07,11,5,6,83.3,0,0,0.0,1,1,100.0,1,1,2,0,1,0,0,0,2
2024-11-08,MIA @ DEN,MIA,DEN,Away,L,6.44,2,1,2,50.0,0,1,0.0,0,0,0.0,1,0,1,2,0,0,1,0,-10
2024-11-06,MIA @ PHX,MIA,PHX,Away,L,7.32,3,1,2,50.0,0,0,0.0,1,1,100.0,1,1,2,0,0,0,0,0,5
2024-11-04,MIA vs. SAC,MIA,SAC,Home,L,7.44,0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,1,1,1
2024-11-02,MIA @ WAS,MIA,WAS,Away,W,8.47,5,1,1,100.0,0,0,0.0,3,3,100.0,1,0,1,1,0,0,1,0,5
2024-10-30,MIA vs. NYK,MIA,NYK,Home,L,7.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,0,-5
2024-10-28,MIA vs. DET,MIA,DET,Home,W,8.12,4,1,2,50.0,0,0,0.0,2,2,100.0,0,0,0,3,0,0,0,1,2
2024-10-26,MIA @ CHA,MIA,CHA,Away,W,9.48,0,0,2,0.0,0,0,0.0,0,1,0.0,1,2,3,2,0,0,0,1,-9
2024-10-23,MIA vs. ORL,MIA,ORL,Home,L,8.53,1,0,4,0.0,0,1,0.0,1,2,50.0,1,2,3,3,1,0,0,0,0
