Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-07,PHX @ CHA,PHX,CHA,Away,L,6.09,6,2,4,50.0,2,2,100.0,0,0,0.0,0,2,2,1,0,0,1,1,0
2025-01-06,PHX @ PHI,PHX,PHI,Away,W,6.03,4,1,2,50.0,0,0,0.0,2,2,100.0,1,5,6,0,0,0,1,0,2
2024-12-27,PHX vs. DAL,PHX,DAL,Home,L,6.46,0,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,2,1,0,0,0,-5
2024-12-25,PHX vs. DEN,PHX,DEN,Home,W,7.17,7,3,3,100.0,1,1,100.0,0,0,0.0,0,3,3,0,0,0,1,2,3
2024-12-23,PHX @ DEN,PHX,DEN,Away,L,5.22,3,1,2,50.0,1,1,100.0,0,0,0.0,0,1,1,2,1,0,1,2,3
2024-12-21,PHX vs. DET,PHX,DET,Home,L,5.57,2,0,2,0.0,0,0,0.0,2,2,100.0,0,1,1,1,0,0,0,1,-8
2024-12-19,PHX vs. IND,PHX,IND,Home,L,7.27,4,2,3,66.7,0,0,0.0,0,0,0.0,0,4,4,0,0,0,0,0,-7
2024-12-15,PHX vs. POR,PHX,POR,Home,W,6.26,3,1,3,33.3,0,0,0.0,1,2,50.0,2,2,4,1,0,0,1,0,8
2024-12-13,PHX @ UTA,PHX,UTA,Away,W,5.42,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,2,2,-2
2024-11-27,PHX vs. BKN,PHX,BKN,Home,L,4.59,3,1,1,100.0,0,0,0.0,1,1,100.0,0,2,2,0,0,0,1,2,1
2024-11-26,PHX vs. LAL,PHX,LAL,Home,W,7.32,0,0,3,0.0,0,2,0.0,0,0,0.0,1,2,3,2,0,0,0,0,0
2024-11-20,PHX vs. NYK,PHX,NYK,Home,L,7.47,5,2,2,100.0,1,1,100.0,0,0,0.0,1,1,2,0,0,0,0,0,-16
2024-11-17,PHX @ MIN,PHX,MIN,Away,L,2.53,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,2,8
2024-11-15,PHX @ OKC,PHX,OKC,Away,L,8.04,1,0,1,0.0,0,0,0.0,1,2,50.0,0,3,3,0,0,0,1,1,-2
2024-11-13,PHX @ SAC,PHX,SAC,Away,L,7.49,0,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,1,2,0,2,1,-8
2024-11-10,PHX vs. SAC,PHX,SAC,Home,L,8.51,0,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,0,0,0,0,0,-3
2024-11-08,PHX @ DAL,PHX,DAL,Away,W,8.56,6,2,4,50.0,2,3,66.7,0,0,0.0,0,3,3,0,0,0,0,0,1
2024-11-06,PHX vs. MIA,PHX,MIA,Home,W,7.28,6,2,4,50.0,0,0,0.0,2,2,100.0,1,4,5,0,0,0,0,1,2
2024-11-04,PHX vs. PHI,PHX,PHI,Home,W,6.26,5,2,4,50.0,1,3,33.3,0,0,0.0,0,3,3,1,2,0,1,1,7
2024-11-02,PHX vs. POR,PHX,POR,Home,W,7.29,0,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,1
2024-10-31,PHX @ LAC,PHX,LAC,Away,W,8.47,2,0,2,0.0,0,1,0.0,2,2,100.0,0,1,1,0,0,0,1,0,-14
2024-10-28,PHX vs. LAL,PHX,LAL,Home,W,6.44,2,1,4,25.0,0,1,0.0,0,1,0.0,0,1,1,0,0,0,0,0,-18
2024-10-26,PHX vs. DAL,PHX,DAL,Home,W,8.21,2,0,2,0.0,0,1,0.0,2,2,100.0,0,3,3,0,0,0,1,0,2
2024-10-25,PHX @ LAL,PHX,LAL,Away,L,6.32,2,1,1,100.0,0,0,0.0,0,0,0.0,0,3,3,3,0,0,1,2,5
2024-10-23,PHX @ LAC,PHX,LAC,Away,W,3.13,2,0,0,0.0,0,0,0.0,2,4,50.0,0,1,1,0,0,0,0,2,-2
