Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,IND vs. PHI,IND,PHI,Home,W,6.33,1,0,1,0.0,0,0,0.0,1,2,50.0,0,0,0,0,0,0,0,1,-1
2025-01-16,IND @ DET,IND,DET,Away,W,6.59,2,1,3,33.3,0,0,0.0,0,0,0.0,0,2,2,3,1,0,0,0,4
2025-01-14,IND vs. CLE,IND,CLE,Home,L,10.32,12,5,7,71.4,2,2,100.0,0,0,0.0,0,1,1,1,0,0,0,1,-7
2025-01-12,IND @ CLE,IND,CLE,Away,W,7.57,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,0,0,1,0,0,-3
2025-01-10,IND vs. GSW,IND,GSW,Home,W,6.38,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4
2025-01-08,IND vs. CHI,IND,CHI,Home,W,7.09,7,3,3,100.0,1,1,100.0,0,0,0.0,1,1,2,1,0,0,1,0,3
2025-01-06,IND @ BKN,IND,BKN,Away,W,5.19,4,1,3,33.3,0,1,0.0,2,2,100.0,0,3,3,0,0,0,0,0,1
2025-01-04,IND vs. PHX,IND,PHX,Home,W,7.15,4,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,4
2025-01-02,IND @ MIA,IND,MIA,Away,W,6.39,4,2,2,100.0,0,0,0.0,0,0,0.0,0,4,4,2,0,0,0,0,7
2024-12-31,IND vs. MIL,IND,MIL,Home,L,6.49,3,1,3,33.3,1,1,100.0,0,0,0.0,0,2,2,1,0,0,1,2,-4
2024-12-29,IND @ BOS,IND,BOS,Away,W,8.24,6,3,4,75.0,0,1,0.0,0,0,0.0,0,4,4,2,1,0,1,1,7
2024-12-27,IND @ BOS,IND,BOS,Away,L,7.54,5,2,5,40.0,1,2,50.0,0,0,0.0,2,3,5,0,0,0,0,0,-7
2024-12-26,IND vs. OKC,IND,OKC,Home,L,7.29,10,3,6,50.0,3,4,75.0,1,2,50.0,1,3,4,0,0,0,0,1,9
2024-12-23,IND @ GSW,IND,GSW,Away,W,8.01,7,3,4,75.0,1,1,100.0,0,0,0.0,0,1,1,0,1,0,0,0,3
