Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,DEN @ MIA,DEN,MIA,Away,W,10.44,8,3,5,60.0,2,3,66.7,0,0,0.0,0,0,0,4,0,0,0,0,11
2025-01-15,DEN vs. HOU,DEN,HOU,Home,L,7.04,3,1,3,33.3,1,2,50.0,0,0,0.0,0,1,1,0,1,0,4,0,-5
2025-01-14,DEN @ DAL,DEN,DAL,Away,W,9.02,3,1,3,33.3,1,1,100.0,0,0,0.0,0,0,0,0,2,1,1,1,15
2025-01-12,DEN @ DAL,DEN,DAL,Away,W,8.28,2,1,3,33.3,0,1,0.0,0,0,0.0,1,1,2,1,1,0,0,1,-14
2025-01-10,DEN vs. BKN,DEN,BKN,Home,W,7.44,5,2,5,40.0,0,1,0.0,1,3,33.3,2,1,3,1,0,0,1,0,-4
2025-01-08,DEN vs. LAC,DEN,LAC,Home,W,9.51,5,2,4,50.0,1,2,50.0,0,0,0.0,1,3,4,3,0,0,2,0,15
2025-01-07,DEN vs. BOS,DEN,BOS,Home,L,10.12,6,2,4,50.0,2,2,100.0,0,0,0.0,0,3,3,2,0,1,2,1,-6
2025-01-04,DEN @ SAS,DEN,SAS,Away,W,8.1,2,1,2,50.0,0,0,0.0,0,0,0.0,2,2,4,1,2,0,0,0,-1
2025-01-03,DEN vs. SAS,DEN,SAS,Home,L,8.3,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,0,-8
2025-01-01,DEN vs. ATL,DEN,ATL,Home,W,4.08,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,2,7
2024-12-30,DEN @ UTA,DEN,UTA,Away,W,9.19,4,2,2,100.0,0,0,0.0,0,0,0.0,1,2,3,4,0,0,0,0,5
2024-12-28,DEN vs. DET,DEN,DET,Home,W,6.58,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,2,0,2,2,2
2024-12-27,DEN vs. CLE,DEN,CLE,Home,L,9.02,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-2
2024-12-25,DEN @ PHX,DEN,PHX,Away,L,6.21,7,3,5,60.0,0,1,0.0,1,1,100.0,1,1,2,1,0,0,0,1,5
2024-12-23,DEN vs. PHX,DEN,PHX,Home,W,8.2,0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,2,1,0,0,0,-3
2024-12-22,DEN @ NOP,DEN,NOP,Away,W,4.55,4,1,2,50.0,0,1,0.0,2,4,50.0,1,0,1,0,0,0,2,0,2
2024-12-19,DEN @ POR,DEN,POR,Away,L,6.12,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,2,0,8
2024-12-16,DEN @ SAC,DEN,SAC,Away,W,9.28,2,1,2,50.0,0,0,0.0,0,0,0.0,2,2,4,4,1,0,1,1,19
2024-12-13,DEN vs. LAC,DEN,LAC,Home,W,4.22,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,1,0,3
2024-12-08,DEN @ ATL,DEN,ATL,Away,W,8.12,5,2,2,100.0,1,1,100.0,0,1,0.0,0,0,0,1,0,0,1,1,7
2024-12-07,DEN @ WAS,DEN,WAS,Away,L,8.15,4,2,2,100.0,0,0,0.0,0,0,0.0,0,1,1,2,0,1,1,1,-9
2024-12-05,DEN @ CLE,DEN,CLE,Away,L,6.35,6,3,5,60.0,0,1,0.0,0,0,0.0,1,0,1,1,1,0,0,0,-5
2024-12-03,DEN vs. GSW,DEN,GSW,Home,W,6.19,7,3,3,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,1,2,4
2024-12-01,DEN @ LAC,DEN,LAC,Away,L,6.06,2,0,3,0.0,0,2,0.0,2,2,100.0,0,0,0,2,0,0,0,0,-3
2024-11-27,DEN @ UTA,DEN,UTA,Away,W,4.23,5,2,2,100.0,1,1,100.0,0,0,0.0,0,0,0,4,1,1,0,0,11
2024-11-25,DEN vs. NYK,DEN,NYK,Home,L,3.58,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-10
2024-11-23,DEN @ LAL,DEN,LAL,Away,W,3.37,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,5,0,0,0,0,7
2024-11-22,DEN vs. DAL,DEN,DAL,Home,L,4.45,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,1,0,5
2024-11-19,DEN @ MEM,DEN,MEM,Away,W,4.01,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,3,1,0,1,1,-3
2024-11-17,DEN @ MEM,DEN,MEM,Away,L,4.04,3,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0,0,0,0,0,0,-7
2024-11-15,DEN @ NOP,DEN,NOP,Away,L,3.03,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-8
2024-11-10,DEN vs. DAL,DEN,DAL,Home,W,3.24,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-3
2024-11-08,DEN vs. MIA,DEN,MIA,Home,W,3.37,3,1,1,100.0,1,1,100.0,0,0,0.0,0,2,2,2,0,0,1,0,7
2024-11-06,DEN vs. OKC,DEN,OKC,Home,W,10.07,9,3,4,75.0,1,2,50.0,2,2,100.0,0,2,2,1,0,0,1,1,-1
2024-11-04,DEN vs. TOR,DEN,TOR,Home,W,10.35,7,2,2,100.0,1,1,100.0,2,4,50.0,0,1,1,1,1,0,2,0,5
2024-11-02,DEN vs. UTA,DEN,UTA,Home,W,10.01,2,1,3,33.3,0,2,0.0,0,4,0.0,1,1,2,0,3,0,2,0,10
2024-11-01,DEN @ MIN,DEN,MIN,Away,L,4.08,0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,3,0,0,0,0,-8
2024-10-29,DEN @ BKN,DEN,BKN,Away,W,4.13,4,1,1,100.0,0,0,0.0,2,2,100.0,0,0,0,2,0,0,0,0,-8
2024-10-28,DEN @ TOR,DEN,TOR,Away,W,3.33,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-4
2024-10-26,DEN vs. LAC,DEN,LAC,Home,L,3.02,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-7
2024-10-24,DEN vs. OKC,DEN,OKC,Home,L,6.0,1,0,1,0.0,0,1,0.0,1,2,50.0,0,1,1,2,0,0,1,0,-15
