Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,GSW vs. WAS,GSW,WAS,Home,W,9.08,3,1,4,25.0,1,3,33.3,0,0,0.0,1,2,3,1,0,0,0,0,-2
2025-01-15,GSW @ MIN,GSW,MIN,Away,W,9.25,12,4,6,66.7,4,4,100.0,0,0,0.0,0,0,0,3,0,0,0,0,19
2025-01-13,GSW @ TOR,GSW,TOR,Away,L,10.24,8,2,7,28.6,2,5,40.0,2,2,100.0,1,0,1,1,1,0,0,0,-5
2025-01-09,GSW @ DET,GSW,DET,Away,W,9.31,6,3,6,50.0,0,3,0.0,0,0,0.0,1,2,3,2,2,0,1,0,1
2025-01-07,GSW vs. MIA,GSW,MIA,Home,L,9.17,8,3,7,42.9,2,5,40.0,0,0,0.0,0,3,3,0,0,2,1,1,-1
2025-01-05,GSW vs. SAC,GSW,SAC,Home,L,9.07,5,2,3,66.7,1,2,50.0,0,0,0.0,0,3,3,0,1,0,1,1,-10
2025-01-02,GSW vs. PHI,GSW,PHI,Home,W,9.07,3,1,3,33.3,1,1,100.0,0,0,0.0,1,1,2,3,1,0,1,0,12
2024-12-30,GSW vs. CLE,GSW,CLE,Home,L,8.1,2,1,4,25.0,0,3,0.0,0,0,0.0,0,0,0,2,0,0,1,0,6
2024-12-28,GSW vs. PHX,GSW,PHX,Home,W,8.17,8,3,5,60.0,2,4,50.0,0,0,0.0,1,2,3,3,0,0,0,1,7
2024-12-25,GSW vs. LAL,GSW,LAL,Home,L,9.34,5,2,3,66.7,1,1,100.0,0,0,0.0,0,1,1,2,0,0,1,0,5
2024-12-23,GSW vs. IND,GSW,IND,Home,L,8.01,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,1,1,1,-3
2024-12-21,GSW @ MIN,GSW,MIN,Away,W,8.51,3,1,4,25.0,1,4,25.0,0,0,0.0,0,0,0,3,1,0,0,0,13
2024-12-19,GSW @ MEM,GSW,MEM,Away,L,7.59,0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,1,1,1,1,0,-19
2024-12-15,GSW vs. DAL,GSW,DAL,Home,L,9.28,6,2,3,66.7,2,3,66.7,0,0,0.0,0,1,1,1,0,0,1,1,-15
2024-12-11,GSW @ HOU,GSW,HOU,Away,L,8.06,6,2,3,66.7,2,3,66.7,0,0,0.0,0,1,1,2,1,0,0,0,3
2024-12-08,GSW vs. MIN,GSW,MIN,Home,W,8.3,4,1,4,25.0,1,3,33.3,1,1,100.0,0,1,1,3,1,0,1,0,-4
2024-12-06,GSW vs. MIN,GSW,MIN,Home,L,8.16,5,1,2,50.0,0,1,0.0,3,3,100.0,0,0,0,2,0,0,0,0,5
2024-12-03,GSW @ DEN,GSW,DEN,Away,L,7.48,5,2,6,33.3,1,3,33.3,0,0,0.0,0,1,1,4,0,0,0,0,2
2024-11-30,GSW @ PHX,GSW,PHX,Away,L,7.58,2,0,2,0.0,0,1,0.0,2,3,66.7,0,1,1,1,0,0,0,1,1
2024-11-25,GSW vs. BKN,GSW,BKN,Home,L,10.3,9,3,4,75.0,3,4,75.0,0,0,0.0,0,0,0,2,0,0,1,0,-3
2024-11-23,GSW @ SAS,GSW,SAS,Away,L,8.07,5,2,4,50.0,1,1,100.0,0,0,0.0,2,1,3,1,0,0,0,1,7
2024-11-22,GSW @ NOP,GSW,NOP,Away,W,9.23,5,2,3,66.7,1,2,50.0,0,0,0.0,0,2,2,4,1,0,1,0,1
2024-11-20,GSW vs. ATL,GSW,ATL,Home,W,8.22,6,2,3,66.7,1,1,100.0,1,1,100.0,0,1,1,3,0,0,1,0,12
2024-11-18,GSW @ LAC,GSW,LAC,Away,L,8.5,3,1,4,25.0,1,4,25.0,0,0,0.0,0,2,2,0,0,0,2,0,-11
2024-11-15,GSW vs. MEM,GSW,MEM,Home,W,11.23,2,0,1,0.0,0,1,0.0,2,2,100.0,0,5,5,1,0,0,1,0,3
2024-11-12,GSW vs. DAL,GSW,DAL,Home,W,9.58,12,5,8,62.5,2,3,66.7,0,0,0.0,0,2,2,1,0,2,0,1,6
2024-11-10,GSW @ OKC,GSW,OKC,Away,W,9.21,5,2,5,40.0,1,3,33.3,0,0,0.0,1,1,2,2,0,0,1,1,-2
2024-11-08,GSW @ CLE,GSW,CLE,Away,L,8.37,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,1,0,2,0,-15
2024-11-06,GSW @ BOS,GSW,BOS,Away,W,9.3,3,1,2,50.0,0,0,0.0,1,1,100.0,0,1,1,3,0,0,2,0,-3
2024-11-04,GSW @ WAS,GSW,WAS,Away,W,5.31,3,1,2,50.0,1,2,50.0,0,0,0.0,0,2,2,3,0,0,0,0,7
2024-10-27,GSW vs. LAC,GSW,LAC,Home,L,8.58,6,2,3,66.7,2,3,66.7,0,0,0.0,0,1,1,4,0,1,2,1,3
2024-10-25,GSW @ UTA,GSW,UTA,Away,W,10.08,7,2,7,28.6,1,5,20.0,2,2,100.0,0,0,0,1,0,0,1,1,4
2024-10-23,GSW @ POR,GSW,POR,Away,W,8.41,4,0,4,0.0,0,3,0.0,4,4,100.0,0,3,3,2,0,0,0,0,-3
