Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-15,LAL vs. MIA,LAL,MIA,Home,W,8.15,2,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,0,1,1,1,0,-4
2025-01-13,LAL vs. SAS,LAL,SAS,Home,L,3.01,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,6
2025-01-07,LAL @ DAL,LAL,DAL,Away,L,7.18,2,0,3,0.0,0,0,0.0,2,2,100.0,0,3,3,2,0,1,0,0,-4
2025-01-05,LAL @ HOU,LAL,HOU,Away,L,6.34,6,3,3,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0
2025-01-03,LAL vs. ATL,LAL,ATL,Home,W,7.58,7,3,5,60.0,0,2,0.0,1,1,100.0,1,3,4,0,1,1,2,1,5
2024-12-31,LAL vs. CLE,LAL,CLE,Home,L,7.3,5,2,6,33.3,1,2,50.0,0,0,0.0,0,1,1,0,1,1,0,0,-3
2024-12-28,LAL vs. SAC,LAL,SAC,Home,W,6.39,7,2,3,66.7,0,0,0.0,3,5,60.0,2,4,6,1,0,0,0,2,-3
2024-12-23,LAL vs. DET,LAL,DET,Home,L,7.52,6,2,3,66.7,0,1,0.0,2,2,100.0,0,1,1,1,0,1,0,0,6
2024-12-21,LAL @ SAC,LAL,SAC,Away,W,7.15,2,0,2,0.0,0,0,0.0,2,2,100.0,0,4,4,1,0,1,1,0,-2
2024-12-19,LAL @ SAC,LAL,SAC,Away,W,8.06,3,1,3,33.3,0,0,0.0,1,3,33.3,1,2,3,1,0,2,2,0,-1
2024-12-15,LAL vs. MEM,LAL,MEM,Home,W,7.34,10,4,4,100.0,0,0,0.0,2,4,50.0,0,3,3,2,0,0,0,2,7
2024-12-13,LAL @ MIN,LAL,MIN,Away,L,7.56,7,3,6,50.0,0,0,0.0,1,3,33.3,1,1,2,1,0,0,1,1,-4
2024-12-08,LAL vs. POR,LAL,POR,Home,W,6.04,4,0,1,0.0,0,0,0.0,4,4,100.0,0,2,2,0,0,2,0,0,8
2024-12-06,LAL @ ATL,LAL,ATL,Away,L,5.51,13,5,5,100.0,0,0,0.0,3,3,100.0,1,2,3,0,0,1,2,0,3
2024-12-04,LAL @ MIA,LAL,MIA,Away,L,7.24,2,1,3,33.3,0,1,0.0,0,2,0.0,0,3,3,0,0,0,0,0,-5
2024-12-02,LAL @ MIN,LAL,MIN,Away,L,8.31,2,1,5,20.0,0,1,0.0,0,0,0.0,1,2,3,1,0,0,1,0,-4
2024-12-01,LAL @ UTA,LAL,UTA,Away,W,7.23,7,3,6,50.0,0,0,0.0,1,1,100.0,1,2,3,0,0,0,0,0,8
2024-11-29,LAL vs. OKC,LAL,OKC,Home,L,7.45,4,1,2,50.0,0,0,0.0,2,3,66.7,0,0,0,2,0,0,0,1,1
2024-11-27,LAL @ SAS,LAL,SAS,Away,W,6.57,0,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,3,0,0,1,0,-3
2024-11-26,LAL @ PHX,LAL,PHX,Away,L,6.55,5,2,3,66.7,0,0,0.0,1,2,50.0,0,3,3,2,1,0,1,1,0
2024-11-23,LAL vs. DEN,LAL,DEN,Home,L,8.02,7,3,6,50.0,0,0,0.0,1,1,100.0,0,3,3,0,1,0,1,0,-2
2024-11-21,LAL vs. ORL,LAL,ORL,Home,L,7.49,11,4,7,57.1,0,0,0.0,3,3,100.0,2,2,4,0,0,0,0,1,10
2024-11-19,LAL vs. UTA,LAL,UTA,Home,W,7.17,4,2,3,66.7,0,0,0.0,0,1,0.0,0,3,3,1,1,0,0,1,5
2024-11-16,LAL @ NOP,LAL,NOP,Away,W,7.23,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-1
2024-11-15,LAL @ SAS,LAL,SAS,Away,W,5.29,10,4,6,66.7,0,0,0.0,2,2,100.0,0,2,2,0,0,0,0,1,8
2024-11-13,LAL vs. MEM,LAL,MEM,Home,W,7.39,2,0,2,0.0,0,0,0.0,2,2,100.0,0,3,3,1,0,1,1,1,-11
2024-11-10,LAL vs. TOR,LAL,TOR,Home,W,8.24,9,2,3,66.7,0,0,0.0,5,6,83.3,1,2,3,0,1,0,0,1,3
2024-11-08,LAL vs. PHI,LAL,PHI,Home,W,6.4,7,3,4,75.0,1,1,100.0,0,0,0.0,1,0,1,0,0,1,1,2,7
2024-11-04,LAL @ DET,LAL,DET,Away,L,7.19,9,3,7,42.9,0,1,0.0,3,4,75.0,0,1,1,0,0,0,1,1,-2
2024-11-01,LAL @ TOR,LAL,TOR,Away,W,7.04,10,4,5,80.0,0,0,0.0,2,2,100.0,1,3,4,0,1,1,1,0,3
2024-10-30,LAL @ CLE,LAL,CLE,Away,L,7.57,6,2,4,50.0,0,1,0.0,2,2,100.0,1,4,5,0,0,0,0,0,-1
2024-10-28,LAL @ PHX,LAL,PHX,Away,L,7.32,4,2,3,66.7,0,1,0.0,0,0,0.0,0,1,1,0,1,0,1,0,-6
2024-10-26,LAL vs. SAC,LAL,SAC,Home,W,8.0,5,1,3,33.3,0,0,0.0,3,4,75.0,1,0,1,1,0,0,0,1,-11
2024-10-25,LAL vs. PHX,LAL,PHX,Home,W,6.54,8,3,5,60.0,0,0,0.0,2,2,100.0,0,1,1,0,0,1,0,0,9
2024-10-22,LAL vs. MIN,LAL,MIN,Home,W,7.34,6,2,4,50.0,0,1,0.0,2,2,100.0,0,2,2,0,0,0,0,0,5
