Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-04,PHI @ BKN,PHI,BKN,Away,W,4.58,2,0,1,0.0,0,0,0.0,2,2,100.0,0,2,2,1,0,0,0,2,4
2025-01-02,PHI @ GSW,PHI,GSW,Away,L,6.58,9,2,3,66.7,0,0,0.0,5,5,100.0,1,3,4,0,0,1,0,1,0
2024-12-30,PHI @ POR,PHI,POR,Away,W,12.0,14,5,7,71.4,0,0,0.0,4,4,100.0,0,2,2,1,0,0,2,1,8
2024-12-28,PHI @ UTA,PHI,UTA,Away,W,9.25,11,3,4,75.0,1,1,100.0,4,6,66.7,1,1,2,1,1,0,3,0,15
2024-12-25,PHI @ BOS,PHI,BOS,Away,W,6.39,10,4,4,100.0,2,2,100.0,0,0,0.0,1,1,2,0,0,0,0,2,-4
2024-12-23,PHI vs. SAS,PHI,SAS,Home,W,4.22,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,2,-4
2024-12-20,PHI vs. CHA,PHI,CHA,Home,W,7.49,2,0,2,0.0,0,0,0.0,2,2,100.0,0,0,0,3,1,0,1,0,-5
2024-12-13,PHI vs. IND,PHI,IND,Home,L,7.39,9,3,4,75.0,0,0,0.0,3,4,75.0,1,2,3,1,0,0,1,0,-4
2024-12-08,PHI @ CHI,PHI,CHI,Away,W,9.2,19,8,12,66.7,0,2,0.0,3,3,100.0,1,3,4,1,0,0,2,1,18
2024-11-20,PHI @ MEM,PHI,MEM,Away,L,6.53,5,2,4,50.0,1,1,100.0,0,0,0.0,1,3,4,0,1,1,0,1,-4
2024-11-18,PHI @ MIA,PHI,MIA,Away,L,6.57,5,2,3,66.7,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,1,-12
2024-11-15,PHI @ ORL,PHI,ORL,Away,L,8.11,6,2,3,66.7,0,1,0.0,2,2,100.0,0,2,2,1,0,0,2,1,3
2024-11-12,PHI vs. NYK,PHI,NYK,Home,L,6.14,6,0,1,0.0,0,0,0.0,6,6,100.0,1,1,2,1,0,0,0,0,3
