Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,MIL vs. TOR,MIL,TOR,Home,W,7.13,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,0,4
2025-01-15,MIL vs. ORL,MIL,ORL,Home,W,6.36,7,3,4,75.0,0,0,0.0,1,2,50.0,0,1,1,2,1,0,0,0,9
2025-01-12,MIL @ NYK,MIL,NYK,Away,L,8.45,7,3,3,100.0,1,1,100.0,0,0,0.0,0,0,0,2,1,0,0,0,-2
2025-01-10,MIL @ ORL,MIL,ORL,Away,W,6.11,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
2025-01-08,MIL vs. SAS,MIL,SAS,Home,W,6.51,1,0,1,0.0,0,1,0.0,1,2,50.0,0,1,1,1,0,0,0,2,2
2025-01-04,MIL vs. POR,MIL,POR,Home,L,5.33,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0
2025-01-02,MIL vs. BKN,MIL,BKN,Home,L,7.09,8,4,5,80.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,0,-7
2024-12-31,MIL @ IND,MIL,IND,Away,W,9.02,8,2,4,50.0,1,3,33.3,3,3,100.0,1,3,4,2,0,0,2,2,-7
2024-12-28,MIL @ CHI,MIL,CHI,Away,L,8.36,9,3,4,75.0,2,2,100.0,1,1,100.0,0,1,1,2,0,0,0,1,7
2024-12-26,MIL vs. BKN,MIL,BKN,Home,L,5.55,3,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,1,1,4
2024-12-23,MIL @ CHI,MIL,CHI,Away,W,6.1,10,4,5,80.0,2,3,66.7,0,0,0.0,0,2,2,1,0,0,1,0,8
2024-12-21,MIL vs. WAS,MIL,WAS,Home,W,5.49,0,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,3,0,0,1,0,14
2024-12-20,MIL @ CLE,MIL,CLE,Away,L,6.55,5,2,3,66.7,0,0,0.0,1,2,50.0,0,0,0,0,0,0,1,0,-4
2024-12-14,MIL @ ATL,MIL,ATL,Away,W,4.52,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2,1,0,0,2,1
2024-12-10,MIL vs. ORL,MIL,ORL,Home,W,4.4,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,0,1
2024-12-08,MIL @ BKN,MIL,BKN,Away,W,4.57,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,-4
2024-12-06,MIL @ BOS,MIL,BOS,Away,L,4.47,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,1,1,1,2,7
