Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-15,PHI vs. NYK,PHI,NYK,Home,L,6.27,4,2,3,66.7,0,1,0.0,0,0,0.0,0,0,0,2,1,0,0,0,2
2025-01-12,PHI @ ORL,PHI,ORL,Away,L,12.0,4,2,5,40.0,0,1,0.0,0,0,0.0,0,4,4,2,0,0,0,0,2
2025-01-10,PHI vs. NOP,PHI,NOP,Home,L,3.47,0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,1
2025-01-06,PHI vs. PHX,PHI,PHX,Home,L,5.52,3,1,3,33.3,1,1,100.0,0,0,0.0,0,1,1,1,0,0,0,0,3
2025-01-04,PHI @ BKN,PHI,BKN,Away,W,4.58,9,3,5,60.0,1,3,33.3,2,2,100.0,0,0,0,1,2,0,1,0,4
2025-01-02,PHI @ GSW,PHI,GSW,Away,L,12.0,9,4,6,66.7,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,0,0
2025-01-01,PHI @ SAC,PHI,SAC,Away,L,7.17,6,3,4,75.0,0,1,0.0,0,0,0.0,0,2,2,3,0,0,1,0,-2
2024-12-28,PHI @ UTA,PHI,UTA,Away,W,6.19,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,1,2,0,0,0,13
2024-12-25,PHI @ BOS,PHI,BOS,Away,W,6.39,4,2,3,66.7,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,0,-4
2024-12-23,PHI vs. SAS,PHI,SAS,Home,W,7.21,3,1,3,33.3,1,3,33.3,0,0,0.0,1,2,3,1,0,0,1,0,3
2024-12-21,PHI @ CLE,PHI,CLE,Away,L,9.04,2,0,4,0.0,0,2,0.0,2,2,100.0,0,2,2,0,0,0,1,0,-9
2024-12-20,PHI vs. CHA,PHI,CHA,Home,W,8.53,0,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,2,0,-7
2024-12-16,PHI @ CHA,PHI,CHA,Away,W,9.17,5,2,4,50.0,1,2,50.0,0,1,0.0,0,0,0,1,0,0,1,1,-5
2024-12-13,PHI vs. IND,PHI,IND,Home,L,7.45,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,2,0,0,-4
2024-12-08,PHI @ CHI,PHI,CHI,Away,W,8.56,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,1,18
2024-12-06,PHI vs. ORL,PHI,ORL,Home,W,8.3,6,2,5,40.0,1,4,25.0,1,2,50.0,0,2,2,4,0,0,0,0,15
2024-12-03,PHI @ CHA,PHI,CHA,Away,W,9.01,11,4,7,57.1,3,4,75.0,0,0,0.0,1,1,2,1,0,0,0,1,1
2024-11-30,PHI @ DET,PHI,DET,Away,W,4.53,5,2,4,50.0,0,0,0.0,1,1,100.0,0,1,1,0,0,0,0,2,1
2024-11-20,PHI @ MEM,PHI,MEM,Away,L,8.06,2,1,5,20.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,1,-9
2024-11-18,PHI @ MIA,PHI,MIA,Away,L,6.04,0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,1,0,0,0,1,-7
2024-11-15,PHI @ ORL,PHI,ORL,Away,L,7.53,3,1,4,25.0,1,2,50.0,0,0,0.0,1,0,1,1,0,0,1,0,1
2024-11-12,PHI vs. NYK,PHI,NYK,Home,L,6.1,6,2,4,50.0,2,2,100.0,0,0,0.0,0,2,2,0,1,0,1,1,-2
2024-11-10,PHI vs. CHA,PHI,CHA,Home,W,8.11,4,2,4,50.0,0,2,0.0,0,0,0.0,0,1,1,1,1,0,1,1,0
2024-11-08,PHI @ LAL,PHI,LAL,Away,L,6.44,5,2,3,66.7,0,1,0.0,1,2,50.0,0,1,1,3,0,0,0,0,11
2024-11-06,PHI @ LAC,PHI,LAC,Away,L,6.31,6,2,2,100.0,0,0,0.0,2,2,100.0,1,1,2,0,0,0,0,1,-1
2024-11-04,PHI @ PHX,PHI,PHX,Away,L,6.08,10,3,4,75.0,1,2,50.0,3,3,100.0,0,3,3,0,0,0,2,1,1
