Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,DET vs. PHX,DET,PHX,Home,L,6.13,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2
2025-01-16,DET vs. IND,DET,IND,Home,L,4.35,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3,0,-3
2025-01-13,DET @ NYK,DET,NYK,Away,W,6.32,2,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-4
2025-01-11,DET vs. TOR,DET,TOR,Home,W,6.1,6,2,3,66.7,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,2,-4
2025-01-09,DET vs. GSW,DET,GSW,Home,L,8.08,4,2,3,66.7,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,2,-6
2025-01-08,DET @ BKN,DET,BKN,Away,W,7.17,5,2,5,40.0,1,2,50.0,0,0,0.0,0,2,2,1,0,0,0,0,12
2025-01-06,DET vs. POR,DET,POR,Home,W,5.57,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,3
2025-01-04,DET vs. MIN,DET,MIN,Home,W,4.18,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,3,2,0
2025-01-03,DET vs. CHA,DET,CHA,Home,W,6.15,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,-8
2025-01-01,DET vs. ORL,DET,ORL,Home,W,5.41,5,2,2,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,0,0,8
2024-12-28,DET @ DEN,DET,DEN,Away,L,7.33,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-3
2024-12-26,DET @ SAC,DET,SAC,Away,W,8.1,2,1,3,33.3,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,-1
2024-12-23,DET @ LAL,DET,LAL,Away,W,6.39,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-6
2024-12-21,DET @ PHX,DET,PHX,Away,W,6.26,0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0
2024-12-19,DET vs. UTA,DET,UTA,Home,L,7.19,6,2,5,40.0,0,0,0.0,2,2,100.0,1,0,1,0,0,1,0,0,6
2024-12-12,DET @ BOS,DET,BOS,Away,L,5.57,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,-9
2024-12-07,DET @ NYK,DET,NYK,Away,W,9.02,2,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,0,0,2
2024-12-04,DET @ BOS,DET,BOS,Away,L,8.35,8,2,4,50.0,1,2,50.0,3,3,100.0,0,1,1,2,1,0,0,1,3
2024-12-03,DET vs. MIL,DET,MIL,Home,L,8.44,9,2,2,100.0,1,1,100.0,4,4,100.0,2,1,3,1,1,0,0,2,-12
2024-11-30,DET vs. PHI,DET,PHI,Home,L,6.26,1,0,2,0.0,0,0,0.0,1,2,50.0,0,3,3,1,0,0,0,0,8
2024-11-29,DET @ IND,DET,IND,Away,W,6.19,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,1,1
2024-11-25,DET vs. TOR,DET,TOR,Home,W,8.32,7,2,4,50.0,1,3,33.3,2,2,100.0,0,1,1,0,0,0,0,0,-1
2024-11-23,DET @ ORL,DET,ORL,Away,L,6.15,3,1,1,100.0,0,0,0.0,1,2,50.0,0,1,1,0,1,0,1,0,3
2024-11-21,DET @ CHA,DET,CHA,Away,L,6.4,7,3,4,75.0,1,1,100.0,0,0,0.0,2,2,4,0,0,0,0,0,-1
2024-11-18,DET vs. CHI,DET,CHI,Home,L,5.52,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-4
