Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,ATL @ BOS,ATL,BOS,Away,W,9.06,5,2,4,50.0,0,1,0.0,1,1,100.0,0,1,1,5,1,0,2,0,13
2025-01-14,ATL vs. PHX,ATL,PHX,Home,W,9.12,7,3,5,60.0,1,1,100.0,0,0,0.0,0,0,0,2,1,0,1,0,6
2025-01-09,ATL @ PHX,ATL,PHX,Away,L,7.27,9,3,4,75.0,1,1,100.0,2,3,66.7,0,0,0,1,1,0,0,0,5
2025-01-07,ATL @ UTA,ATL,UTA,Away,W,8.37,5,2,6,33.3,1,4,25.0,0,0,0.0,0,1,1,3,0,0,0,0,0
2025-01-04,ATL @ LAC,ATL,LAC,Away,L,10.45,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,6,0,0,1,1,-11
2025-01-03,ATL @ LAL,ATL,LAL,Away,L,7.02,4,2,4,50.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,0,-2
2025-01-01,ATL @ DEN,ATL,DEN,Away,L,6.47,4,1,4,25.0,1,4,25.0,1,3,33.3,0,1,1,4,2,0,2,0,0
2024-12-29,ATL @ TOR,ATL,TOR,Away,W,9.04,8,1,3,33.3,1,2,50.0,5,5,100.0,0,0,0,0,0,1,2,1,3
2024-12-28,ATL vs. MIA,ATL,MIA,Home,W,8.55,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,4,0,0,1,0,0
2024-12-26,ATL vs. CHI,ATL,CHI,Home,W,11.06,5,2,6,33.3,1,4,25.0,0,0,0.0,0,0,0,4,1,0,1,0,3
2024-12-23,ATL vs. MIN,ATL,MIN,Home,W,7.51,4,0,3,0.0,0,1,0.0,4,4,100.0,0,0,0,1,0,0,0,0,-17
2024-12-19,ATL @ SAS,ATL,SAS,Away,L,8.43,6,1,2,50.0,1,1,100.0,3,3,100.0,0,0,0,5,2,0,0,1,6
2024-12-14,ATL @ MIL,ATL,MIL,Away,L,8.0,2,0,1,0.0,0,0,0.0,2,3,66.7,1,1,2,2,0,0,1,0,-2
2024-12-11,ATL @ NYK,ATL,NYK,Away,W,8.29,4,2,5,40.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,1,0,0
2024-12-08,ATL vs. DEN,ATL,DEN,Home,L,9.25,1,0,1,0.0,0,0,0.0,1,2,50.0,0,0,0,4,1,0,0,0,-3
2024-12-06,ATL vs. LAL,ATL,LAL,Home,W,7.59,7,1,3,33.3,1,2,50.0,4,4,100.0,0,0,0,5,0,0,0,1,-4
2024-12-04,ATL @ MIL,ATL,MIL,Away,W,9.14,6,1,5,20.0,0,1,0.0,4,4,100.0,0,2,2,2,0,0,1,1,7
2024-12-02,ATL vs. NOP,ATL,NOP,Home,W,9.04,0,0,3,0.0,0,2,0.0,0,0,0.0,1,1,2,6,0,0,3,1,-1
2024-11-30,ATL @ CHA,ATL,CHA,Away,W,8.19,6,2,3,66.7,2,2,100.0,0,0,0.0,0,2,2,1,0,0,0,0,11
2024-11-29,ATL vs. CLE,ATL,CLE,Home,W,8.56,3,1,2,50.0,0,1,0.0,1,1,100.0,0,0,0,3,0,0,2,2,-2
2024-11-27,ATL @ CLE,ATL,CLE,Away,W,9.07,6,2,6,33.3,1,4,25.0,1,1,100.0,0,1,1,5,0,0,0,0,2
2024-11-25,ATL vs. DAL,ATL,DAL,Home,L,9.16,7,2,4,50.0,0,1,0.0,3,3,100.0,0,0,0,6,0,0,0,0,5
2024-11-22,ATL @ CHI,ATL,CHI,Away,L,8.36,6,3,6,50.0,0,2,0.0,0,0,0.0,0,1,1,3,1,0,1,0,-2
2024-11-20,ATL @ GSW,ATL,GSW,Away,L,8.37,3,1,5,20.0,0,2,0.0,1,2,50.0,0,1,1,2,1,0,2,0,-5
