Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,NOP vs. UTA,NOP,UTA,Home,W,6.31,6,3,5,60.0,0,0,0.0,0,2,0.0,2,0,2,0,0,1,2,0,-12
2025-01-14,NOP @ CHI,NOP,CHI,Away,W,6.05,4,2,6,33.3,0,0,0.0,0,0,0.0,2,2,4,3,0,1,1,1,5
2025-01-12,NOP @ BOS,NOP,BOS,Away,L,5.38,8,2,4,50.0,0,0,0.0,4,4,100.0,1,0,1,0,3,0,0,0,0
2025-01-07,NOP vs. MIN,NOP,MIN,Home,L,4.59,3,1,4,25.0,0,1,0.0,1,2,50.0,1,0,1,1,1,1,1,0,5
2024-11-06,NOP vs. CLE,NOP,CLE,Home,L,0.47,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,3
2024-11-01,NOP vs. IND,NOP,IND,Home,W,9.08,6,3,5,60.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,1,1,7
2024-10-30,NOP @ GSW,NOP,GSW,Away,L,7.32,0,0,5,0.0,0,0,0.0,0,0,0.0,1,3,4,2,0,0,1,1,3
2024-10-29,NOP @ GSW,NOP,GSW,Away,L,9.0,12,5,8,62.5,0,0,0.0,2,3,66.7,2,2,4,1,0,0,3,1,-7
2024-10-27,NOP @ POR,NOP,POR,Away,L,7.52,6,2,5,40.0,0,0,0.0,2,2,100.0,1,0,1,0,0,1,1,0,-8
2024-10-25,NOP @ POR,NOP,POR,Away,W,4.56,3,1,3,33.3,0,0,0.0,1,4,25.0,2,3,5,0,0,1,0,0,3
