Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,BKN @ LAL,BKN,LAL,Away,L,9.0,4,2,2,100.0,0,0,0.0,0,0,0.0,0,2,2,1,0,1,0,2,3
2025-01-14,BKN @ POR,BKN,POR,Away,W,7.03,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,2,5
2025-01-12,BKN @ UTA,BKN,UTA,Away,L,8.0,4,2,3,66.7,0,0,0.0,0,0,0.0,1,0,1,3,0,0,0,1,4
2025-01-10,BKN @ DEN,BKN,DEN,Away,L,5.07,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,2,0,-13
2025-01-01,BKN @ TOR,BKN,TOR,Away,L,6.01,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-8
2024-12-29,BKN @ ORL,BKN,ORL,Away,L,7.21,0,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,3,0,0,0,2,-6
2024-12-26,BKN @ MIL,BKN,MIL,Away,W,6.48,2,1,2,50.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,3,1,3
2024-12-23,BKN @ MIA,BKN,MIA,Away,L,6.55,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,-2
2024-12-21,BKN vs. UTA,BKN,UTA,Home,L,8.19,3,1,4,25.0,0,0,0.0,1,2,50.0,1,0,1,1,1,0,1,0,-5
2024-12-19,BKN @ TOR,BKN,TOR,Away,W,6.38,1,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,0,0,0,1,0,-11
2024-12-16,BKN vs. CLE,BKN,CLE,Home,L,5.48,4,1,2,50.0,0,0,0.0,2,2,100.0,0,0,0,2,1,0,1,0,0
2024-12-13,BKN @ MEM,BKN,MEM,Away,L,6.34,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,1,1,3
2024-12-08,BKN vs. MIL,BKN,MIL,Home,L,3.44,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-12
2024-12-04,BKN vs. IND,BKN,IND,Home,W,6.4,2,1,1,100.0,0,0,0.0,0,0,0.0,1,2,3,2,0,0,0,0,-9
2024-11-29,BKN vs. ORL,BKN,ORL,Home,L,5.18,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,-11
2024-11-27,BKN @ PHX,BKN,PHX,Away,W,8.11,4,2,2,100.0,0,0,0.0,0,0,0.0,0,3,3,4,0,0,2,0,9
2024-11-24,BKN @ SAC,BKN,SAC,Away,W,6.08,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-2
2024-11-22,BKN @ PHI,BKN,PHI,Away,L,8.17,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,2,0,1,1,0,1
2024-11-19,BKN vs. CHA,BKN,CHA,Home,W,7.41,2,1,2,50.0,0,0,0.0,0,0,0.0,1,1,2,2,0,1,1,1,13
2024-11-17,BKN @ NYK,BKN,NYK,Away,L,8.08,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,3,0,1,3,1,-5
2024-11-15,BKN @ NYK,BKN,NYK,Away,L,5.3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,-1
2024-11-11,BKN @ NOP,BKN,NOP,Away,W,6.05,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,2,2,-3
2024-11-08,BKN @ BOS,BKN,BOS,Away,L,6.52,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,2,0,0
2024-11-03,BKN vs. DET,BKN,DET,Home,L,7.49,2,1,1,100.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,1,-2
2024-11-01,BKN vs. CHI,BKN,CHI,Home,W,8.33,4,2,2,100.0,0,0,0.0,0,0,0.0,0,3,3,4,0,0,1,1,-8
2024-10-30,BKN @ MEM,BKN,MEM,Away,W,8.24,2,1,2,50.0,0,0,0.0,0,0,0.0,2,2,4,1,0,0,1,3,8
2024-10-27,BKN vs. MIL,BKN,MIL,Home,W,8.43,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,1,-2
2024-10-25,BKN @ ORL,BKN,ORL,Away,L,8.24,7,2,2,100.0,0,0,0.0,3,4,75.0,0,2,2,1,0,1,2,2,-2
2024-10-23,BKN @ ATL,BKN,ATL,Away,L,7.44,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,2,4,-2
