Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,MIL vs. TOR,MIL,TOR,Home,W,9.09,2,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,4,0,1,0,0,-3
2025-01-15,MIL vs. ORL,MIL,ORL,Home,W,7.43,4,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,0,5
2025-01-14,MIL vs. SAC,MIL,SAC,Home,W,7.47,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,1,0,-3
2025-01-12,MIL @ NYK,MIL,NYK,Away,L,10.52,7,3,5,60.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,2,0,-5
2025-01-10,MIL @ ORL,MIL,ORL,Away,W,7.09,5,2,5,40.0,1,2,50.0,0,0,0.0,1,0,1,0,0,0,1,1,-3
2025-01-08,MIL vs. SAS,MIL,SAS,Home,W,8.43,10,3,4,75.0,2,2,100.0,2,2,100.0,0,0,0,2,0,0,1,1,-6
2025-01-06,MIL @ TOR,MIL,TOR,Away,W,7.53,15,5,5,100.0,4,4,100.0,1,1,100.0,0,3,3,0,0,0,1,0,8
2025-01-04,MIL vs. POR,MIL,POR,Home,L,8.27,0,0,4,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-2
2025-01-02,MIL vs. BKN,MIL,BKN,Home,L,8.3,4,1,2,50.0,0,0,0.0,2,3,66.7,0,0,0,1,0,0,2,0,-5
2024-12-31,MIL @ IND,MIL,IND,Away,W,12.0,6,2,5,40.0,2,4,50.0,0,0,0.0,0,0,0,1,1,0,1,0,8
2024-12-28,MIL @ CHI,MIL,CHI,Away,L,8.28,7,2,4,50.0,1,2,50.0,2,2,100.0,0,1,1,4,1,0,0,1,0
2024-12-14,MIL @ ATL,MIL,ATL,Away,W,9.45,11,3,4,75.0,3,4,75.0,2,3,66.7,0,0,0,0,0,0,0,1,-5
2024-12-10,MIL vs. ORL,MIL,ORL,Home,W,8.28,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,0
2024-12-08,MIL @ BKN,MIL,BKN,Away,W,6.57,4,1,2,50.0,1,2,50.0,1,1,100.0,0,0,0,0,0,0,1,0,-9
2024-12-06,MIL @ BOS,MIL,BOS,Away,L,8.29,6,2,4,50.0,1,3,33.3,1,1,100.0,0,2,2,0,0,0,0,2,-5
2024-12-04,MIL vs. ATL,MIL,ATL,Home,L,8.31,8,2,4,50.0,2,4,50.0,2,2,100.0,0,2,2,2,0,0,0,0,-5
2024-12-03,MIL @ DET,MIL,DET,Away,W,9.09,7,2,5,40.0,2,5,40.0,1,1,100.0,0,1,1,1,0,0,1,0,2
2024-11-30,MIL vs. WAS,MIL,WAS,Home,W,8.01,3,1,4,25.0,1,2,50.0,0,0,0.0,0,2,2,3,2,0,0,0,7
2024-11-26,MIL @ MIA,MIL,MIA,Away,W,12.0,10,2,3,66.7,2,3,66.7,4,4,100.0,0,2,2,3,0,1,1,1,-9
2024-11-23,MIL vs. CHA,MIL,CHA,Home,W,6.47,7,1,3,33.3,1,2,50.0,4,4,100.0,0,1,1,1,0,0,0,1,-3
2024-11-22,MIL vs. IND,MIL,IND,Home,W,8.27,8,2,6,33.3,2,5,40.0,2,2,100.0,1,1,2,2,0,0,1,0,6
2024-11-20,MIL vs. CHI,MIL,CHI,Home,W,7.37,0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,4,0,0,2,0,-8
2024-11-18,MIL vs. HOU,MIL,HOU,Home,W,9.08,4,2,7,28.6,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,0,-2
2024-11-10,MIL vs. BOS,MIL,BOS,Home,L,12.0,5,2,5,40.0,0,3,0.0,1,1,100.0,0,2,2,1,1,0,2,0,-14
2024-11-08,MIL @ NYK,MIL,NYK,Away,L,10.11,4,2,5,40.0,0,2,0.0,0,0,0.0,0,3,3,2,0,0,0,0,2
2024-11-07,MIL vs. UTA,MIL,UTA,Home,W,10.43,11,5,8,62.5,1,4,25.0,0,0,0.0,0,2,2,1,1,0,0,1,17
2024-11-04,MIL @ CLE,MIL,CLE,Away,L,12.0,14,5,8,62.5,1,3,33.3,3,3,100.0,0,0,0,3,0,0,1,1,15
2024-11-02,MIL vs. CLE,MIL,CLE,Home,L,12.0,5,1,4,25.0,1,2,50.0,2,2,100.0,0,0,0,0,0,0,1,1,-4
2024-10-31,MIL @ MEM,MIL,MEM,Away,L,10.15,2,0,2,0.0,0,1,0.0,2,2,100.0,0,0,0,2,0,0,0,2,-5
2024-10-28,MIL @ BOS,MIL,BOS,Away,L,10.56,8,2,4,50.0,0,2,0.0,4,4,100.0,0,0,0,1,0,0,1,0,-8
2024-10-27,MIL @ BKN,MIL,BKN,Away,L,12.0,8,1,2,50.0,1,2,50.0,5,6,83.3,0,0,0,2,0,0,1,0,-2
2024-10-25,MIL vs. CHI,MIL,CHI,Home,L,11.57,6,3,5,60.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,2,0,-8
2024-10-23,MIL @ PHI,MIL,PHI,Away,W,12.0,15,4,5,80.0,4,4,100.0,3,3,100.0,1,1,2,4,0,0,2,0,8
