Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-16,SAC vs. HOU,SAC,HOU,Home,W,8.5,5,2,5,40.0,1,1,100.0,0,0,0.0,0,0,0,2,1,0,0,0,1
2025-01-14,SAC @ MIL,SAC,MIL,Away,L,8.22,2,1,6,16.7,0,3,0.0,0,0,0.0,0,1,1,1,0,1,1,0,0
2025-01-12,SAC @ CHI,SAC,CHI,Away,W,8.35,8,2,3,66.7,2,3,66.7,2,2,100.0,1,0,1,3,0,0,0,1,9
2025-01-03,SAC vs. MEM,SAC,MEM,Home,W,9.11,5,2,7,28.6,0,3,0.0,1,1,100.0,0,2,2,0,0,0,0,1,0
2025-01-01,SAC vs. PHI,SAC,PHI,Home,W,8.53,5,2,2,100.0,0,0,0.0,1,2,50.0,0,0,0,1,0,0,1,1,-12
2024-12-30,SAC vs. DAL,SAC,DAL,Home,W,8.28,8,4,5,80.0,0,1,0.0,0,0,0.0,1,2,3,1,0,0,0,3,9
2024-12-28,SAC @ LAL,SAC,LAL,Away,L,9.25,3,1,5,20.0,0,3,0.0,1,2,50.0,0,1,1,2,1,0,1,1,-17
2024-12-26,SAC vs. DET,SAC,DET,Home,L,9.53,14,6,9,66.7,1,2,50.0,1,1,100.0,1,2,3,2,0,0,1,2,-2
2024-12-22,SAC vs. IND,SAC,IND,Home,L,10.22,6,1,5,20.0,0,1,0.0,4,4,100.0,0,2,2,3,0,0,1,0,-2
2024-12-21,SAC vs. LAL,SAC,LAL,Home,L,9.46,9,4,5,80.0,1,1,100.0,0,0,0.0,0,2,2,1,0,0,2,0,-3
2024-12-19,SAC vs. LAL,SAC,LAL,Home,L,5.13,3,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,1,1,0,0,2,2
2024-12-16,SAC vs. DEN,SAC,DEN,Home,L,9.37,7,3,8,37.5,1,3,33.3,0,0,0.0,0,2,2,1,0,1,0,1,9
2024-12-12,SAC @ NOP,SAC,NOP,Away,W,8.22,2,1,3,33.3,0,0,0.0,0,0,0.0,1,0,1,4,0,1,0,0,4
2024-12-08,SAC vs. UTA,SAC,UTA,Home,W,8.38,8,3,5,60.0,1,2,50.0,1,2,50.0,1,2,3,3,0,1,0,1,11
2024-12-06,SAC @ SAS,SAC,SAS,Away,W,8.25,7,3,7,42.9,0,2,0.0,1,1,100.0,0,0,0,1,0,1,0,1,-2
2024-12-05,SAC @ MEM,SAC,MEM,Away,L,10.24,8,3,7,42.9,0,3,0.0,2,3,66.7,0,2,2,0,3,0,2,1,5
2024-12-03,SAC vs. HOU,SAC,HOU,Home,W,9.42,5,2,4,50.0,1,1,100.0,0,0,0.0,1,1,2,3,0,0,1,1,12
2024-12-01,SAC vs. SAS,SAC,SAS,Home,L,9.28,7,3,8,37.5,1,2,50.0,0,0,0.0,1,0,1,3,0,0,0,0,-5
2024-11-29,SAC @ POR,SAC,POR,Away,L,7.53,7,2,4,50.0,0,1,0.0,3,3,100.0,0,1,1,1,0,0,0,0,-12
2024-11-27,SAC @ MIN,SAC,MIN,Away,W,9.28,2,1,7,14.3,0,2,0.0,0,0,0.0,0,1,1,1,1,0,1,0,-11
2024-11-25,SAC vs. OKC,SAC,OKC,Home,L,10.43,3,1,5,20.0,0,2,0.0,1,2,50.0,0,0,0,1,0,0,1,2,-12
2024-11-24,SAC vs. BKN,SAC,BKN,Home,L,9.2,6,3,4,75.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,4
2024-11-22,SAC @ LAC,SAC,LAC,Away,L,9.41,15,6,8,75.0,1,2,50.0,2,2,100.0,1,1,2,2,0,0,1,0,12
2024-11-18,SAC vs. ATL,SAC,ATL,Home,L,10.38,7,3,4,75.0,1,2,50.0,0,0,0.0,0,2,2,3,1,0,0,1,7
2024-11-16,SAC vs. UTA,SAC,UTA,Home,W,8.27,9,2,5,40.0,0,0,0.0,5,5,100.0,0,1,1,2,0,0,2,1,-4
2024-11-15,SAC vs. MIN,SAC,MIN,Home,L,9.47,13,3,5,60.0,0,2,0.0,7,8,87.5,0,0,0,2,1,1,1,1,-9
2024-11-13,SAC vs. PHX,SAC,PHX,Home,W,9.49,10,3,4,75.0,0,0,0.0,4,4,100.0,1,3,4,3,0,1,0,1,7
2024-11-11,SAC @ SAS,SAC,SAS,Away,L,9.53,6,1,4,25.0,0,1,0.0,4,4,100.0,0,3,3,0,0,0,1,1,-14
2024-11-10,SAC @ PHX,SAC,PHX,Away,W,10.32,2,1,8,12.5,0,2,0.0,0,0,0.0,1,3,4,2,0,0,0,0,-5
2024-11-08,SAC vs. LAC,SAC,LAC,Home,L,8.48,7,3,5,60.0,0,1,0.0,1,1,100.0,0,2,2,0,0,0,1,1,-1
2024-11-06,SAC vs. TOR,SAC,TOR,Home,W,10.16,7,1,6,16.7,0,3,0.0,5,6,83.3,0,0,0,0,0,0,0,1,-6
2024-11-04,SAC @ MIA,SAC,MIA,Away,W,8.23,16,7,10,70.0,2,3,66.7,0,0,0.0,1,0,1,1,0,0,2,1,11
2024-11-02,SAC @ TOR,SAC,TOR,Away,L,7.34,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,0,-9
2024-11-01,SAC @ ATL,SAC,ATL,Away,W,9.03,7,3,4,75.0,1,1,100.0,0,0,0.0,0,1,1,1,3,0,2,0,5
2024-10-29,SAC @ UTA,SAC,UTA,Away,W,9.56,10,4,5,80.0,0,0,0.0,2,2,100.0,0,2,2,0,1,0,0,1,15
2024-10-28,SAC vs. POR,SAC,POR,Home,W,9.32,9,3,5,60.0,1,2,50.0,2,2,100.0,0,0,0,0,2,0,0,2,7
2024-10-26,SAC @ LAL,SAC,LAL,Away,L,10.54,12,4,7,57.1,2,5,40.0,2,2,100.0,0,1,1,0,0,0,3,0,9
2024-10-24,SAC vs. MIN,SAC,MIN,Home,L,9.41,4,2,5,40.0,0,2,0.0,0,0,0.0,0,1,1,4,0,0,1,2,-8
