Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-16,SAC vs. HOU,SAC,HOU,Home,W,9.06,2,0,1,0.0,0,0,0.0,2,2,100.0,3,1,4,2,0,0,1,2,-2
2025-01-14,SAC @ MIL,SAC,MIL,Away,L,5.15,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,2,2,5
2025-01-12,SAC @ CHI,SAC,CHI,Away,W,9.07,7,3,4,75.0,1,2,50.0,0,0,0.0,1,2,3,0,0,0,1,1,-3
2025-01-10,SAC @ BOS,SAC,BOS,Away,W,10.44,10,5,7,71.4,0,0,0.0,0,0,0.0,4,3,7,1,0,0,2,1,-2
2025-01-06,SAC vs. MIA,SAC,MIA,Home,W,9.12,4,2,6,33.3,0,0,0.0,0,0,0.0,1,2,3,2,0,1,2,2,-11
2025-01-05,SAC @ GSW,SAC,GSW,Away,W,12.0,4,2,4,50.0,0,0,0.0,0,0,0.0,2,2,4,1,0,0,0,0,6
2025-01-03,SAC vs. MEM,SAC,MEM,Home,W,9.29,4,2,3,66.7,0,1,0.0,0,0,0.0,1,2,3,0,0,0,1,1,-2
2025-01-01,SAC vs. PHI,SAC,PHI,Home,W,11.12,4,2,4,50.0,0,0,0.0,0,0,0.0,3,2,5,2,0,0,2,1,-9
2024-12-30,SAC vs. DAL,SAC,DAL,Home,W,9.43,4,2,4,50.0,0,0,0.0,0,0,0.0,3,3,6,0,0,0,0,1,3
2024-12-28,SAC @ LAL,SAC,LAL,Away,L,7.43,7,3,5,60.0,1,1,100.0,0,0,0.0,2,1,3,2,0,0,0,2,-10
2024-12-22,SAC vs. IND,SAC,IND,Home,L,7.0,4,2,5,40.0,0,1,0.0,0,2,0.0,1,2,3,0,1,0,1,2,-12
2024-12-21,SAC vs. LAL,SAC,LAL,Home,L,10.03,6,3,6,50.0,0,0,0.0,0,1,0.0,2,2,4,2,1,0,0,0,1
2024-12-19,SAC vs. LAL,SAC,LAL,Home,L,12.0,6,3,6,50.0,0,0,0.0,0,0,0.0,0,3,3,3,0,1,0,1,-2
2024-12-16,SAC vs. DEN,SAC,DEN,Home,L,12.0,6,3,8,37.5,0,0,0.0,0,0,0.0,2,2,4,4,2,0,1,2,14
2024-12-12,SAC @ NOP,SAC,NOP,Away,W,9.29,10,3,4,75.0,1,1,100.0,3,3,100.0,3,3,6,2,1,0,0,2,11
2024-12-08,SAC vs. UTA,SAC,UTA,Home,W,10.18,12,5,7,71.4,1,1,100.0,1,1,100.0,2,2,4,2,0,1,0,0,8
2024-12-06,SAC @ SAS,SAC,SAS,Away,W,8.55,8,4,5,80.0,0,0,0.0,0,0,0.0,2,3,5,2,0,0,0,0,8
2024-12-05,SAC @ MEM,SAC,MEM,Away,L,8.44,5,2,4,50.0,1,2,50.0,0,0,0.0,2,2,4,2,0,0,0,1,-3
2024-12-03,SAC vs. HOU,SAC,HOU,Home,W,7.34,6,3,3,100.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,1,12
2024-12-01,SAC vs. SAS,SAC,SAS,Home,L,8.49,7,2,3,66.7,1,2,50.0,2,2,100.0,1,0,1,1,0,0,1,2,-2
2024-11-29,SAC @ POR,SAC,POR,Away,L,12.0,1,0,0,0.0,0,0,0.0,1,2,50.0,1,4,5,4,0,0,1,1,-11
2024-11-27,SAC @ MIN,SAC,MIN,Away,W,6.24,2,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,1,0,0,0,3,-9
2024-11-25,SAC vs. OKC,SAC,OKC,Home,L,9.41,6,2,4,50.0,0,1,0.0,2,2,100.0,1,1,2,0,1,0,3,3,-6
2024-11-24,SAC vs. BKN,SAC,BKN,Home,L,8.48,9,4,4,100.0,1,1,100.0,0,0,0.0,2,6,8,2,0,0,1,1,6
2024-11-22,SAC @ LAC,SAC,LAC,Away,L,11.58,11,4,4,100.0,1,1,100.0,2,2,100.0,2,4,6,1,0,1,2,2,10
2024-11-15,SAC vs. MIN,SAC,MIN,Home,L,8.56,5,2,4,50.0,0,1,0.0,1,1,100.0,0,3,3,1,0,0,1,0,-9
2024-11-13,SAC vs. PHX,SAC,PHX,Home,W,9.07,3,1,1,100.0,1,1,100.0,0,0,0.0,1,2,3,2,0,0,1,1,3
2024-11-11,SAC @ SAS,SAC,SAS,Away,L,12.0,4,2,4,50.0,0,0,0.0,0,0,0.0,1,4,5,0,0,0,2,1,-8
2024-11-10,SAC @ PHX,SAC,PHX,Away,W,12.0,7,3,6,50.0,0,2,0.0,1,1,100.0,1,2,3,1,0,0,4,2,-10
2024-11-08,SAC vs. LAC,SAC,LAC,Home,L,10.4,4,1,2,50.0,0,0,0.0,2,2,100.0,0,2,2,0,0,0,0,2,1
2024-11-06,SAC vs. TOR,SAC,TOR,Home,W,11.01,9,3,3,100.0,0,0,0.0,3,3,100.0,1,3,4,2,1,0,0,0,-5
2024-11-04,SAC @ MIA,SAC,MIA,Away,W,12.0,2,0,1,0.0,0,1,0.0,2,2,100.0,0,8,8,5,0,0,0,0,20
2024-11-02,SAC @ TOR,SAC,TOR,Away,L,10.54,6,2,4,50.0,0,0,0.0,2,2,100.0,1,2,3,1,1,0,1,3,-5
2024-11-01,SAC @ ATL,SAC,ATL,Away,W,7.1,6,2,3,66.7,0,0,0.0,2,2,100.0,1,2,3,1,0,0,1,2,-1
2024-10-29,SAC @ UTA,SAC,UTA,Away,W,9.39,9,4,6,66.7,0,0,0.0,1,2,50.0,1,2,3,0,0,0,2,2,9
2024-10-28,SAC vs. POR,SAC,POR,Home,W,11.52,9,3,4,75.0,1,1,100.0,2,2,100.0,0,4,4,5,0,0,0,0,10
2024-10-26,SAC @ LAL,SAC,LAL,Away,L,10.16,12,3,4,75.0,0,1,0.0,6,7,85.7,1,5,6,4,1,1,0,0,8
2024-10-24,SAC vs. MIN,SAC,MIN,Home,L,11.31,7,3,6,50.0,1,2,50.0,0,0,0.0,0,1,1,0,1,1,0,0,-5
