Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-16,LAC @ POR,LAC,POR,Away,W,12.0,7,3,5,60.0,1,2,50.0,0,0,0.0,1,0,1,3,1,0,1,0,6
2025-01-15,LAC vs. BKN,LAC,BKN,Home,W,5.12,6,1,1,100.0,1,1,100.0,3,3,100.0,0,1,1,5,0,0,1,0,24
2025-01-13,LAC vs. MIA,LAC,MIA,Home,W,12.0,13,5,6,83.3,3,4,75.0,0,0,0.0,0,3,3,4,1,1,2,0,16
2025-01-08,LAC @ DEN,LAC,DEN,Away,L,7.46,1,0,2,0.0,0,1,0.0,1,2,50.0,0,0,0,0,0,0,2,0,-9
2025-01-06,LAC @ MIN,LAC,MIN,Away,L,11.33,11,3,6,50.0,2,4,50.0,3,4,75.0,0,4,4,2,0,2,2,2,-11
2025-01-04,LAC vs. ATL,LAC,ATL,Home,W,12.0,8,2,4,50.0,1,3,33.3,3,4,75.0,0,1,1,2,0,0,1,0,2
2024-12-31,LAC @ SAS,LAC,SAS,Away,L,6.4,4,1,3,33.3,0,1,0.0,2,2,100.0,0,0,0,0,0,0,1,1,-7
2024-12-30,LAC @ NOP,LAC,NOP,Away,W,12.0,13,3,4,75.0,3,4,75.0,4,4,100.0,0,1,1,2,1,0,3,0,3
2024-12-27,LAC vs. GSW,LAC,GSW,Home,W,12.0,4,2,6,33.3,0,4,0.0,0,0,0.0,0,1,1,2,1,0,2,0,13
2024-12-23,LAC @ MEM,LAC,MEM,Away,W,12.0,3,0,3,0.0,0,2,0.0,3,4,75.0,0,1,1,6,1,0,0,1,8
2024-12-21,LAC @ DAL,LAC,DAL,Away,L,12.0,5,2,8,25.0,1,4,25.0,0,0,0.0,0,3,3,1,1,0,1,0,6
2024-12-19,LAC @ DAL,LAC,DAL,Away,W,12.0,6,1,5,20.0,0,1,0.0,4,4,100.0,0,2,2,3,0,0,2,1,11
2024-12-16,LAC vs. UTA,LAC,UTA,Home,W,12.0,7,3,5,60.0,0,1,0.0,1,1,100.0,0,1,1,2,0,0,3,1,1
2024-12-13,LAC @ DEN,LAC,DEN,Away,L,8.46,2,1,4,25.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,2,0,-11
2024-12-04,LAC vs. MIN,LAC,MIN,Home,L,6.37,3,1,3,33.3,1,2,50.0,0,0,0.0,0,1,1,0,0,0,3,0,-12
2024-12-03,LAC vs. POR,LAC,POR,Home,W,12.0,12,3,6,50.0,2,4,50.0,4,4,100.0,0,0,0,1,0,0,1,1,8
2024-12-01,LAC vs. DEN,LAC,DEN,Home,W,12.0,14,4,7,57.1,3,3,100.0,3,3,100.0,0,2,2,3,0,0,1,1,2
2024-11-29,LAC @ MIN,LAC,MIN,Away,L,9.46,2,1,5,20.0,0,1,0.0,0,1,0.0,0,2,2,5,2,0,2,0,-3
2024-11-27,LAC @ WAS,LAC,WAS,Away,W,12.0,12,2,7,28.6,2,4,50.0,6,6,100.0,0,2,2,2,2,0,3,0,2
2024-11-25,LAC @ BOS,LAC,BOS,Away,L,12.0,9,4,7,57.1,1,3,33.3,0,0,0.0,0,4,4,5,0,0,4,0,8
2024-11-24,LAC @ PHI,LAC,PHI,Away,W,9.52,8,1,2,50.0,1,2,50.0,5,5,100.0,0,0,0,4,0,0,2,0,18
2024-11-22,LAC vs. SAC,LAC,SAC,Home,W,10.37,6,2,6,33.3,2,5,40.0,0,0,0.0,0,0,0,2,1,0,2,0,-10
2024-11-20,LAC vs. ORL,LAC,ORL,Home,W,9.24,8,2,3,66.7,0,1,0.0,4,4,100.0,0,3,3,1,0,0,0,0,16
2024-11-18,LAC vs. GSW,LAC,GSW,Home,W,12.0,0,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,4,0,0,0,0,-8
2024-11-17,LAC vs. UTA,LAC,UTA,Home,W,12.0,8,3,6,50.0,1,3,33.3,1,1,100.0,1,1,2,4,1,1,0,1,1
2024-11-15,LAC @ HOU,LAC,HOU,Away,L,12.0,10,3,6,50.0,0,2,0.0,4,4,100.0,0,3,3,0,0,0,1,1,1
2024-11-13,LAC @ HOU,LAC,HOU,Away,L,12.0,5,2,5,40.0,0,2,0.0,1,2,50.0,0,4,4,3,2,0,0,0,-5
2024-11-11,LAC @ OKC,LAC,OKC,Away,L,9.25,6,2,3,66.7,2,3,66.7,0,0,0.0,0,0,0,1,0,0,2,3,2
2024-11-09,LAC vs. TOR,LAC,TOR,Home,W,12.0,7,2,7,28.6,1,4,25.0,2,2,100.0,0,5,5,3,1,0,2,1,6
2024-11-08,LAC @ SAC,LAC,SAC,Away,W,9.29,7,2,5,40.0,1,1,100.0,2,2,100.0,0,0,0,2,1,0,1,1,0
2024-11-06,LAC vs. PHI,LAC,PHI,Home,W,12.0,12,3,5,60.0,1,2,50.0,5,5,100.0,0,2,2,2,1,0,2,1,16
2024-11-04,LAC vs. SAS,LAC,SAS,Home,W,9.52,7,3,3,100.0,1,1,100.0,0,1,0.0,1,2,3,2,0,1,1,1,-4
