Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,BOS vs. ATL,BOS,ATL,Home,L,12.0,14,4,5,80.0,1,2,50.0,5,5,100.0,0,2,2,2,1,0,2,0,9
2025-01-17,BOS vs. ORL,BOS,ORL,Home,W,5.24,5,2,2,100.0,1,1,100.0,0,0,0.0,0,0,0,0,1,0,0,0,5
2025-01-15,BOS @ TOR,BOS,TOR,Away,L,12.0,8,3,6,50.0,1,3,33.3,1,2,50.0,0,1,1,2,0,0,0,0,-4
2025-01-12,BOS vs. NOP,BOS,NOP,Home,W,12.0,11,5,10,50.0,1,5,20.0,0,0,0.0,0,2,2,1,0,1,2,0,1
2025-01-10,BOS vs. SAC,BOS,SAC,Home,L,12.0,6,2,5,40.0,1,3,33.3,1,1,100.0,0,4,4,1,0,0,5,3,-2
2025-01-07,BOS @ DEN,BOS,DEN,Away,W,12.0,9,4,7,57.1,1,3,33.3,0,0,0.0,0,2,2,1,0,1,1,1,5
2025-01-05,BOS @ OKC,BOS,OKC,Away,L,12.0,6,2,5,40.0,0,2,0.0,2,4,50.0,0,3,3,0,1,0,1,0,-6
2025-01-03,BOS @ HOU,BOS,HOU,Away,W,12.0,5,1,5,20.0,1,4,25.0,2,2,100.0,0,3,3,2,1,0,3,1,1
2025-01-02,BOS @ MIN,BOS,MIN,Away,W,12.0,16,7,10,70.0,2,5,40.0,0,0,0.0,0,1,1,1,0,0,0,0,-5
2024-12-31,BOS vs. TOR,BOS,TOR,Home,W,12.0,18,4,6,66.7,4,5,80.0,6,7,85.7,0,4,4,1,0,0,1,1,27
2024-12-29,BOS vs. IND,BOS,IND,Home,L,12.0,12,5,6,83.3,2,3,66.7,0,0,0.0,1,3,4,1,2,1,0,2,0
2024-12-27,BOS vs. IND,BOS,IND,Home,W,12.0,12,3,8,37.5,2,6,33.3,4,5,80.0,1,2,3,2,0,0,0,1,3
2024-12-25,BOS vs. PHI,BOS,PHI,Home,L,12.0,5,2,5,40.0,1,2,50.0,0,0,0.0,2,7,9,1,0,1,1,0,8
