Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-04,UTA @ MIA,UTA,MIA,Away,W,7.36,6,2,2,100.0,2,2,100.0,0,0,0.0,2,0,2,2,1,0,1,2,10
2024-12-21,UTA @ BKN,UTA,BKN,Away,W,12.0,4,1,4,25.0,0,1,0.0,2,2,100.0,0,5,5,1,0,0,3,2,7
2024-12-19,UTA @ DET,UTA,DET,Away,W,7.23,3,1,2,50.0,1,1,100.0,0,0,0.0,1,0,1,0,0,0,1,1,4
2024-12-16,UTA @ LAC,UTA,LAC,Away,L,8.36,2,0,1,0.0,0,0,0.0,2,2,100.0,0,3,3,1,0,0,1,1,1
2024-12-13,UTA vs. PHX,UTA,PHX,Home,L,8.18,5,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,2,0,0,0,0,-4
2024-12-08,UTA @ SAC,UTA,SAC,Away,L,8.06,11,3,6,50.0,3,4,75.0,2,2,100.0,0,3,3,1,0,0,1,0,-1
2024-12-06,UTA @ POR,UTA,POR,Away,W,12.0,8,2,4,50.0,0,0,0.0,4,4,100.0,0,1,1,0,0,0,0,0,9
2024-12-03,UTA @ OKC,UTA,OKC,Away,L,7.4,6,2,4,50.0,2,2,100.0,0,0,0.0,0,0,0,0,0,0,1,1,-11
2024-12-01,UTA vs. LAL,UTA,LAL,Home,L,12.0,7,2,5,40.0,0,2,0.0,3,4,75.0,0,7,7,2,0,1,0,0,-3
2024-11-30,UTA vs. DAL,UTA,DAL,Home,L,9.22,8,2,4,50.0,1,2,50.0,3,3,100.0,1,3,4,0,1,1,1,1,-3
2024-11-26,UTA vs. SAS,UTA,SAS,Home,L,8.59,0,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,2,0,1,2,1,2
2024-11-23,UTA vs. NYK,UTA,NYK,Home,W,7.48,4,2,5,40.0,0,1,0.0,0,0,0.0,1,3,4,0,1,0,1,1,-10
2024-11-21,UTA @ SAS,UTA,SAS,Away,L,9.03,4,2,4,50.0,0,1,0.0,0,0,0.0,1,2,3,0,1,1,1,2,-6
2024-11-19,UTA @ LAL,UTA,LAL,Away,L,7.15,5,2,2,100.0,0,0,0.0,1,1,100.0,0,1,1,0,0,0,0,3,-2
2024-11-17,UTA @ LAC,UTA,LAC,Away,L,8.57,2,1,1,100.0,0,0,0.0,0,0,0.0,0,3,3,0,1,0,1,0,1
2024-11-16,UTA @ SAC,UTA,SAC,Away,L,9.1,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,1,9
2024-11-14,UTA vs. DAL,UTA,DAL,Home,W,12.0,13,5,7,71.4,0,1,0.0,3,3,100.0,3,2,5,1,2,0,1,1,17
2024-11-12,UTA vs. PHX,UTA,PHX,Home,L,8.55,7,3,5,60.0,1,2,50.0,0,0,0.0,1,1,2,2,1,0,0,0,6
2024-11-09,UTA @ SAS,UTA,SAS,Away,W,5.55,10,4,5,80.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,1,3,-1
2024-11-07,UTA @ MIL,UTA,MIL,Away,L,5.37,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,2,0,-10
2024-11-04,UTA @ CHI,UTA,CHI,Away,W,6.26,11,5,6,83.3,1,2,50.0,0,0,0.0,1,0,1,1,0,0,1,1,-3
2024-11-02,UTA @ DEN,UTA,DEN,Away,L,7.15,7,3,4,75.0,1,1,100.0,0,0,0.0,0,1,1,1,1,0,0,0,-12
2024-10-31,UTA vs. SAS,UTA,SAS,Home,L,5.42,2,1,5,20.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,1,-6
2024-10-29,UTA vs. SAC,UTA,SAC,Home,L,5.15,0,0,3,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,1,2,2,-12
2024-10-28,UTA @ DAL,UTA,DAL,Away,L,4.31,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,1,1,0,-8
2024-10-25,UTA vs. GSW,UTA,GSW,Home,L,9.13,9,2,4,50.0,1,2,50.0,4,4,100.0,2,2,4,2,0,1,0,0,0
2024-10-23,UTA vs. MEM,UTA,MEM,Home,L,5.48,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0
