Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-13,MIA @ LAC,MIA,LAC,Away,L,4.12,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,-2
2024-12-29,MIA @ HOU,MIA,HOU,Away,W,6.41,1,0,3,0.0,0,1,0.0,1,2,50.0,0,1,1,0,0,0,0,0,-15
2024-12-16,MIA @ DET,MIA,DET,Away,L,3.37,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,1
2024-12-12,MIA vs. TOR,MIA,TOR,Home,W,5.54,6,2,3,66.7,1,1,100.0,1,2,50.0,1,1,2,0,0,0,0,1,4
2024-12-07,MIA vs. PHX,MIA,PHX,Home,W,4.09,6,1,3,33.3,1,3,33.3,3,4,75.0,0,0,0,1,0,0,0,0,-7
2024-12-04,MIA vs. LAL,MIA,LAL,Home,W,3.59,5,2,2,100.0,1,1,100.0,0,0,0.0,1,2,3,2,0,0,0,0,9
2024-12-01,MIA @ TOR,MIA,TOR,Away,L,4.03,2,1,2,50.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,3,-9
2024-11-29,MIA vs. TOR,MIA,TOR,Home,W,5.23,3,1,3,33.3,1,2,50.0,0,0,0.0,0,2,2,2,1,0,1,0,10
2024-11-24,MIA vs. DAL,MIA,DAL,Home,W,4.45,3,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,1,0,0,1,1,-2
2024-11-18,MIA vs. PHI,MIA,PHI,Home,W,5.34,3,1,5,20.0,1,2,50.0,0,0,0.0,1,2,3,0,0,0,0,0,12
2024-11-17,MIA @ IND,MIA,IND,Away,L,4.41,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-8
2024-11-15,MIA @ IND,MIA,IND,Away,W,6.42,15,6,7,85.7,3,4,75.0,0,0,0.0,0,3,3,0,3,0,0,1,13
2024-11-12,MIA @ DET,MIA,DET,Away,L,5.36,3,1,1,100.0,1,1,100.0,0,0,0.0,0,2,2,0,0,0,0,0,4
2024-11-10,MIA @ MIN,MIA,MIN,Away,W,6.42,3,1,3,33.3,0,2,0.0,1,1,100.0,1,2,3,1,2,0,0,0,6
