Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,BOS vs. ORL,BOS,ORL,Home,W,5.24,9,2,4,50.0,1,2,50.0,4,4,100.0,1,2,3,1,0,0,0,3,5
2025-01-15,BOS @ TOR,BOS,TOR,Away,L,4.52,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,1,2,-2
2025-01-12,BOS vs. NOP,BOS,NOP,Home,W,8.53,4,2,6,33.3,0,1,0.0,0,0,0.0,3,3,6,0,0,1,0,1,-3
2025-01-10,BOS vs. SAC,BOS,SAC,Home,L,6.08,5,1,3,33.3,1,2,50.0,2,2,100.0,0,2,2,0,0,1,0,1,2
2025-01-07,BOS @ DEN,BOS,DEN,Away,W,10.0,6,2,3,66.7,0,0,0.0,2,2,100.0,2,1,3,0,0,0,0,0,8
2025-01-05,BOS @ OKC,BOS,OKC,Away,L,5.53,7,2,5,40.0,1,4,25.0,2,2,100.0,2,1,3,0,1,0,1,1,0
2025-01-03,BOS @ HOU,BOS,HOU,Away,W,7.23,1,0,0,0.0,0,0,0.0,1,2,50.0,1,0,1,0,0,0,1,1,3
2024-12-23,BOS @ ORL,BOS,ORL,Away,L,9.02,7,0,2,0.0,0,1,0.0,7,8,87.5,1,1,2,0,0,0,0,1,-12
2024-12-21,BOS @ CHI,BOS,CHI,Away,W,6.1,2,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,1,0
2024-12-19,BOS vs. CHI,BOS,CHI,Home,L,12.0,5,2,5,40.0,1,2,50.0,0,0,0.0,1,2,3,0,0,1,0,1,1
2024-12-12,BOS vs. DET,BOS,DET,Home,W,11.0,6,2,5,40.0,1,2,50.0,1,1,100.0,0,4,4,1,0,1,0,0,12
2024-12-07,BOS vs. MEM,BOS,MEM,Home,L,12.0,12,4,6,66.7,2,3,66.7,2,4,50.0,3,1,4,0,0,0,0,1,7
2024-12-04,BOS vs. DET,BOS,DET,Home,W,7.38,5,2,5,40.0,1,2,50.0,0,0,0.0,1,2,3,0,0,0,1,1,-1
2024-12-01,BOS @ CLE,BOS,CLE,Away,L,7.08,5,2,5,40.0,1,2,50.0,0,0,0.0,0,1,1,1,1,0,0,0,11
2024-11-29,BOS @ CHI,BOS,CHI,Away,W,6.18,2,1,3,33.3,0,2,0.0,0,0,0.0,0,3,3,0,0,0,0,1,-4
2024-11-25,BOS vs. LAC,BOS,LAC,Home,W,7.41,6,2,5,40.0,0,2,0.0,2,2,100.0,0,3,3,0,0,0,0,0,-14
