Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,PHI @ IND,PHI,IND,Away,L,4.37,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-4
2025-01-01,PHI @ SAC,PHI,SAC,Away,L,7.46,2,1,1,100.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,1,-4
2024-12-16,PHI @ CHA,PHI,CHA,Away,W,7.07,0,0,3,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,1,0,-8
2024-12-13,PHI vs. IND,PHI,IND,Home,L,9.16,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-6
2024-12-06,PHI vs. ORL,PHI,ORL,Home,W,5.21,0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,0,1
2024-11-27,PHI vs. HOU,PHI,HOU,Home,L,2.59,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,3
2024-11-22,PHI vs. BKN,PHI,BKN,Home,W,2.44,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-5
2024-11-20,PHI @ MEM,PHI,MEM,Away,L,4.31,3,1,2,50.0,0,0,0.0,1,2,50.0,1,0,1,0,1,0,2,0,-8
2024-11-12,PHI vs. NYK,PHI,NYK,Home,L,5.45,1,0,1,0.0,0,0,0.0,1,2,50.0,0,0,0,1,0,0,0,1,-1
2024-11-10,PHI vs. CHA,PHI,CHA,Home,W,4.32,4,2,3,66.7,0,0,0.0,0,0,0.0,2,0,2,0,0,0,1,1,-2
2024-11-08,PHI @ LAL,PHI,LAL,Away,L,5.41,5,2,3,66.7,0,0,0.0,1,3,33.3,1,2,3,0,0,0,0,1,4
2024-11-06,PHI @ LAC,PHI,LAC,Away,L,4.17,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-2
2024-11-02,PHI vs. MEM,PHI,MEM,Home,L,6.24,0,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,0,1,0,0,0,2
2024-10-30,PHI vs. DET,PHI,DET,Home,L,3.13,2,0,0,0.0,0,0,0.0,2,2,100.0,1,1,2,0,0,0,0,0,-2
2024-10-27,PHI @ IND,PHI,IND,Away,W,7.17,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,2,0,0,2,-1
2024-10-25,PHI @ TOR,PHI,TOR,Away,L,3.04,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-5
2024-10-23,PHI vs. MIL,PHI,MIL,Home,L,3.02,2,1,1,100.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,-1
