Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-14,PHX @ ATL,PHX,ATL,Away,L,9.37,4,1,4,25.0,1,2,50.0,1,2,50.0,0,1,1,2,1,0,1,0,-2
2025-01-12,PHX vs. CHA,PHX,CHA,Home,W,12.0,0,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,2,0,1,0,0,12
2025-01-11,PHX vs. UTA,PHX,UTA,Home,W,8.51,3,0,0,0.0,0,0,0.0,3,4,75.0,0,0,0,0,0,0,0,1,-3
2025-01-09,PHX vs. ATL,PHX,ATL,Home,W,8.26,4,2,5,40.0,0,2,0.0,0,0,0.0,1,2,3,1,1,0,1,2,-2
2025-01-07,PHX @ CHA,PHX,CHA,Away,L,9.22,4,2,4,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-6
2025-01-06,PHX @ PHI,PHX,PHI,Away,W,10.54,6,3,4,75.0,0,0,0.0,0,0,0.0,0,2,2,2,0,1,0,0,5
2025-01-04,PHX @ IND,PHX,IND,Away,L,3.12,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-6
2024-12-28,PHX @ GSW,PHX,GSW,Away,L,12.0,4,2,6,33.3,0,3,0.0,0,0,0.0,0,2,2,0,0,1,0,3,-9
2024-12-27,PHX vs. DAL,PHX,DAL,Home,L,11.08,2,1,4,25.0,0,1,0.0,0,0,0.0,0,0,0,1,1,0,3,1,-3
2024-12-25,PHX vs. DEN,PHX,DEN,Home,W,12.0,8,4,8,50.0,0,3,0.0,0,0,0.0,1,0,1,1,0,0,1,2,3
2024-12-23,PHX @ DEN,PHX,DEN,Away,L,5.15,3,1,5,20.0,1,3,33.3,0,0,0.0,0,0,0,1,0,0,1,0,-3
2024-12-21,PHX vs. DET,PHX,DET,Home,L,8.44,2,1,5,20.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,2,3
2024-12-19,PHX vs. IND,PHX,IND,Home,L,9.1,2,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,0,0,3
2024-12-08,PHX @ ORL,PHX,ORL,Away,L,10.09,5,2,3,66.7,0,0,0.0,1,2,50.0,0,2,2,0,0,1,3,3,-9
2024-12-07,PHX @ MIA,PHX,MIA,Away,L,10.38,5,2,8,25.0,0,3,0.0,1,2,50.0,2,0,2,2,0,0,1,2,-1
2024-12-05,PHX @ NOP,PHX,NOP,Away,L,9.2,5,2,5,40.0,1,3,33.3,0,0,0.0,1,1,2,0,2,0,1,0,2
2024-12-03,PHX vs. SAS,PHX,SAS,Home,W,8.11,6,2,3,66.7,1,2,50.0,1,2,50.0,0,2,2,0,0,0,1,1,0
2024-11-27,PHX vs. BKN,PHX,BKN,Home,L,5.22,6,3,5,60.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-5
2024-11-26,PHX vs. LAL,PHX,LAL,Home,W,5.37,7,3,5,60.0,1,3,33.3,0,0,0.0,0,2,2,0,0,1,2,1,2
2024-11-12,PHX @ UTA,PHX,UTA,Away,W,4.41,7,3,4,75.0,1,2,50.0,0,0,0.0,0,0,0,0,1,0,0,1,3
2024-11-10,PHX vs. SAC,PHX,SAC,Home,L,7.22,5,1,1,100.0,0,0,0.0,3,4,75.0,0,3,3,0,0,0,0,0,-8
2024-11-08,PHX @ DAL,PHX,DAL,Away,W,12.0,7,3,7,42.9,1,3,33.3,0,0,0.0,2,1,3,1,0,0,1,0,-3
2024-11-06,PHX vs. MIA,PHX,MIA,Home,W,8.13,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,1,1,0,0,0,5
2024-11-04,PHX vs. PHI,PHX,PHI,Home,W,9.09,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,7
2024-11-02,PHX vs. POR,PHX,POR,Home,W,11.22,2,1,4,25.0,0,1,0.0,0,2,0.0,0,1,1,0,0,0,0,0,-16
2024-10-28,PHX vs. LAL,PHX,LAL,Home,W,9.53,6,2,5,40.0,0,3,0.0,2,2,100.0,0,2,2,2,1,0,0,2,11
2024-10-25,PHX @ LAL,PHX,LAL,Away,L,12.0,3,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,1,0,0,0,1,-5
2024-10-23,PHX @ LAC,PHX,LAC,Away,W,10.23,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
