Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-12-05,NOP vs. PHX,NOP,PHX,Home,W,7.17,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,1,-5
2024-11-22,NOP vs. GSW,NOP,GSW,Home,L,9.09,3,1,4,25.0,1,3,33.3,0,2,0.0,0,1,1,3,0,0,1,0,2
2024-11-19,NOP @ DAL,NOP,DAL,Away,L,4.56,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-6
2024-11-16,NOP vs. LAL,NOP,LAL,Home,L,10.49,11,4,6,66.7,1,1,100.0,2,2,100.0,1,0,1,2,0,1,1,1,3
2024-11-15,NOP vs. DEN,NOP,DEN,Home,W,7.12,4,2,4,50.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,3
2024-11-13,NOP @ OKC,NOP,OKC,Away,L,8.43,3,1,3,33.3,1,2,50.0,0,0,0.0,0,1,1,1,0,0,3,0,-8
2024-11-11,NOP vs. BKN,NOP,BKN,Home,L,7.34,2,0,3,0.0,0,1,0.0,2,2,100.0,0,1,1,1,0,0,1,0,-8
2024-11-08,NOP @ ORL,NOP,ORL,Away,L,3.21,2,1,4,25.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-1
2024-11-06,NOP vs. CLE,NOP,CLE,Home,L,9.03,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,1,0,-2
2024-11-04,NOP vs. POR,NOP,POR,Home,L,7.51,5,1,4,25.0,1,2,50.0,2,2,100.0,0,0,0,1,0,0,2,1,-15
2024-11-03,NOP vs. ATL,NOP,ATL,Home,L,8.27,7,3,5,60.0,1,3,33.3,0,0,0.0,0,1,1,1,1,0,1,0,-11
2024-11-01,NOP vs. IND,NOP,IND,Home,W,8.18,5,2,7,28.6,0,1,0.0,1,1,100.0,0,1,1,1,0,1,0,1,5
2024-10-30,NOP @ GSW,NOP,GSW,Away,L,10.38,2,1,4,25.0,0,2,0.0,0,0,0.0,1,1,2,3,0,0,0,1,-2
2024-10-29,NOP @ GSW,NOP,GSW,Away,L,5.27,5,2,2,100.0,0,0,0.0,1,1,100.0,0,1,1,0,0,0,0,1,-5
2024-10-27,NOP @ POR,NOP,POR,Away,L,5.49,2,1,3,33.3,0,1,0.0,0,0,0.0,1,1,2,3,0,0,0,0,-3
2024-10-25,NOP @ POR,NOP,POR,Away,W,7.58,4,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,3,0
2024-10-23,NOP vs. CHI,NOP,CHI,Home,W,9.02,14,5,6,83.3,2,2,100.0,2,2,100.0,0,3,3,1,0,0,3,2,7
