Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-16,SAC vs. HOU,SAC,HOU,Home,W,11.03,16,5,10,50.0,1,2,50.0,5,5,100.0,1,2,3,2,0,0,0,0,6
2025-01-14,SAC @ MIL,SAC,MIL,Away,L,9.29,4,1,2,50.0,0,0,0.0,2,2,100.0,0,4,4,1,0,0,0,0,-1
2025-01-12,SAC @ CHI,SAC,CHI,Away,W,11.46,9,4,9,44.4,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,3
2025-01-10,SAC @ BOS,SAC,BOS,Away,W,12.0,12,4,6,66.7,2,2,100.0,2,2,100.0,0,1,1,4,1,0,0,1,17
2025-01-06,SAC vs. MIA,SAC,MIA,Home,W,11.47,11,3,8,37.5,0,0,0.0,5,5,100.0,0,0,0,1,0,0,1,1,10
2025-01-05,SAC @ GSW,SAC,GSW,Away,W,5.21,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2
2025-01-03,SAC vs. MEM,SAC,MEM,Home,W,10.1,13,5,7,71.4,2,2,100.0,1,3,33.3,0,1,1,1,0,0,1,2,9
2025-01-01,SAC vs. PHI,SAC,PHI,Home,W,8.34,6,2,4,50.0,0,0,0.0,2,2,100.0,1,0,1,0,2,0,1,0,11
2024-12-30,SAC vs. DAL,SAC,DAL,Home,W,5.35,4,2,5,40.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
2024-12-28,SAC @ LAL,SAC,LAL,Away,L,12.0,2,1,3,33.3,0,2,0.0,0,0,0.0,1,2,3,0,0,0,1,2,7
2024-12-26,SAC vs. DET,SAC,DET,Home,L,9.03,4,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,-7
2024-12-22,SAC vs. IND,SAC,IND,Home,L,2.09,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-8
2024-12-21,SAC vs. LAL,SAC,LAL,Home,L,9.02,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,5
2024-12-19,SAC vs. LAL,SAC,LAL,Home,L,7.08,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-8
2024-12-16,SAC vs. DEN,SAC,DEN,Home,L,9.01,2,1,6,16.7,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-8
2024-12-12,SAC @ NOP,SAC,NOP,Away,W,7.13,4,2,5,40.0,0,0,0.0,0,0,0.0,0,0,0,0,2,0,0,1,-10
2024-12-06,SAC @ SAS,SAC,SAS,Away,W,5.11,5,2,4,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,1,0,2
2024-12-05,SAC @ MEM,SAC,MEM,Away,L,8.39,7,0,4,0.0,0,0,0.0,7,8,87.5,1,2,3,0,0,0,1,2,-5
2024-12-03,SAC vs. HOU,SAC,HOU,Home,W,6.58,0,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,0,4
2024-12-01,SAC vs. SAS,SAC,SAS,Home,L,9.15,10,4,8,50.0,0,0,0.0,2,2,100.0,1,0,1,1,0,0,0,0,-4
2024-11-25,SAC vs. OKC,SAC,OKC,Home,L,7.02,9,3,5,60.0,0,1,0.0,3,3,100.0,0,1,1,0,0,0,0,0,-5
2024-11-24,SAC vs. BKN,SAC,BKN,Home,L,8.47,6,3,8,37.5,0,1,0.0,0,1,0.0,1,1,2,0,0,0,1,3,-6
2024-11-22,SAC @ LAC,SAC,LAC,Away,L,9.04,2,1,6,16.7,0,3,0.0,0,1,0.0,0,1,1,0,0,0,0,1,1
2024-11-11,SAC @ SAS,SAC,SAS,Away,L,10.37,4,2,4,50.0,0,0,0.0,0,1,0.0,0,3,3,1,0,2,0,0,-3
2024-11-10,SAC @ PHX,SAC,PHX,Away,W,11.56,16,6,7,85.7,1,1,100.0,3,4,75.0,0,1,1,1,0,0,2,0,4
2024-11-08,SAC vs. LAC,SAC,LAC,Home,L,9.06,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,2,0,0,1,1,-3
2024-11-06,SAC vs. TOR,SAC,TOR,Home,W,9.28,11,5,6,83.3,0,0,0.0,1,1,100.0,0,0,0,2,0,0,0,0,19
2024-11-04,SAC @ MIA,SAC,MIA,Away,W,9.37,8,3,7,42.9,1,1,100.0,1,1,100.0,0,1,1,2,0,1,0,2,-5
2024-11-02,SAC @ TOR,SAC,TOR,Away,L,8.38,10,3,6,50.0,0,1,0.0,4,4,100.0,0,1,1,0,0,0,0,0,9
2024-11-01,SAC @ ATL,SAC,ATL,Away,W,9.44,6,1,3,33.3,0,0,0.0,4,4,100.0,0,3,3,0,0,0,0,0,-1
2024-10-29,SAC @ UTA,SAC,UTA,Away,W,6.1,8,4,5,80.0,0,0,0.0,0,1,0.0,0,0,0,2,0,0,0,0,-1
2024-10-28,SAC vs. POR,SAC,POR,Home,W,4.01,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-3
2024-10-26,SAC @ LAL,SAC,LAL,Away,L,12.0,13,5,6,83.3,2,2,100.0,1,1,100.0,0,0,0,1,1,0,0,0,-11
2024-10-24,SAC vs. MIN,SAC,MIN,Home,L,12.0,8,2,7,28.6,0,0,0.0,4,4,100.0,0,5,5,0,0,0,0,0,-1
