Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-16,POR vs. LAC,POR,LAC,Home,L,2.38,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2
2025-01-14,POR vs. BKN,POR,BKN,Home,L,4.32,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-1
2025-01-09,POR @ DAL,POR,DAL,Away,L,1.55,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,1,0,-5
2025-01-08,POR @ NOP,POR,NOP,Away,W,2.48,2,1,3,33.3,0,0,0.0,0,0,0.0,5,2,7,0,0,0,0,0,7
2025-01-06,POR @ DET,POR,DET,Away,L,7.1,2,1,2,50.0,0,0,0.0,0,0,0.0,0,4,4,1,0,0,0,0,-4
2025-01-04,POR @ MIL,POR,MIL,Away,W,9.5,2,1,1,100.0,0,0,0.0,0,0,0.0,1,4,5,0,0,1,0,1,-1
2024-12-30,POR vs. PHI,POR,PHI,Home,L,3.41,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,-9
2024-12-28,POR vs. DAL,POR,DAL,Home,W,9.54,7,3,5,60.0,0,1,0.0,1,2,50.0,1,4,5,0,1,0,1,0,-6
2024-12-26,POR vs. UTA,POR,UTA,Home,W,6.05,0,0,1,0.0,0,0,0.0,0,0,0.0,1,3,4,0,0,1,1,0,5
2024-12-21,POR @ SAS,POR,SAS,Away,L,3.37,4,2,2,100.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,-5
2024-12-19,POR vs. DEN,POR,DEN,Home,W,8.2,0,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,2,0,1,0,2,-3
2024-12-08,POR @ LAL,POR,LAL,Away,L,5.13,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,1,3,-8
2024-12-03,POR @ LAC,POR,LAC,Away,L,5.22,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-11
2024-12-01,POR vs. DAL,POR,DAL,Home,L,4.06,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,-7
2024-11-29,POR vs. SAC,POR,SAC,Home,W,9.23,6,3,5,60.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-7
2024-11-27,POR @ IND,POR,IND,Away,L,8.29,2,1,2,50.0,0,0,0.0,0,0,0.0,1,3,4,2,0,1,0,0,5
2024-11-07,POR @ SAS,POR,SAS,Away,L,8.02,2,1,1,100.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,1,2,-2
2024-11-04,POR @ NOP,POR,NOP,Away,W,5.29,5,2,3,66.7,1,1,100.0,0,0,0.0,1,3,4,0,0,0,0,0,17
2024-11-02,POR @ PHX,POR,PHX,Away,L,5.0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,5,5,0,0,0,0,2,5
2024-10-30,POR @ LAC,POR,LAC,Away,W,8.17,5,2,4,50.0,1,2,50.0,0,0,0.0,1,1,2,0,1,0,0,2,1
2024-10-28,POR @ SAC,POR,SAC,Away,L,6.27,4,2,4,50.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,6
2024-10-27,POR vs. NOP,POR,NOP,Home,W,4.39,2,1,1,100.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,1
2024-10-25,POR vs. NOP,POR,NOP,Home,L,9.36,2,1,5,20.0,0,0,0.0,0,1,0.0,0,2,2,0,0,0,0,0,-9
2024-10-23,POR vs. GSW,POR,GSW,Home,L,6.04,0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,3
