Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,CLE @ MIN,CLE,MIN,Away,W,8.26,9,2,6,33.3,0,3,0.0,5,6,83.3,1,0,1,2,1,0,2,1,-7
2025-01-14,CLE @ IND,CLE,IND,Away,W,6.28,2,0,5,0.0,0,1,0.0,2,2,100.0,0,2,2,1,0,0,0,1,7
2025-01-12,CLE vs. IND,CLE,IND,Home,L,5.34,7,2,3,66.7,1,1,100.0,2,2,100.0,1,0,1,0,0,0,0,0,-2
2025-01-08,CLE vs. OKC,CLE,OKC,Home,W,9.02,3,1,3,33.3,1,1,100.0,0,0,0.0,1,1,2,0,0,0,1,1,5
2025-01-05,CLE vs. CHA,CLE,CHA,Home,W,4.23,8,3,5,60.0,2,2,100.0,0,0,0.0,0,0,0,0,0,0,0,1,6
2025-01-03,CLE @ DAL,CLE,DAL,Away,W,3.45,4,1,2,50.0,0,1,0.0,2,2,100.0,0,0,0,1,1,0,0,0,4
2024-12-31,CLE @ LAL,CLE,LAL,Away,W,9.37,8,3,6,50.0,2,5,40.0,0,0,0.0,0,1,1,2,0,0,1,0,5
2024-12-30,CLE @ GSW,CLE,GSW,Away,W,3.59,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,5
2024-12-27,CLE @ DEN,CLE,DEN,Away,W,6.03,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,3,0,0,2,0,0
2024-12-23,CLE vs. UTA,CLE,UTA,Home,W,9.51,6,2,5,40.0,0,1,0.0,2,3,66.7,0,2,2,0,1,0,1,2,5
2024-12-21,CLE vs. PHI,CLE,PHI,Home,W,3.12,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,0,1
2024-12-20,CLE vs. MIL,CLE,MIL,Home,W,2.47,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,1,0,0,0,0,6
