Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-18,MIN vs. CLE,MIN,CLE,Home,L,12.0,6,1,2,50.0,0,1,0.0,4,6,66.7,0,2,2,2,1,0,1,1,3
2025-01-17,MIN @ NYK,MIN,NYK,Away,W,8.27,4,1,1,100.0,0,0,0.0,2,2,100.0,0,0,0,2,0,0,1,1,9
2025-01-15,MIN vs. GSW,MIN,GSW,Home,L,7.1,7,3,5,60.0,1,1,100.0,0,0,0.0,1,0,1,0,0,0,0,0,3
2025-01-13,MIN @ WAS,MIN,WAS,Away,W,10.45,7,3,5,60.0,0,0,0.0,1,2,50.0,1,2,3,2,0,0,0,0,14
2025-01-11,MIN vs. MEM,MIN,MEM,Home,L,9.48,4,2,4,50.0,0,0,0.0,0,0,0.0,2,1,3,3,0,0,2,3,-4
2025-01-09,MIN @ ORL,MIN,ORL,Away,W,6.37,6,2,3,66.7,0,0,0.0,2,2,100.0,1,2,3,1,0,0,1,1,0
2025-01-07,MIN @ NOP,MIN,NOP,Away,W,9.04,2,1,2,50.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,2,-1
2025-01-06,MIN vs. LAC,MIN,LAC,Home,W,3.14,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,5
2025-01-04,MIN @ DET,MIN,DET,Away,L,6.0,2,0,1,0.0,0,0,0.0,2,2,100.0,1,2,3,0,0,0,1,1,-3
2025-01-02,MIN vs. BOS,MIN,BOS,Home,L,12.0,3,1,3,33.3,1,1,100.0,0,0,0.0,0,0,0,2,1,0,1,0,3
2024-12-31,MIN @ OKC,MIN,OKC,Away,L,2.12,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0
2024-12-29,MIN vs. SAS,MIN,SAS,Home,W,12.0,6,3,5,60.0,0,1,0.0,0,0,0.0,1,1,2,2,0,0,1,0,2
2024-12-27,MIN @ HOU,MIN,HOU,Away,W,12.0,9,3,4,75.0,1,1,100.0,2,2,100.0,1,3,4,1,0,0,2,0,9
2024-12-25,MIN @ DAL,MIN,DAL,Away,W,9.04,5,1,3,33.3,0,0,0.0,3,4,75.0,2,1,3,0,0,0,0,0,-14
2024-12-23,MIN @ ATL,MIN,ATL,Away,L,7.08,4,2,3,66.7,0,1,0.0,0,0,0.0,1,1,2,0,0,0,4,1,-18
2024-12-21,MIN vs. GSW,MIN,GSW,Home,L,5.31,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-11
2024-12-15,MIN @ SAS,MIN,SAS,Away,W,2.32,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,7
2024-12-13,MIN vs. LAL,MIN,LAL,Home,W,9.49,2,0,4,0.0,0,1,0.0,2,2,100.0,0,0,0,1,1,0,0,1,2
2024-12-08,MIN @ GSW,MIN,GSW,Away,L,9.37,0,0,4,0.0,0,0,0.0,0,0,0.0,2,2,4,1,0,1,0,1,-2
2024-11-29,MIN vs. LAC,MIN,LAC,Home,W,4.1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,4
2024-11-27,MIN vs. SAC,MIN,SAC,Home,L,10.06,6,3,4,75.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,1,1,-19
2024-11-26,MIN vs. HOU,MIN,HOU,Home,L,8.23,4,2,3,66.7,0,0,0.0,0,0,0.0,2,2,4,0,0,0,1,3,5
2024-11-24,MIN @ BOS,MIN,BOS,Away,L,8.31,4,1,1,100.0,0,0,0.0,2,4,50.0,1,0,1,1,0,0,0,1,5
2024-11-21,MIN @ TOR,MIN,TOR,Away,L,12.0,3,1,2,50.0,0,1,0.0,1,2,50.0,0,4,4,3,0,0,1,1,-7
2024-11-17,MIN vs. PHX,MIN,PHX,Home,W,5.56,7,2,4,50.0,1,2,50.0,2,3,66.7,0,1,1,0,0,0,1,1,7
2024-11-15,MIN @ SAC,MIN,SAC,Away,W,7.24,4,0,3,0.0,0,1,0.0,4,4,100.0,1,1,2,0,0,0,1,0,-1
2024-11-13,MIN @ POR,MIN,POR,Away,L,9.58,9,3,7,42.9,1,2,50.0,2,2,100.0,1,2,3,1,0,0,0,0,-3
2024-11-12,MIN @ POR,MIN,POR,Away,L,3.42,4,2,2,100.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,1,5
2024-11-10,MIN vs. MIA,MIN,MIA,Home,L,12.0,6,2,6,33.3,0,3,0.0,2,2,100.0,2,2,4,2,1,0,0,2,-4
2024-11-08,MIN vs. POR,MIN,POR,Home,W,4.25,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,0,-4
2024-11-07,MIN @ CHI,MIN,CHI,Away,W,10.12,4,1,1,100.0,0,0,0.0,2,2,100.0,0,3,3,1,0,0,0,0,22
2024-11-02,MIN @ SAS,MIN,SAS,Away,L,4.21,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,1
2024-11-01,MIN vs. DEN,MIN,DEN,Home,W,8.38,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-1
2024-10-29,MIN vs. DAL,MIN,DAL,Home,L,9.19,2,0,1,0.0,0,0,0.0,2,2,100.0,0,1,1,1,0,0,0,1,4
2024-10-26,MIN vs. TOR,MIN,TOR,Home,W,9.0,3,1,3,33.3,0,1,0.0,1,2,50.0,2,1,3,2,0,0,0,0,-3
2024-10-24,MIN @ SAC,MIN,SAC,Away,W,8.45,4,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,1,5
2024-10-22,MIN @ LAL,MIN,LAL,Away,L,8.36,7,2,3,66.7,0,0,0.0,3,3,100.0,2,1,3,0,0,0,0,1,3
