Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-04,PHI @ BKN,PHI,BKN,Away,W,12.0,5,2,2,100.0,1,1,100.0,0,0,0.0,1,0,1,4,1,0,1,2,4
2025-01-01,PHI @ SAC,PHI,SAC,Away,L,0.07,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-2
2024-12-28,PHI @ UTA,PHI,UTA,Away,W,0.04,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,3
2024-12-25,PHI @ BOS,PHI,BOS,Away,W,7.47,3,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,0,2,11
2024-12-23,PHI vs. SAS,PHI,SAS,Home,W,6.51,3,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,1,0,0,0,1,-8
2024-12-20,PHI vs. CHA,PHI,CHA,Home,W,6.1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-5
2024-12-16,PHI @ CHA,PHI,CHA,Away,W,5.4,1,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,0,0,0,0,1,2
2024-12-08,PHI @ CHI,PHI,CHI,Away,W,2.02,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,-4
2024-12-06,PHI vs. ORL,PHI,ORL,Home,W,3.45,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-3
2024-12-03,PHI @ CHA,PHI,CHA,Away,W,6.0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,-6
2024-11-15,PHI @ ORL,PHI,ORL,Away,L,5.42,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-14
2024-11-12,PHI vs. NYK,PHI,NYK,Home,L,8.03,2,0,1,0.0,0,1,0.0,2,2,100.0,1,0,1,0,0,0,0,2,0
2024-11-10,PHI vs. CHA,PHI,CHA,Home,W,7.28,1,0,0,0.0,0,0,0.0,1,2,50.0,0,3,3,1,0,0,1,1,-8
2024-11-08,PHI @ LAL,PHI,LAL,Away,L,6.31,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,1,0
2024-11-06,PHI @ LAC,PHI,LAC,Away,L,3.03,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-3
2024-11-04,PHI @ PHX,PHI,PHX,Away,L,5.29,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,1,0,0,0,1
2024-10-27,PHI @ IND,PHI,IND,Away,W,0.02,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
2024-10-25,PHI @ TOR,PHI,TOR,Away,L,12.0,8,1,1,100.0,1,1,100.0,5,5,100.0,0,0,0,0,3,0,1,1,-2
2024-10-23,PHI vs. MIL,PHI,MIL,Home,L,8.08,3,1,2,50.0,1,2,50.0,0,0,0.0,0,3,3,3,0,0,0,1,1
