Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2024-12-23,DAL vs. POR,DAL,POR,Home,W,2.45,5,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0,0,0,0,0,1,4
2024-12-15,DAL @ GSW,DAL,GSW,Away,W,11.15,4,2,6,33.3,0,2,0.0,0,1,0.0,0,1,1,3,1,1,1,0,3
2024-12-10,DAL @ OKC,DAL,OKC,Away,L,11.05,8,3,5,60.0,1,3,33.3,1,1,100.0,0,2,2,0,1,0,1,2,5
2024-12-07,DAL @ TOR,DAL,TOR,Away,W,7.4,4,0,2,0.0,0,1,0.0,4,4,100.0,0,3,3,0,1,0,0,0,-1
2024-12-05,DAL @ WAS,DAL,WAS,Away,W,1.32,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,0,7
2024-12-03,DAL vs. MEM,DAL,MEM,Home,W,12.0,8,2,6,33.3,1,2,50.0,3,6,50.0,0,4,4,2,0,1,0,0,18
2024-12-01,DAL @ POR,DAL,POR,Away,W,7.04,6,3,5,60.0,0,2,0.0,0,0,0.0,0,0,0,2,1,0,0,1,-2
2024-11-19,DAL vs. NOP,DAL,NOP,Home,W,5.39,10,3,4,75.0,2,3,66.7,2,2,100.0,0,3,3,1,0,0,0,0,7
2024-11-16,DAL vs. SAS,DAL,SAS,Home,W,3.17,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0
2024-11-14,DAL @ UTA,DAL,UTA,Away,L,7.49,5,2,2,100.0,1,1,100.0,0,0,0.0,0,0,0,4,0,0,0,0,8
2024-11-12,DAL @ GSW,DAL,GSW,Away,L,11.44,0,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,2,0,0,2,1,4
2024-11-10,DAL @ DEN,DAL,DEN,Away,L,9.25,5,2,5,40.0,1,2,50.0,0,0,0.0,0,2,2,2,0,0,2,1,4
2024-11-08,DAL vs. PHX,DAL,PHX,Home,L,12.0,4,2,7,28.6,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,0,3
2024-11-06,DAL vs. CHI,DAL,CHI,Home,W,4.36,2,0,5,0.0,0,1,0.0,2,2,100.0,0,2,2,2,0,0,0,1,3
2024-11-04,DAL vs. IND,DAL,IND,Home,L,11.11,5,2,5,40.0,1,2,50.0,0,2,0.0,0,1,1,4,0,0,0,2,-7
2024-11-03,DAL vs. ORL,DAL,ORL,Home,W,4.03,4,1,2,50.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,0,2
2024-10-31,DAL vs. HOU,DAL,HOU,Home,L,11.24,15,6,8,75.0,3,4,75.0,0,0,0.0,0,3,3,0,0,0,1,1,11
2024-10-29,DAL @ MIN,DAL,MIN,Away,W,12.0,11,5,10,50.0,1,3,33.3,0,0,0.0,1,1,2,1,0,0,0,1,-5
2024-10-28,DAL vs. UTA,DAL,UTA,Home,W,7.22,5,2,4,50.0,1,2,50.0,0,0,0.0,0,0,0,3,1,0,1,2,2
2024-10-26,DAL @ PHX,DAL,PHX,Away,L,10.59,7,3,6,50.0,0,2,0.0,1,1,100.0,1,3,4,1,0,0,0,2,-1
2024-10-24,DAL vs. SAS,DAL,SAS,Home,W,9.03,11,3,6,50.0,3,4,75.0,2,2,100.0,1,3,4,2,0,0,2,2,6
