Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2025-01-17,CHI vs. CHA,CHI,CHA,Home,L,8.56,17,6,9,66.7,1,2,50.0,4,4,100.0,1,3,4,0,1,0,0,2,3
2025-01-15,CHI vs. ATL,CHI,ATL,Home,L,6.44,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0
2025-01-14,CHI vs. NOP,CHI,NOP,Home,L,6.3,2,1,1,100.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,1,3
2025-01-12,CHI vs. SAC,CHI,SAC,Home,L,7.19,0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,1,0,1,1,-6
2025-01-06,CHI vs. SAS,CHI,SAS,Home,W,6.32,5,1,1,100.0,1,1,100.0,2,2,100.0,1,2,3,0,0,0,0,0,8
2025-01-04,CHI vs. NYK,CHI,NYK,Home,W,9.02,9,4,8,50.0,0,2,0.0,1,1,100.0,1,1,2,1,0,0,1,3,-2
2025-01-01,CHI @ WAS,CHI,WAS,Away,L,7.22,0,0,2,0.0,0,1,0.0,0,0,0.0,1,4,5,1,0,0,0,0,-1
2024-12-30,CHI @ CHA,CHI,CHA,Away,W,6.51,3,1,4,25.0,0,2,0.0,1,3,33.3,1,2,3,1,0,0,0,1,-7
2024-12-28,CHI vs. MIL,CHI,MIL,Home,W,12.0,8,3,10,30.0,2,3,66.7,0,0,0.0,5,1,6,0,0,0,0,1,6
2024-12-26,CHI @ ATL,CHI,ATL,Away,L,7.31,3,1,3,33.3,1,1,100.0,0,0,0.0,0,0,0,1,0,0,0,2,-24
2024-12-23,CHI vs. MIL,CHI,MIL,Home,L,4.42,1,0,1,0.0,0,0,0.0,1,2,50.0,0,1,1,0,1,0,0,0,0
2024-12-21,CHI vs. BOS,CHI,BOS,Home,L,6.57,7,3,6,50.0,0,1,0.0,1,1,100.0,2,2,4,0,0,0,1,0,-10
2024-12-19,CHI @ BOS,CHI,BOS,Away,W,7.18,4,2,2,100.0,0,0,0.0,0,0,0.0,1,4,5,0,0,0,2,0,3
2024-12-16,CHI @ TOR,CHI,TOR,Away,W,8.06,6,2,4,50.0,0,0,0.0,2,2,100.0,0,0,0,0,0,1,0,1,-8
2024-12-08,CHI vs. PHI,CHI,PHI,Home,L,7.4,2,1,2,50.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0,0,0,-1
2024-12-06,CHI vs. IND,CHI,IND,Home,L,6.15,5,2,4,50.0,1,2,50.0,0,0,0.0,2,2,4,0,0,0,0,0,-3
2024-12-05,CHI @ SAS,CHI,SAS,Away,W,8.54,13,5,6,83.3,0,0,0.0,3,4,75.0,0,1,1,2,1,0,0,0,8
2024-12-02,CHI vs. BKN,CHI,BKN,Home,W,4.0,2,1,1,100.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,0,2
2024-11-29,CHI vs. BOS,CHI,BOS,Home,L,7.3,3,1,2,50.0,1,1,100.0,0,0,0.0,0,3,3,0,0,0,0,1,-6
2024-11-27,CHI @ ORL,CHI,ORL,Away,L,3.01,0,0,2,0.0,0,1,0.0,0,0,0.0,0,4,4,0,0,0,1,1,-2
2024-11-26,CHI @ WAS,CHI,WAS,Away,W,5.58,4,2,2,100.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,0,1,8
2024-11-23,CHI vs. MEM,CHI,MEM,Home,L,3.49,5,2,3,66.7,1,1,100.0,0,0,0.0,0,1,1,0,0,0,1,0,-4
2024-11-22,CHI vs. ATL,CHI,ATL,Home,W,8.06,4,1,3,33.3,0,1,0.0,2,2,100.0,0,2,2,1,0,0,2,1,-5
2024-11-20,CHI @ MIL,CHI,MIL,Away,L,10.24,4,2,4,50.0,0,2,0.0,0,0,0.0,0,2,2,0,1,1,0,2,-8
2024-11-18,CHI @ DET,CHI,DET,Away,W,8.46,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,2,0,1,10
2024-11-15,CHI @ CLE,CHI,CLE,Away,L,7.09,4,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,-9
2024-11-13,CHI @ NYK,CHI,NYK,Away,W,12.0,4,2,4,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-4
2024-11-11,CHI vs. CLE,CHI,CLE,Home,L,9.52,5,2,4,50.0,0,0,0.0,1,2,50.0,1,1,2,0,1,0,1,0,2
2024-11-09,CHI @ ATL,CHI,ATL,Away,W,7.02,2,1,3,33.3,0,1,0.0,0,0,0.0,0,3,3,0,1,0,1,0,11
2024-11-07,CHI vs. MIN,CHI,MIN,Home,L,6.55,0,0,3,0.0,0,2,0.0,0,2,0.0,1,0,1,1,0,0,1,2,-20
2024-11-04,CHI vs. UTA,CHI,UTA,Home,L,7.39,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,0,-3
2024-11-01,CHI @ BKN,CHI,BKN,Away,L,8.11,4,1,2,50.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,0,-8
2024-10-30,CHI vs. ORL,CHI,ORL,Home,W,6.49,4,1,2,50.0,0,0,0.0,2,2,100.0,0,1,1,1,0,1,2,3,1
2024-10-28,CHI @ MEM,CHI,MEM,Away,W,8.57,7,3,5,60.0,1,2,50.0,0,0,0.0,1,2,3,2,0,0,0,0,11
2024-10-26,CHI vs. OKC,CHI,OKC,Home,L,5.43,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2
2024-10-25,CHI @ MIL,CHI,MIL,Away,W,6.55,2,0,3,0.0,0,2,0.0,2,2,100.0,1,2,3,1,0,0,0,2,1
2024-10-23,CHI @ NOP,CHI,NOP,Away,L,6.35,5,2,3,66.7,0,0,0.0,1,2,50.0,2,2,4,0,0,0,0,1,-3
