RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,MIL,82,58,24,984.0,109.4,109.7,-0.3,62.0,1.68,17.8,28.7,74.1,51.5,14.8,53.0,55.8,102.27,50.6,
2,BOS,82,57,25,984.0,119.7,112.2,7.5,63.8,2.1,19.4,26.9,72.9,50.5,12.9,56.6,60.5,100.51,53.8,
3,PHI,82,54,28,984.0,118.6,116.2,2.4,59.1,1.92,18.1,28.9,70.6,49.6,13.0,55.2,59.7,97.85,51.0,
4,DEN,82,53,29,984.0,119.0,118.4,0.6,64.3,2.02,20.0,31.2,69.3,50.6,14.1,56.9,60.2,99.66,51.1,
5,CLE,82,51,31,984.0,116.8,108.2,8.6,61.0,2.22,19.4,26.0,71.9,48.7,12.2,56.1,58.8,98.27,53.4,
5,MEM,82,51,31,984.0,115.6,110.3,5.3,62.3,2.07,18.9,31.0,70.9,51.0,12.9,54.1,57.0,101.73,52.9,
7,SAC,82,48,34,984.0,120.1,117.1,3.0,61.9,1.9,19.2,28.4,73.1,51.2,14.1,57.5,61.6,102.12,51.8,
8,NYK,82,47,35,984.0,119.1,114.4,4.6,53.1,1.8,16.5,33.7,73.1,52.9,12.8,54.1,57.9,99.41,51.1,
9,BKN,82,45,37,984.0,115.4,115.2,0.2,62.5,1.79,19.1,24.3,69.6,47.7,14.6,57.2,60.7,100.68,50.2,
9,PHX,82,45,37,984.0,113.7,109.1,4.6,67.8,2.15,19.5,31.6,70.5,51.0,13.0,52.0,55.9,99.24,53.0,
11,GSW,82,44,38,984.0,115.3,112.1,3.2,66.4,1.71,19.5,28.2,70.7,50.1,16.0,56.7,60.3,104.61,52.0,
11,LAC,82,44,38,984.0,110.9,117.5,-6.6,60.9,1.57,18.1,26.9,71.2,48.8,15.9,55.2,57.9,99.88,46.3,
11,MIA,82,44,38,984.0,114.6,111.5,3.1,61.2,1.96,18.0,28.8,74.0,50.7,12.7,52.7,57.2,97.73,50.9,
14,LAL,82,43,39,984.0,114.1,111.2,2.9,59.8,1.88,18.3,26.8,72.1,50.5,13.4,53.9,57.9,104.17,52.3,
15,MIN,82,42,40,984.0,110.5,108.8,1.7,60.4,1.62,18.3,26.2,68.8,48.6,15.5,54.6,58.0,103.95,52.5,
15,NOP,82,42,40,984.0,110.7,107.7,3.0,61.2,1.68,18.4,28.5,72.6,50.4,15.2,53.3,56.5,99.88,50.9,
17,ATL,82,41,41,984.0,116.1,116.5,-0.4,54.6,1.85,17.6,29.9,73.3,51.4,13.2,54.7,58.4,102.78,49.8,
17,TOR,82,41,41,984.0,114.4,114.8,-0.5,56.7,2.02,17.2,33.0,70.6,50.2,12.1,51.4,54.9,98.68,48.5,
19,CHI,82,40,42,984.0,110.4,111.6,-1.2,58.5,1.81,18.3,21.4,73.6,47.9,13.5,54.8,58.4,100.17,50.1,
19,OKC,82,40,42,984.0,115.6,114.3,1.3,60.2,2.08,17.9,31.0,68.3,48.9,12.2,52.4,56.1,102.27,49.2,
21,DAL,82,38,44,984.0,114.1,116.3,-2.2,59.6,1.85,17.9,23.6,72.5,47.5,13.1,56.3,59.0,98.98,47.7,
22,UTA,82,37,45,984.0,114.0,115.5,-1.5,61.1,1.53,18.1,30.6,71.2,51.3,16.5,54.8,58.6,102.44,49.4,
23,IND,82,35,47,984.0,116.9,112.4,4.5,65.4,1.92,19.3,30.0,69.2,49.4,14.2,55.0,58.9,102.95,52.1,
23,WAS,82,35,47,984.0,112.9,118.2,-5.3,61.7,1.79,18.9,27.6,71.0,49.7,14.7,55.5,58.3,99.12,48.2,
25,ORL,82,34,48,984.0,110.5,115.0,-4.4,55.4,1.44,16.8,27.1,71.1,49.5,15.8,53.6,57.4,100.8,47.8,
26,POR,82,33,49,984.0,117.5,116.1,1.4,61.7,1.66,18.3,28.3,69.0,49.2,15.2,56.1,60.6,100.68,50.3,
27,CHA,82,27,55,984.0,106.1,119.8,-13.7,62.3,1.72,18.1,27.2,72.7,49.2,14.5,50.9,54.3,103.46,44.3,
28,HOU,82,22,60,984.0,109.5,118.9,-9.4,56.5,1.4,16.1,34.0,69.9,51.3,16.1,50.7,54.7,101.49,45.6,
28,SAS,82,22,60,984.0,110.4,117.8,-7.4,64.4,1.68,19.6,28.6,70.4,49.5,16.4,54.7,57.2,104.27,46.7,
30,DET,82,17,65,984.0,109.8,114.3,-4.5,59.0,1.43,16.9,30.6,71.0,50.5,16.4,52.2,56.1,101.05,46.2,
