Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-03-10,GSW vs. LAC,GSW,LAC,Home,L,32.21,21,8,16,50.0,3,8,37.5,2,4,50.0,0,2,2,3,0,0,1,1,-18
2020-03-07,GSW vs. PHI,GSW,PHI,Home,W,37.03,10,3,10,30.0,0,0,0.0,4,7,57.1,1,3,4,4,1,1,1,4,8
2020-03-05,GSW vs. TOR,GSW,TOR,Home,L,37.25,21,9,20,45.0,3,9,33.3,0,1,0.0,5,5,10,2,0,2,2,3,-11
2020-03-03,GSW @ DEN,GSW,DEN,Away,W,33.53,22,9,16,56.3,2,6,33.3,2,4,50.0,1,4,5,10,1,1,3,3,8
2020-03-01,GSW vs. WAS,GSW,WAS,Home,L,35.22,27,9,19,47.4,1,5,20.0,8,11,72.7,1,5,6,2,2,2,4,3,-31
2020-02-29,GSW @ PHX,GSW,PHX,Away,W,34.48,17,6,20,30.0,0,5,0.0,5,7,71.4,2,5,7,5,3,2,2,1,2
2020-02-25,GSW vs. SAC,GSW,SAC,Home,L,30.31,16,6,14,42.9,0,3,0.0,4,4,100.0,0,0,0,1,0,0,2,0,-16
2020-02-23,GSW vs. NOP,GSW,NOP,Home,L,34.2,8,3,16,18.8,1,4,25.0,1,2,50.0,5,5,10,4,1,2,1,3,-19
2020-02-20,GSW vs. HOU,GSW,HOU,Home,L,28.57,22,10,17,58.8,2,4,50.0,0,0,0.0,2,1,3,0,1,2,1,1,-19
2020-02-12,GSW @ PHX,GSW,PHX,Away,L,33.47,27,9,14,64.3,3,4,75.0,6,6,100.0,0,4,4,5,2,4,2,0,9
2020-02-10,GSW vs. MIA,GSW,MIA,Home,L,34.04,18,6,14,42.9,2,7,28.6,4,6,66.7,0,2,2,4,0,0,2,4,6
2020-02-08,GSW vs. LAL,GSW,LAL,Home,L,30.54,24,8,12,66.7,3,4,75.0,5,9,55.6,1,1,2,3,5,1,4,3,-2
2020-02-05,MIN vs. ATL,MIN,ATL,Home,L,36.03,25,9,20,45.0,3,8,37.5,4,6,66.7,1,6,7,3,2,1,4,2,-7
2020-02-03,MIN @ SAC,MIN,SAC,Away,L,35.29,10,3,11,27.3,0,3,0.0,4,6,66.7,2,4,6,5,1,1,5,4,-11
2020-02-01,MIN @ LAC,MIN,LAC,Away,L,26.32,13,4,11,36.4,1,3,33.3,4,5,80.0,0,5,5,3,0,0,2,3,-16
2020-01-27,MIN vs. SAC,MIN,SAC,Home,L,42.47,36,13,21,61.9,7,11,63.6,3,6,50.0,0,9,9,8,0,1,2,4,8
2020-01-25,MIN vs. OKC,MIN,OKC,Home,L,33.45,22,8,18,44.4,4,11,36.4,2,4,50.0,0,3,3,1,1,0,3,5,-10
2020-01-24,MIN vs. HOU,MIN,HOU,Home,L,33.1,28,11,19,57.9,3,7,42.9,3,4,75.0,0,5,5,3,1,0,2,4,-6
2020-01-22,MIN @ CHI,MIN,CHI,Away,L,35.09,25,10,19,52.6,4,10,40.0,1,6,16.7,1,4,5,9,1,0,5,2,6
2020-01-20,MIN vs. DEN,MIN,DEN,Home,L,33.19,15,6,17,35.3,1,7,14.3,2,2,100.0,1,5,6,2,0,1,3,0,-8
2020-01-18,MIN vs. TOR,MIN,TOR,Home,L,36.05,18,6,14,42.9,1,5,20.0,5,6,83.3,1,9,10,11,1,0,3,2,-13
2020-01-17,MIN @ IND,MIN,IND,Away,L,34.08,22,9,17,52.9,2,3,66.7,2,3,66.7,1,1,2,4,0,0,3,4,-3
2020-01-15,MIN vs. IND,MIN,IND,Home,L,32.18,10,4,13,30.8,1,4,25.0,1,2,50.0,0,3,3,3,1,1,0,0,-5
2020-01-13,MIN vs. OKC,MIN,OKC,Home,L,31.17,10,4,12,33.3,0,3,0.0,2,2,100.0,1,0,1,3,1,1,1,1,-22
2020-01-11,MIN @ HOU,MIN,HOU,Away,L,24.37,11,3,13,23.1,1,7,14.3,4,4,100.0,1,2,3,1,0,0,2,1,-25
2020-01-09,MIN vs. POR,MIN,POR,Home,W,25.38,23,9,15,60.0,2,4,50.0,3,6,50.0,1,2,3,8,0,0,1,1,14
2020-01-07,MIN @ MEM,MIN,MEM,Away,L,33.3,15,6,13,46.2,3,8,37.5,0,0,0.0,2,2,4,2,0,1,4,2,-5
2020-01-05,MIN @ CLE,MIN,CLE,Away,W,30.53,15,6,19,31.6,1,6,16.7,2,2,100.0,4,3,7,4,2,0,3,2,19
2019-12-26,MIN @ SAC,MIN,SAC,Away,W,43.37,18,4,19,21.1,2,9,22.2,8,10,80.0,1,9,10,7,0,0,3,2,1
2019-12-23,MIN @ GSW,MIN,GSW,Away,L,38.36,22,10,27,37.0,1,8,12.5,1,2,50.0,1,6,7,2,0,1,5,5,-20
2019-12-21,MIN @ POR,MIN,POR,Away,L,34.57,33,13,24,54.2,4,6,66.7,3,4,75.0,1,5,6,1,0,3,5,1,-6
2019-12-20,MIN @ DEN,MIN,DEN,Away,L,37.03,19,7,18,38.9,2,8,25.0,3,4,75.0,1,2,3,6,1,1,4,2,-3
2019-12-18,MIN vs. NOP,MIN,NOP,Home,L,41.55,27,9,23,39.1,2,6,33.3,7,9,77.8,2,5,7,0,2,0,4,3,-4
2019-12-13,MIN vs. LAC,MIN,LAC,Home,L,39.2,34,12,20,60.0,2,7,28.6,8,8,100.0,1,2,3,2,1,0,4,4,-9
2019-12-11,MIN vs. UTA,MIN,UTA,Home,L,37.32,26,11,23,47.8,3,8,37.5,1,1,100.0,2,4,6,3,3,0,2,1,-6
2019-12-09,MIN @ PHX,MIN,PHX,Away,L,37.2,23,8,18,44.4,1,5,20.0,6,7,85.7,1,3,4,4,0,2,1,2,-16
2019-12-08,MIN @ LAL,MIN,LAL,Away,L,29.25,19,8,15,53.3,1,5,20.0,2,3,66.7,0,2,2,3,0,0,3,3,-20
2019-12-04,MIN @ DAL,MIN,DAL,Away,L,31.38,26,7,24,29.2,3,8,37.5,9,11,81.8,3,2,5,1,0,3,3,4,-8
2019-12-01,MIN vs. MEM,MIN,MEM,Home,L,35.02,18,6,17,35.3,1,6,16.7,5,5,100.0,1,5,6,7,1,2,3,1,3
2019-11-27,MIN @ SAS,MIN,SAS,Away,W,35.49,26,7,16,43.8,3,5,60.0,9,14,64.3,1,7,8,2,0,2,1,2,26
2019-11-25,MIN @ ATL,MIN,ATL,Away,W,36.28,25,9,19,47.4,3,6,50.0,4,6,66.7,0,6,6,1,2,0,2,2,13
2019-11-23,MIN vs. PHX,MIN,PHX,Home,L,36.27,21,9,21,42.9,2,6,33.3,1,3,33.3,1,3,4,3,0,3,4,6,-1
2019-11-20,MIN vs. UTA,MIN,UTA,Home,L,34.09,22,10,24,41.7,1,10,10.0,1,3,33.3,2,5,7,3,0,0,3,3,1
2019-11-13,MIN vs. SAS,MIN,SAS,Home,W,31.45,30,12,23,52.2,4,7,57.1,2,2,100.0,2,6,8,7,2,1,2,1,24
2019-11-11,MIN @ DET,MIN,DET,Away,W,35.57,33,12,20,60.0,3,5,60.0,6,8,75.0,0,6,6,5,1,1,2,0,7
2019-11-10,MIN vs. DEN,MIN,DEN,Home,L,40.28,25,10,22,45.5,1,6,16.7,4,4,100.0,0,4,4,5,1,1,1,1,-1
2019-11-08,MIN vs. GSW,MIN,GSW,Home,W,44.37,40,17,33,51.5,2,7,28.6,4,8,50.0,1,4,5,7,0,3,0,4,13
2019-11-06,MIN @ MEM,MIN,MEM,Away,L,34.2,30,11,21,52.4,3,8,37.5,5,8,62.5,1,1,2,6,2,1,3,5,-11
2019-11-04,MIN vs. MIL,MIN,MIL,Home,L,30.38,25,10,21,47.6,4,7,57.1,1,2,50.0,1,2,3,0,0,2,2,3,-17
2019-11-02,MIN @ WAS,MIN,WAS,Away,W,26.25,21,7,16,43.8,4,9,44.4,3,4,75.0,0,5,5,6,0,1,1,0,19
