Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-05,PHI @ WAS,PHI,WAS,Away,W,22.55,8,2,10,20.0,0,1,0.0,4,8,50.0,1,5,6,4,2,0,2,2,-3
2020-08-03,PHI vs. SAS,PHI,SAS,Home,W,25.08,8,4,6,66.7,0,0,0.0,0,0,0.0,0,2,2,5,1,1,2,6,-3
2020-08-01,PHI @ IND,PHI,IND,Away,L,38.22,19,8,14,57.1,0,0,0.0,3,6,50.0,4,9,13,4,1,0,4,5,-11
2020-02-22,PHI @ MIL,PHI,MIL,Away,L,4.44,5,2,2,100.0,0,0,0.0,1,2,50.0,1,1,2,1,0,1,1,0,-7
2020-02-11,PHI vs. LAC,PHI,LAC,Home,W,42.43,26,12,22,54.5,0,0,0.0,2,3,66.7,4,8,12,10,1,0,3,3,9
2020-02-09,PHI vs. CHI,PHI,CHI,Home,W,36.35,19,6,13,46.2,0,0,0.0,7,10,70.0,3,7,10,10,4,0,7,3,-2
2020-02-07,PHI vs. MEM,PHI,MEM,Home,W,34.51,22,9,14,64.3,0,0,0.0,4,5,80.0,0,4,4,10,3,1,7,3,23
2020-02-06,PHI @ MIL,PHI,MIL,Away,L,41.32,11,5,6,83.3,0,0,0.0,1,4,25.0,4,10,14,9,2,1,4,4,-13
2020-02-03,PHI @ MIA,PHI,MIA,Away,L,34.03,16,4,7,57.1,0,1,0.0,8,9,88.9,1,7,8,7,0,0,4,5,-31
2020-02-01,PHI @ BOS,PHI,BOS,Away,L,37.26,23,9,14,64.3,0,0,0.0,5,9,55.6,2,7,9,5,1,0,4,2,-16
2020-01-30,PHI @ ATL,PHI,ATL,Away,L,42.2,31,10,15,66.7,0,0,0.0,11,13,84.6,4,2,6,5,4,0,3,2,-13
2020-01-28,PHI vs. GSW,PHI,GSW,Home,W,27.16,17,4,11,36.4,0,0,0.0,9,10,90.0,0,4,4,5,1,0,2,2,-4
2020-01-25,PHI vs. LAL,PHI,LAL,Home,W,41.14,28,12,15,80.0,0,0,0.0,4,6,66.7,3,7,10,8,4,0,5,3,15
2020-01-22,PHI @ TOR,PHI,TOR,Away,L,37.58,17,5,7,71.4,0,0,0.0,7,9,77.8,2,8,10,8,2,0,8,3,-14
2020-01-20,PHI @ BKN,PHI,BKN,Away,W,42.2,34,12,14,85.7,0,0,0.0,10,14,71.4,2,10,12,12,5,2,3,3,13
2020-01-18,PHI @ NYK,PHI,NYK,Away,W,39.44,21,9,15,60.0,0,0,0.0,3,8,37.5,3,4,7,8,2,0,0,1,-3
2020-01-17,PHI vs. CHI,PHI,CHI,Home,W,37.09,20,10,17,58.8,0,0,0.0,0,0,0.0,3,8,11,7,1,0,2,2,17
2020-01-15,PHI vs. BKN,PHI,BKN,Home,W,41.07,20,9,13,69.2,0,0,0.0,2,7,28.6,2,4,6,11,1,1,4,5,8
2020-01-13,PHI @ IND,PHI,IND,Away,L,40.18,24,10,17,58.8,0,0,0.0,4,4,100.0,3,11,14,3,1,0,2,3,2
2020-01-11,PHI @ DAL,PHI,DAL,Away,L,36.6,11,5,11,45.5,0,0,0.0,1,1,100.0,2,3,5,11,4,0,0,5,-19
2020-01-09,PHI vs. BOS,PHI,BOS,Home,W,38.42,19,9,15,60.0,0,0,0.0,1,4,25.0,2,7,9,3,1,0,3,1,4
2020-01-06,PHI vs. OKC,PHI,OKC,Home,W,37.54,17,6,12,50.0,0,0,0.0,5,6,83.3,4,11,15,8,1,0,2,4,18
2020-01-03,PHI @ HOU,PHI,HOU,Away,L,42.12,29,13,20,65.0,0,0,0.0,3,7,42.9,6,7,13,11,3,4,3,5,-8
2019-12-31,PHI @ IND,PHI,IND,Away,L,31.58,18,6,11,54.5,0,0,0.0,6,8,75.0,1,9,10,3,0,1,6,2,-23
2019-12-28,PHI @ MIA,PHI,MIA,Away,L,43.29,15,6,12,50.0,0,0,0.0,3,6,50.0,3,4,7,11,3,1,1,4,-12
2019-12-27,PHI @ ORL,PHI,ORL,Away,L,39.06,13,5,11,45.5,0,0,0.0,3,6,50.0,1,8,9,7,4,0,3,5,1
2019-12-25,PHI vs. MIL,PHI,MIL,Home,W,38.03,15,7,10,70.0,0,0,0.0,1,2,50.0,1,6,7,14,3,2,2,3,9
2019-12-23,PHI @ DET,PHI,DET,Away,W,37.16,16,8,14,57.1,0,0,0.0,0,0,0.0,6,7,13,17,0,0,4,4,20
2019-12-21,PHI vs. WAS,PHI,WAS,Home,W,32.52,14,5,10,50.0,0,0,0.0,4,9,44.4,4,4,8,11,4,0,6,4,3
2019-12-20,PHI vs. DAL,PHI,DAL,Home,L,35.42,12,4,10,40.0,0,0,0.0,4,7,57.1,2,4,6,8,3,0,5,3,-14
2019-12-18,PHI vs. MIA,PHI,MIA,Home,L,42.28,17,7,13,53.8,0,0,0.0,3,4,75.0,1,5,6,6,2,1,3,4,4
2019-12-15,PHI @ BKN,PHI,BKN,Away,L,28.47,20,7,10,70.0,0,0,0.0,6,8,75.0,1,4,5,3,1,2,1,3,-11
2019-12-13,PHI vs. NOP,PHI,NOP,Home,W,37.3,24,9,15,60.0,0,0,0.0,6,10,60.0,1,2,3,11,3,2,1,2,6
2019-12-12,PHI @ BOS,PHI,BOS,Away,W,36.29,7,2,6,33.3,0,0,0.0,3,4,75.0,0,8,8,6,0,1,5,4,-2
2019-12-10,PHI vs. DEN,PHI,DEN,Home,W,37.12,7,3,6,50.0,0,1,0.0,1,4,25.0,2,7,9,7,1,0,4,3,-2
2019-12-08,PHI vs. TOR,PHI,TOR,Home,W,39.11,16,8,11,72.7,0,0,0.0,0,0,0.0,3,8,11,9,0,0,5,2,4
2019-12-07,PHI vs. CLE,PHI,CLE,Home,W,25.39,34,12,14,85.7,1,1,100.0,9,12,75.0,0,3,3,7,1,2,1,2,32
2019-12-05,PHI @ WAS,PHI,WAS,Away,L,35.59,17,8,10,80.0,0,0,0.0,1,4,25.0,2,3,5,10,3,0,7,5,-4
2019-12-02,PHI vs. UTA,PHI,UTA,Home,W,33.5,14,7,11,63.6,0,0,0.0,0,4,0.0,3,5,8,9,4,0,3,4,19
2019-11-30,PHI vs. IND,PHI,IND,Home,W,37.46,15,4,13,30.8,0,1,0.0,7,7,100.0,1,5,6,13,4,1,3,3,1
2019-11-29,PHI @ NYK,PHI,NYK,Away,W,37.41,15,5,11,45.5,0,0,0.0,5,10,50.0,1,4,5,8,2,0,4,4,0
2019-11-27,PHI vs. SAC,PHI,SAC,Home,W,36.55,10,5,10,50.0,0,0,0.0,0,0,0.0,2,11,13,5,2,0,5,3,0
2019-11-25,PHI @ TOR,PHI,TOR,Away,L,40.42,10,4,8,50.0,0,1,0.0,2,2,100.0,3,6,9,14,2,0,7,2,-8
2019-11-23,PHI vs. MIA,PHI,MIA,Home,W,26.33,4,2,6,33.3,0,0,0.0,0,0,0.0,1,7,8,7,4,0,3,3,34
2019-11-22,PHI vs. SAS,PHI,SAS,Home,W,31.56,10,3,10,30.0,0,0,0.0,4,8,50.0,1,9,10,13,2,1,5,5,10
2019-11-20,PHI vs. NYK,PHI,NYK,Home,W,41.46,18,7,9,77.8,1,1,100.0,3,4,75.0,1,6,7,13,1,1,1,2,10
2019-11-17,PHI @ CLE,PHI,CLE,Away,W,25.5,10,5,8,62.5,0,0,0.0,0,0,0.0,0,4,4,11,1,2,3,4,14
2019-11-15,PHI @ OKC,PHI,OKC,Away,L,45.33,16,6,8,75.0,0,0,0.0,4,6,66.7,7,4,11,8,1,0,5,6,-1
2019-11-13,PHI @ ORL,PHI,ORL,Away,L,35.17,18,9,12,75.0,0,0,0.0,0,0,0.0,2,6,8,5,0,0,2,4,-12
2019-11-12,PHI vs. CLE,PHI,CLE,Home,W,34.59,15,7,9,77.8,0,0,0.0,1,3,33.3,1,4,5,6,2,2,4,3,4
