Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-02-11,HOU vs. BOS,HOU,BOS,Home,W,1.16,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-4
2020-02-07,HOU @ PHX,HOU,PHX,Away,L,13.44,3,1,4,25.0,0,2,0.0,1,2,50.0,1,2,3,2,1,0,1,2,-13
2020-02-04,HOU vs. CHA,HOU,CHA,Home,W,3.1,2,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,-1
2020-01-27,HOU @ UTA,HOU,UTA,Away,W,5.56,2,1,1,100.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,2,1,-9
2020-01-22,HOU vs. DEN,HOU,DEN,Home,W,3.36,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-7
2020-01-15,HOU vs. POR,HOU,POR,Home,L,0.56,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-5
2020-01-14,HOU @ MEM,HOU,MEM,Away,L,3.59,2,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,1,0,0,0,0,-8
2020-01-11,HOU vs. MIN,HOU,MIN,Home,W,26.3,17,8,9,88.9,0,0,0.0,1,2,50.0,5,10,15,1,2,5,0,3,39
2020-01-09,HOU @ OKC,HOU,OKC,Away,L,12.0,2,1,5,20.0,0,2,0.0,0,0,0.0,0,4,4,2,1,0,0,1,1
2020-01-08,HOU @ ATL,HOU,ATL,Away,W,4.06,2,1,1,100.0,0,0,0.0,0,1,0.0,0,2,2,1,0,0,1,1,3
2020-01-03,HOU vs. PHI,HOU,PHI,Home,W,11.06,0,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,2,0
2019-12-31,HOU vs. DEN,HOU,DEN,Home,W,18.04,16,6,8,75.0,0,0,0.0,4,6,66.7,5,7,12,0,1,1,2,4,21
2019-12-29,HOU @ NOP,HOU,NOP,Away,L,34.12,19,9,11,81.8,0,0,0.0,1,2,50.0,1,8,9,4,0,2,2,4,-6
2019-12-28,HOU vs. BKN,HOU,BKN,Home,W,24.22,9,4,7,57.1,0,0,0.0,1,2,50.0,6,7,13,1,1,0,2,4,-4
2019-12-13,HOU @ ORL,HOU,ORL,Away,W,6.38,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,1,-2
2019-12-07,HOU vs. PHX,HOU,PHX,Home,W,2.24,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-7
2019-11-30,HOU vs. ATL,HOU,ATL,Home,W,20.47,7,3,5,60.0,0,1,0.0,1,2,50.0,3,2,5,2,1,1,2,4,15
2019-11-27,HOU vs. MIA,HOU,MIA,Home,W,10.24,1,0,1,0.0,0,0,0.0,1,2,50.0,0,2,2,1,0,0,0,2,-1
2019-11-24,HOU vs. DAL,HOU,DAL,Home,L,1.48,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,5
2019-11-20,HOU @ DEN,HOU,DEN,Away,L,4.21,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,1,4
2019-11-18,HOU vs. POR,HOU,POR,Home,W,12.51,9,3,3,100.0,0,0,0.0,3,3,100.0,0,1,1,0,0,2,2,1,-6
2019-11-16,HOU @ MIN,HOU,MIN,Away,W,30.37,6,1,2,50.0,0,0,0.0,4,4,100.0,5,11,16,0,0,0,2,5,26
2019-11-15,HOU vs. IND,HOU,IND,Home,W,13.14,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2,-1
