Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-02-10,MIN @ TOR,MIN,TOR,Away,L,36.46,23,5,13,38.5,3,6,50.0,10,12,83.3,4,6,10,7,1,1,5,4,-7
2020-02-08,MIN vs. LAC,MIN,LAC,Home,W,34.12,22,9,13,69.2,3,5,60.0,1,4,25.0,3,10,13,9,1,1,3,1,25
2020-02-05,MIN vs. ATL,MIN,ATL,Home,L,38.19,21,7,15,46.7,2,6,33.3,5,6,83.3,3,8,11,1,2,1,4,3,-4
2020-02-03,MIN @ SAC,MIN,SAC,Away,L,37.22,22,7,17,41.2,3,6,50.0,5,7,71.4,3,7,10,6,1,2,3,5,-7
2020-02-01,MIN @ LAC,MIN,LAC,Away,L,36.18,32,11,22,50.0,2,9,22.2,8,11,72.7,1,11,12,3,0,1,0,1,-10
2020-01-27,MIN vs. SAC,MIN,SAC,Home,L,40.1,23,7,18,38.9,3,6,50.0,6,8,75.0,3,5,8,3,1,1,7,4,0
2020-01-25,MIN vs. OKC,MIN,OKC,Home,L,35.26,37,13,23,56.5,4,9,44.4,7,8,87.5,2,6,8,6,2,2,3,2,-7
2020-01-24,MIN vs. HOU,MIN,HOU,Home,L,27.36,30,12,23,52.2,2,5,40.0,4,4,100.0,3,9,12,3,0,2,4,4,5
2020-01-22,MIN @ CHI,MIN,CHI,Away,L,31.16,40,16,24,66.7,4,8,50.0,4,5,80.0,1,5,6,2,0,0,2,4,-7
2020-01-20,MIN vs. DEN,MIN,DEN,Home,L,35.1,28,9,19,47.4,2,5,40.0,8,9,88.9,4,4,8,5,1,1,0,3,2
2020-01-18,MIN vs. TOR,MIN,TOR,Home,L,26.59,12,4,11,36.4,1,7,14.3,3,4,75.0,2,4,6,6,0,1,4,2,-9
2020-01-17,MIN @ IND,MIN,IND,Away,L,28.05,27,9,21,42.9,3,9,33.3,6,6,100.0,3,2,5,1,0,0,3,4,-3
2019-12-13,MIN vs. LAC,MIN,LAC,Home,L,35.16,39,12,22,54.5,5,10,50.0,10,13,76.9,4,8,12,3,2,0,5,4,4
2019-12-11,MIN vs. UTA,MIN,UTA,Home,L,36.27,21,6,15,40.0,2,9,22.2,7,9,77.8,4,7,11,3,1,0,5,5,-2
2019-12-09,MIN @ PHX,MIN,PHX,Away,L,34.43,33,12,18,66.7,2,4,50.0,7,9,77.8,5,10,15,2,0,2,2,3,-14
2019-12-08,MIN @ LAL,MIN,LAL,Away,L,35.39,19,7,16,43.8,1,7,14.3,4,5,80.0,1,3,4,8,1,0,2,4,-17
2019-12-06,MIN @ OKC,MIN,OKC,Away,L,37.01,30,11,16,68.8,5,9,55.6,3,4,75.0,1,4,5,8,2,2,0,5,-4
2019-12-04,MIN @ DAL,MIN,DAL,Away,L,37.14,26,10,19,52.6,3,5,60.0,3,4,75.0,4,5,9,7,1,1,2,3,7
2019-12-01,MIN vs. MEM,MIN,MEM,Home,L,35.43,21,7,20,35.0,1,10,10.0,6,6,100.0,3,9,12,5,0,0,2,2,-4
2019-11-27,MIN @ SAS,MIN,SAS,Away,W,30.3,23,8,14,57.1,3,7,42.9,4,4,100.0,0,14,14,6,0,1,5,5,5
2019-11-25,MIN @ ATL,MIN,ATL,Away,W,31.47,28,8,19,42.1,3,8,37.5,9,10,90.0,5,8,13,8,0,2,5,4,5
2019-11-23,MIN vs. PHX,MIN,PHX,Home,L,38.38,31,11,19,57.9,6,12,50.0,3,3,100.0,2,15,17,4,0,1,5,2,11
2019-11-20,MIN vs. UTA,MIN,UTA,Home,L,32.49,14,5,10,50.0,4,7,57.1,0,0,0.0,2,10,12,1,0,1,3,4,-20
2019-11-18,MIN @ UTA,MIN,UTA,Away,W,33.23,29,11,23,47.8,7,15,46.7,0,0,0.0,3,10,13,5,2,2,5,5,11
