Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-03-10,CLE @ CHI,CLE,CHI,Away,L,37.16,17,5,16,31.3,2,13,15.4,5,5,100.0,0,8,8,7,1,0,3,1,0
2020-03-08,CLE vs. SAS,CLE,SAS,Home,W,40.04,14,3,12,25.0,1,5,20.0,7,8,87.5,3,15,18,3,0,0,4,4,14
2020-03-07,CLE vs. DEN,CLE,DEN,Home,W,36.53,27,9,17,52.9,5,11,45.5,4,5,80.0,1,5,6,3,0,0,1,2,11
2020-03-04,CLE vs. BOS,CLE,BOS,Home,L,37.19,26,9,17,52.9,5,10,50.0,3,3,100.0,5,9,14,5,0,1,4,4,-2
2020-03-02,CLE vs. UTA,CLE,UTA,Home,L,31.54,22,7,15,46.7,6,11,54.5,2,3,66.7,0,9,9,2,1,0,1,2,3
2020-02-29,CLE vs. IND,CLE,IND,Home,L,37.18,20,6,9,66.7,1,4,25.0,7,8,87.5,2,10,12,7,1,0,2,0,-6
2020-02-28,CLE @ NOP,CLE,NOP,Away,L,26.43,10,4,11,36.4,0,3,0.0,2,3,66.7,1,6,7,2,2,0,2,1,-13
2020-02-26,CLE vs. PHI,CLE,PHI,Home,W,33.12,13,3,9,33.3,3,7,42.9,4,4,100.0,0,9,9,6,0,1,3,1,15
2020-02-24,CLE vs. MIA,CLE,MIA,Home,W,37.55,17,4,13,30.8,2,8,25.0,7,8,87.5,2,12,14,4,0,2,3,1,10
2020-02-21,CLE @ WAS,CLE,WAS,Away,W,22.32,9,3,8,37.5,2,5,40.0,1,2,50.0,0,1,1,1,0,0,3,1,0
2020-02-09,CLE vs. LAC,CLE,LAC,Home,L,25.46,10,3,8,37.5,2,7,28.6,2,2,100.0,1,8,9,2,1,0,1,2,-25
2020-02-05,CLE @ OKC,CLE,OKC,Away,L,33.4,20,8,17,47.1,3,7,42.9,1,1,100.0,1,6,7,5,1,0,3,0,-2
2020-02-03,CLE vs. NYK,CLE,NYK,Home,L,41.2,33,12,20,60.0,4,9,44.4,5,5,100.0,1,12,13,6,0,1,1,4,-1
2020-02-01,CLE vs. GSW,CLE,GSW,Home,L,29.12,14,5,13,38.5,2,9,22.2,2,2,100.0,3,8,11,5,1,0,1,0,-9
2020-01-30,CLE vs. TOR,CLE,TOR,Home,L,32.42,23,8,13,61.5,6,9,66.7,1,1,100.0,1,4,5,4,1,0,2,1,-3
2020-01-28,CLE vs. NOP,CLE,NOP,Home,L,26.0,12,4,15,26.7,2,10,20.0,2,2,100.0,0,6,6,3,0,0,2,2,-21
2020-01-27,CLE @ DET,CLE,DET,Away,W,24.18,20,7,11,63.6,6,8,75.0,0,0,0.0,0,7,7,2,0,0,1,1,18
2020-01-25,CLE vs. CHI,CLE,CHI,Home,L,32.38,20,8,16,50.0,4,8,50.0,0,0,0.0,1,10,11,2,1,0,4,3,-7
2020-01-23,CLE vs. WAS,CLE,WAS,Home,L,33.53,21,8,19,42.1,3,9,33.3,2,3,66.7,0,5,5,2,2,0,0,2,-6
2020-01-20,CLE vs. NYK,CLE,NYK,Home,L,30.02,12,4,14,28.6,4,10,40.0,0,0,0.0,0,9,9,1,1,0,2,1,-23
2020-01-18,CLE @ CHI,CLE,CHI,Away,L,34.07,29,10,20,50.0,4,8,50.0,5,5,100.0,0,5,5,6,1,1,2,3,11
2020-01-17,CLE @ MEM,CLE,MEM,Away,L,34.23,19,5,12,41.7,0,6,0.0,9,13,69.2,2,7,9,2,0,0,1,2,-9
2020-01-13,CLE @ LAL,CLE,LAL,Away,L,33.04,21,7,17,41.2,1,4,25.0,6,6,100.0,2,9,11,3,0,0,4,2,-19
2020-01-11,CLE @ DEN,CLE,DEN,Away,W,36.5,19,7,18,38.9,2,9,22.2,3,3,100.0,0,15,15,2,1,0,3,3,10
2020-01-09,CLE @ DET,CLE,DET,Away,W,37.52,17,6,14,42.9,1,5,20.0,4,6,66.7,0,9,9,3,1,0,3,3,0
2020-01-07,CLE vs. DET,CLE,DET,Home,L,36.21,30,12,15,80.0,4,6,66.7,2,2,100.0,0,9,9,4,1,0,4,3,-5
2020-01-04,CLE vs. OKC,CLE,OKC,Home,L,29.41,12,4,10,40.0,3,5,60.0,1,1,100.0,0,3,3,1,0,0,3,0,-9
2020-01-02,CLE vs. CHA,CLE,CHA,Home,L,31.14,18,6,13,46.2,2,8,25.0,4,4,100.0,0,8,8,4,0,1,1,3,-8
2019-12-31,CLE @ TOR,CLE,TOR,Away,L,30.18,10,4,11,36.4,1,7,14.3,1,1,100.0,2,9,11,2,0,2,3,2,-7
2019-12-27,CLE @ BOS,CLE,BOS,Away,L,34.4,30,10,16,62.5,6,11,54.5,4,6,66.7,1,6,7,4,0,0,0,2,-6
2019-12-23,CLE vs. ATL,CLE,ATL,Home,W,34.22,20,7,16,43.8,3,10,30.0,3,3,100.0,1,7,8,5,1,1,5,2,5
2019-12-20,CLE vs. MEM,CLE,MEM,Home,W,28.22,21,6,13,46.2,5,11,45.5,4,6,66.7,0,13,13,1,0,0,2,1,1
2019-12-18,CLE vs. CHA,CLE,CHA,Home,W,32.22,16,5,9,55.6,4,6,66.7,2,2,100.0,0,14,14,7,1,1,3,1,15
2019-12-16,CLE @ TOR,CLE,TOR,Away,L,25.17,9,4,10,40.0,1,5,20.0,0,0,0.0,0,7,7,4,0,0,3,0,-20
2019-12-14,CLE @ MIL,CLE,MIL,Away,L,25.54,12,4,10,40.0,2,4,50.0,2,3,66.7,1,9,10,4,1,0,3,0,-35
2019-12-12,CLE @ SAS,CLE,SAS,Away,W,38.32,30,11,24,45.8,4,9,44.4,4,5,80.0,2,15,17,2,0,0,2,3,14
2019-12-11,CLE vs. HOU,CLE,HOU,Home,L,32.01,17,8,14,57.1,0,1,0.0,1,3,33.3,3,8,11,2,1,1,3,1,-23
2019-12-09,CLE @ BOS,CLE,BOS,Away,L,26.47,7,3,12,25.0,1,7,14.3,0,0,0.0,2,8,10,1,0,0,1,0,-29
2019-12-07,CLE @ PHI,CLE,PHI,Away,L,20.03,6,2,7,28.6,1,4,25.0,1,1,100.0,0,7,7,1,0,0,3,0,-27
2019-12-03,CLE vs. DET,CLE,DET,Home,L,21.3,8,3,7,42.9,2,2,100.0,0,0,0.0,0,4,4,2,1,1,2,0,-18
2019-11-29,CLE vs. MIL,CLE,MIL,Home,L,31.16,16,6,11,54.5,4,8,50.0,0,0,0.0,0,8,8,7,0,0,2,3,-2
2019-11-27,CLE vs. ORL,CLE,ORL,Home,L,24.07,9,3,9,33.3,2,7,28.6,1,2,50.0,0,5,5,1,0,0,2,1,-8
2019-11-22,CLE @ DAL,CLE,DAL,Away,L,25.26,8,2,8,25.0,0,3,0.0,4,4,100.0,1,6,7,1,0,0,3,2,-34
2019-11-20,CLE @ MIA,CLE,MIA,Away,L,33.17,25,8,14,57.1,5,9,55.6,4,4,100.0,2,11,13,2,0,0,4,1,-15
2019-11-17,CLE vs. PHI,CLE,PHI,Home,L,25.16,12,3,8,37.5,2,5,40.0,4,5,80.0,0,6,6,0,0,0,0,2,-10
2019-11-14,CLE vs. MIA,CLE,MIA,Home,L,38.44,21,6,16,37.5,3,8,37.5,6,6,100.0,2,8,10,1,4,1,4,0,-5
2019-11-12,CLE @ PHI,CLE,PHI,Away,L,31.3,20,5,16,31.3,2,7,28.6,8,9,88.9,1,7,8,1,0,0,2,0,1
2019-11-10,CLE @ NYK,CLE,NYK,Away,W,31.35,17,4,11,36.4,0,3,0.0,9,9,100.0,2,6,8,2,0,0,3,2,15
2019-11-08,CLE @ WAS,CLE,WAS,Away,W,28.53,16,3,6,50.0,0,3,0.0,10,13,76.9,2,10,12,2,0,2,3,3,4
2019-11-05,CLE vs. BOS,CLE,BOS,Home,L,32.11,17,7,14,50.0,1,5,20.0,2,2,100.0,1,8,9,3,1,2,2,0,-3
