Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-14,OKC @ LAC,OKC,LAC,Away,L,13.31,13,6,10,60.0,0,1,0.0,1,1,100.0,0,4,4,0,1,0,3,0,12
2020-08-12,OKC vs. MIA,OKC,MIA,Home,W,24.32,18,6,9,66.7,2,3,66.7,4,4,100.0,0,1,1,1,0,1,2,1,-23
2020-08-09,OKC vs. WAS,OKC,WAS,Home,W,35.57,18,6,12,50.0,0,2,0.0,6,8,75.0,1,5,6,7,1,0,2,2,8
2020-08-07,OKC @ MEM,OKC,MEM,Away,L,34.23,10,3,13,23.1,1,8,12.5,3,4,75.0,0,3,3,3,1,0,3,0,-9
2020-08-05,OKC @ LAL,OKC,LAL,Away,W,35.3,13,3,11,27.3,1,4,25.0,6,6,100.0,1,6,7,5,3,1,2,0,9
2020-08-03,OKC vs. DEN,OKC,DEN,Home,L,38.02,24,6,13,46.2,3,6,50.0,9,11,81.8,0,5,5,2,0,0,3,5,-9
2020-08-01,OKC vs. UTA,OKC,UTA,Home,W,32.23,19,6,12,50.0,2,5,40.0,5,6,83.3,0,2,2,6,3,0,2,1,15
2020-03-06,OKC @ NYK,OKC,NYK,Away,W,21.4,18,6,10,60.0,1,3,33.3,5,6,83.3,0,3,3,5,2,0,0,4,14
2020-03-04,OKC @ DET,OKC,DET,Away,W,34.32,27,12,15,80.0,2,4,50.0,1,1,100.0,0,2,2,3,2,2,1,0,12
2020-03-03,OKC vs. LAC,OKC,LAC,Home,L,33.58,15,7,12,58.3,1,2,50.0,0,0,0.0,0,6,6,2,1,3,2,2,-22
2020-02-28,OKC @ MIL,OKC,MIL,Away,L,26.52,11,5,12,41.7,1,3,33.3,0,1,0.0,0,3,3,2,0,0,2,1,-36
2020-02-27,OKC vs. SAC,OKC,SAC,Home,W,38.0,20,8,15,53.3,1,3,33.3,3,6,50.0,1,2,3,3,0,1,2,3,5
2020-02-25,OKC @ CHI,OKC,CHI,Away,W,33.58,21,5,11,45.5,2,5,40.0,9,12,75.0,1,10,11,3,1,2,3,1,-1
2020-02-23,OKC vs. SAS,OKC,SAS,Home,W,31.44,22,8,14,57.1,1,2,50.0,5,5,100.0,2,11,13,4,0,0,3,0,22
2020-02-21,OKC vs. DEN,OKC,DEN,Home,W,38.41,11,4,14,28.6,0,3,0.0,3,4,75.0,2,7,9,9,0,1,1,3,12
2020-02-13,OKC @ NOP,OKC,NOP,Away,W,37.1,17,6,14,42.9,2,6,33.3,3,4,75.0,0,3,3,7,1,0,0,2,5
