Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-03-11,ATL vs. NYK,ATL,NYK,Home,L,37.45,42,12,25,48.0,6,12,50.0,12,15,80.0,2,0,2,11,0,0,6,3,-4
2020-03-09,ATL vs. CHA,ATL,CHA,Home,W,43.33,31,11,25,44.0,6,13,46.2,3,4,75.0,0,4,4,16,0,0,6,3,9
2020-03-07,ATL @ MEM,ATL,MEM,Away,L,28.57,16,4,16,25.0,1,10,10.0,7,9,77.8,0,5,5,4,2,0,5,2,-14
2020-03-02,ATL vs. MEM,ATL,MEM,Home,L,29.13,19,5,17,29.4,0,4,0.0,9,9,100.0,0,1,1,2,1,1,7,0,-19
2020-02-29,ATL vs. POR,ATL,POR,Home,W,34.38,25,7,18,38.9,1,8,12.5,10,10,100.0,1,3,4,15,0,0,2,2,8
2020-02-28,ATL vs. BKN,ATL,BKN,Home,W,30.5,22,6,18,33.3,1,6,16.7,9,10,90.0,0,2,2,14,1,0,3,2,14
2020-02-26,ATL vs. ORL,ATL,ORL,Home,L,38.14,37,10,27,37.0,4,12,33.3,13,14,92.9,0,2,2,11,1,1,2,0,0
2020-02-24,ATL @ PHI,ATL,PHI,Away,L,36.36,28,10,22,45.5,2,11,18.2,6,6,100.0,0,7,7,10,0,0,3,3,-17
2020-02-22,ATL vs. DAL,ATL,DAL,Home,W,40.25,25,10,21,47.6,3,8,37.5,2,3,66.7,0,6,6,10,0,0,5,2,5
2020-02-20,ATL vs. MIA,ATL,MIA,Home,W,39.33,50,12,25,48.0,8,15,53.3,18,19,94.7,0,2,2,8,2,1,7,4,10
2020-02-12,ATL @ CLE,ATL,CLE,Away,L,37.08,27,8,17,47.1,2,7,28.6,9,11,81.8,0,3,3,12,2,0,4,4,-10
2020-02-10,ATL @ ORL,ATL,ORL,Away,L,33.36,29,7,19,36.8,3,11,27.3,12,13,92.3,0,1,1,9,0,0,4,0,-21
2020-02-09,ATL vs. NYK,ATL,NYK,Home,W,47.4,48,13,30,43.3,6,13,46.2,16,16,100.0,0,1,1,13,2,0,7,1,10
2020-02-05,ATL @ MIN,ATL,MIN,Away,W,37.11,38,10,23,43.5,6,13,46.2,12,13,92.3,0,4,4,11,1,0,3,3,6
2020-02-03,ATL vs. BOS,ATL,BOS,Home,L,35.3,34,10,20,50.0,4,11,36.4,10,11,90.9,0,3,3,7,2,0,9,2,-13
2020-02-01,ATL @ DAL,ATL,DAL,Away,L,26.18,12,4,13,30.8,1,6,16.7,3,4,75.0,1,5,6,1,0,0,4,2,-13
2020-01-30,ATL vs. PHI,ATL,PHI,Home,W,38.07,39,9,22,40.9,3,9,33.3,18,20,90.0,1,5,6,18,2,0,7,2,17
2020-01-28,ATL @ TOR,ATL,TOR,Away,L,28.21,18,5,13,38.5,1,7,14.3,7,8,87.5,1,1,2,13,0,0,7,2,-9
2020-01-26,ATL vs. WAS,ATL,WAS,Home,W,38.59,45,13,24,54.2,6,11,54.5,13,16,81.3,1,5,6,14,1,0,5,2,22
2020-01-24,ATL @ OKC,ATL,OKC,Away,L,33.44,26,7,20,35.0,2,8,25.0,10,12,83.3,0,2,2,16,1,0,1,0,-14
2020-01-20,ATL vs. TOR,ATL,TOR,Home,L,39.01,42,11,20,55.0,2,7,28.6,18,21,85.7,1,5,6,15,1,0,7,3,1
2020-01-18,ATL vs. DET,ATL,DET,Home,L,27.24,16,6,16,37.5,2,7,28.6,2,4,50.0,1,7,8,7,1,0,4,1,-30
2020-01-17,ATL @ SAS,ATL,SAS,Away,W,34.46,31,10,16,62.5,6,9,66.7,5,7,71.4,1,4,5,9,1,1,3,0,8
2020-01-14,ATL vs. PHX,ATL,PHX,Home,W,37.47,36,11,25,44.0,5,12,41.7,9,11,81.8,2,2,4,10,2,1,6,2,22
2020-01-10,ATL @ WAS,ATL,WAS,Away,L,31.21,19,7,20,35.0,0,7,0.0,5,8,62.5,0,4,4,7,2,0,6,1,-19
2020-01-08,ATL vs. HOU,ATL,HOU,Home,L,38.35,42,11,30,36.7,4,11,36.4,16,18,88.9,4,9,13,10,0,1,3,1,4
2020-01-06,ATL vs. DEN,ATL,DEN,Home,L,39.27,29,8,12,66.7,4,5,80.0,9,9,100.0,0,4,4,12,0,0,7,4,7
2020-01-04,ATL vs. IND,ATL,IND,Home,W,37.0,41,12,23,52.2,5,13,38.5,12,14,85.7,0,4,4,8,2,0,4,3,6
2020-01-03,ATL @ BOS,ATL,BOS,Away,L,36.43,28,9,23,39.1,5,14,35.7,5,6,83.3,0,5,5,10,0,0,6,3,4
2019-12-27,ATL vs. MIL,ATL,MIL,Home,L,15.12,12,3,6,50.0,2,4,50.0,4,6,66.7,0,0,0,2,0,0,4,1,-25
2019-12-23,ATL @ CLE,ATL,CLE,Away,L,36.08,30,9,21,42.9,5,14,35.7,7,9,77.8,0,6,6,11,4,0,5,2,-3
2019-12-21,ATL @ BKN,ATL,BKN,Away,L,40.22,47,14,30,46.7,3,12,25.0,16,19,84.2,1,7,8,6,1,0,5,1,5
2019-12-19,ATL vs. UTA,ATL,UTA,Home,L,40.56,30,9,28,32.1,3,11,27.3,9,11,81.8,1,4,5,8,1,0,2,2,-6
2019-12-17,ATL @ NYK,ATL,NYK,Away,L,41.2,42,16,29,55.2,7,13,53.8,3,4,75.0,0,4,4,8,0,0,3,1,-18
2019-12-15,ATL vs. LAL,ATL,LAL,Home,L,36.27,30,9,22,40.9,3,11,27.3,9,11,81.8,1,5,6,7,2,0,6,2,-4
2019-12-13,ATL vs. IND,ATL,IND,Home,L,37.23,23,9,30,30.0,3,10,30.0,2,2,100.0,2,5,7,8,0,1,2,2,-2
2019-12-11,ATL @ CHI,ATL,CHI,Away,L,31.45,15,4,14,28.6,1,6,16.7,6,7,85.7,0,2,2,13,2,0,7,3,-17
2019-12-10,ATL @ MIA,ATL,MIA,Away,L,41.07,21,7,19,36.8,3,11,27.3,4,5,80.0,0,4,4,9,0,0,4,4,-24
2019-12-08,ATL @ CHA,ATL,CHA,Away,W,35.0,30,9,20,45.0,4,13,30.8,8,8,100.0,1,6,7,9,0,0,2,4,18
2019-12-04,ATL vs. BKN,ATL,BKN,Home,L,37.15,39,13,23,56.5,5,9,55.6,8,10,80.0,1,2,3,10,1,0,6,1,1
2019-12-02,ATL vs. GSW,ATL,GSW,Home,W,33.51,24,10,19,52.6,2,6,33.3,2,2,100.0,0,1,1,7,0,0,7,2,8
2019-11-30,ATL @ HOU,ATL,HOU,Away,L,31.23,37,10,16,62.5,5,9,55.6,12,13,92.3,0,3,3,7,0,0,3,0,-24
2019-11-29,ATL @ IND,ATL,IND,Away,L,42.39,49,16,28,57.1,8,15,53.3,9,9,100.0,0,1,1,6,2,0,9,1,1
2019-11-27,ATL @ MIL,ATL,MIL,Away,L,35.06,29,12,24,50.0,3,7,42.9,2,2,100.0,0,4,4,7,1,0,3,3,3
2019-11-25,ATL vs. MIN,ATL,MIN,Home,L,34.34,37,11,28,39.3,5,11,45.5,10,11,90.9,2,4,6,9,0,0,7,2,-7
2019-11-23,ATL vs. TOR,ATL,TOR,Home,L,41.23,30,11,23,47.8,4,11,36.4,4,4,100.0,0,10,10,10,1,0,3,1,-4
2019-11-22,ATL @ DET,ATL,DET,Away,L,31.41,9,3,12,25.0,1,7,14.3,2,2,100.0,0,6,6,8,1,0,5,0,-14
2019-11-20,ATL vs. MIL,ATL,MIL,Home,L,33.02,25,8,22,36.4,1,5,20.0,8,10,80.0,1,1,2,8,3,0,2,0,-21
2019-11-17,ATL @ LAL,ATL,LAL,Away,L,39.03,31,11,22,50.0,2,8,25.0,7,8,87.5,0,3,3,7,2,0,8,1,-16
2019-11-16,ATL @ LAC,ATL,LAC,Away,L,28.5,20,4,16,25.0,2,7,28.6,10,12,83.3,0,5,5,6,1,0,3,2,-30
