Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-03-10,MIN @ HOU,MIN,HOU,Away,L,7.58,7,2,4,50.0,1,3,33.3,2,3,66.7,0,4,4,0,0,0,1,0,-9
2020-03-08,MIN vs. NOP,MIN,NOP,Home,L,8.02,9,2,4,50.0,0,2,0.0,5,5,100.0,0,0,0,1,1,1,1,0,3
2020-03-06,MIN vs. ORL,MIN,ORL,Home,L,8.06,5,2,5,40.0,0,0,0.0,1,2,50.0,0,1,1,2,0,0,0,0,-5
2020-03-04,MIN vs. CHI,MIN,CHI,Home,W,7.2,6,2,5,40.0,2,4,50.0,0,0,0.0,0,0,0,2,0,0,1,0,10
2020-03-03,MIN @ NOP,MIN,NOP,Away,W,5.59,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,2,1,-8
2020-03-01,MIN vs. DAL,MIN,DAL,Home,L,7.46,2,0,2,0.0,0,1,0.0,2,2,100.0,0,2,2,3,0,0,2,0,-6
2020-02-28,MIN @ ORL,MIN,ORL,Away,L,6.28,6,2,4,50.0,2,4,50.0,0,0,0.0,0,0,0,0,0,0,1,1,3
2020-02-26,MIN @ MIA,MIN,MIA,Away,W,7.26,8,2,4,50.0,2,3,66.7,2,3,66.7,0,2,2,0,0,0,0,1,-9
2020-02-24,MIN @ DAL,MIN,DAL,Away,L,7.36,11,4,5,80.0,1,1,100.0,2,2,100.0,0,1,1,1,0,0,0,0,4
2020-02-21,MIN vs. BOS,MIN,BOS,Home,L,5.42,2,0,2,0.0,0,1,0.0,2,2,100.0,0,0,0,4,0,0,1,0,-3
2020-02-12,MIN vs. CHA,MIN,CHA,Home,L,7.01,8,3,5,60.0,1,3,33.3,1,1,100.0,0,2,2,2,0,0,0,1,5
2020-02-10,MIN @ TOR,MIN,TOR,Away,L,7.08,7,1,4,25.0,1,2,50.0,4,4,100.0,0,0,0,1,1,0,1,1,1
2020-02-05,GSW @ BKN,GSW,BKN,Away,L,8.16,4,1,7,14.3,0,3,0.0,2,2,100.0,1,2,3,1,2,1,0,0,-10
2020-02-01,GSW @ CLE,GSW,CLE,Away,W,9.23,6,2,5,40.0,2,3,66.7,0,0,0.0,1,2,3,2,0,0,1,0,8
2020-01-30,GSW @ BOS,GSW,BOS,Away,L,6.46,8,2,3,66.7,1,2,50.0,3,3,100.0,0,1,1,2,0,0,0,0,-6
2020-01-28,GSW @ PHI,GSW,PHI,Away,L,9.14,8,3,7,42.9,1,3,33.3,1,2,50.0,0,0,0,3,1,0,0,0,-7
2020-01-24,GSW vs. IND,GSW,IND,Home,L,9.08,6,2,6,33.3,2,3,66.7,0,0,0.0,0,2,2,0,0,0,2,0,-8
2020-01-22,GSW vs. UTA,GSW,UTA,Home,L,9.5,13,4,7,57.1,1,3,33.3,4,4,100.0,0,0,0,1,0,0,1,0,-10
2020-01-20,GSW @ POR,GSW,POR,Away,L,10.13,13,4,6,66.7,3,4,75.0,2,2,100.0,0,1,1,4,0,0,2,2,13
2020-01-18,GSW vs. ORL,GSW,ORL,Home,W,6.29,2,1,5,20.0,0,3,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-1
2020-01-16,GSW vs. DEN,GSW,DEN,Home,L,9.06,6,2,5,40.0,2,4,50.0,0,0,0.0,0,0,0,3,1,0,1,1,0
2020-01-14,GSW vs. DAL,GSW,DAL,Home,L,10.35,0,0,5,0.0,0,4,0.0,0,0,0.0,0,0,0,3,0,0,2,0,-5
2020-01-12,GSW @ MEM,GSW,MEM,Away,L,12.0,17,6,12,50.0,3,4,75.0,2,2,100.0,0,2,2,2,0,0,0,0,0
