Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-13,LAL vs. SAC,LAL,SAC,Home,L,6.14,9,3,7,42.9,1,3,33.3,2,2,100.0,0,1,1,0,0,0,1,0,-14
2020-08-10,LAL vs. DEN,LAL,DEN,Home,W,10.48,12,4,7,57.1,2,2,100.0,2,3,66.7,0,0,0,2,0,0,2,0,1
2020-08-08,LAL @ IND,LAL,IND,Away,L,8.58,11,5,6,83.3,1,1,100.0,0,0,0.0,0,2,2,0,0,0,0,0,10
2020-08-05,LAL vs. OKC,LAL,OKC,Home,L,8.37,7,2,5,40.0,0,0,0.0,3,3,100.0,0,2,2,1,0,0,0,0,-1
2020-08-03,LAL @ UTA,LAL,UTA,Away,W,9.15,4,1,2,50.0,0,0,0.0,2,2,100.0,0,2,2,4,0,1,0,1,1
2020-08-01,LAL @ TOR,LAL,TOR,Away,L,8.58,4,1,2,50.0,0,0,0.0,2,4,50.0,0,3,3,2,0,0,2,0,0
2020-07-30,LAL vs. LAC,LAL,LAC,Home,W,8.44,6,2,6,33.3,0,0,0.0,2,2,100.0,0,5,5,0,1,0,2,1,-5
2020-03-10,LAL vs. BKN,LAL,BKN,Home,L,8.48,6,3,6,50.0,0,2,0.0,0,1,0.0,0,4,4,2,1,0,1,0,0
2020-03-08,LAL @ LAC,LAL,LAC,Away,W,9.12,11,3,6,50.0,1,4,25.0,4,5,80.0,1,1,2,1,0,1,2,1,-7
2020-03-06,LAL vs. MIL,LAL,MIL,Home,W,9.21,10,3,3,100.0,0,0,0.0,4,4,100.0,0,2,2,2,1,0,1,0,0
2020-03-03,LAL vs. PHI,LAL,PHI,Home,W,8.35,5,2,5,40.0,0,1,0.0,1,2,50.0,1,3,4,3,0,2,0,0,10
2020-03-01,LAL @ NOP,LAL,NOP,Away,W,7.59,11,5,5,100.0,1,1,100.0,0,0,0.0,0,2,2,3,1,0,0,1,7
2020-02-29,LAL @ MEM,LAL,MEM,Away,L,8.23,4,2,3,66.7,0,0,0.0,0,0,0.0,1,2,3,1,0,0,4,1,-5
2020-02-25,LAL vs. NOP,LAL,NOP,Home,W,9.56,10,5,6,83.3,0,1,0.0,0,1,0.0,0,2,2,1,0,0,2,0,-2
2020-02-23,LAL vs. BOS,LAL,BOS,Home,W,7.52,8,2,4,50.0,1,2,50.0,3,6,50.0,0,1,1,1,0,0,1,2,2
2020-02-21,LAL vs. MEM,LAL,MEM,Home,W,9.4,11,4,6,66.7,1,2,50.0,2,2,100.0,0,1,1,2,0,1,0,0,12
2020-02-12,LAL @ DEN,LAL,DEN,Away,W,8.43,7,3,7,42.9,1,3,33.3,0,1,0.0,0,2,2,3,0,0,0,0,3
2020-02-10,LAL vs. PHX,LAL,PHX,Home,W,8.22,3,1,3,33.3,0,0,0.0,1,2,50.0,0,1,1,4,0,0,1,0,10
2020-02-08,LAL @ GSW,LAL,GSW,Away,W,8.27,3,0,2,0.0,0,2,0.0,3,4,75.0,0,3,3,2,0,0,1,0,-6
2020-02-06,LAL vs. HOU,LAL,HOU,Home,L,9.34,7,3,4,75.0,1,1,100.0,0,0,0.0,0,1,1,5,0,0,2,0,2
2020-02-04,LAL vs. SAS,LAL,SAS,Home,W,9.14,9,4,7,57.1,0,2,0.0,1,1,100.0,0,2,2,1,0,0,0,0,8
2020-02-01,LAL @ SAC,LAL,SAC,Away,W,9.22,7,3,5,60.0,0,0,0.0,1,2,50.0,0,3,3,5,0,0,0,1,3
2020-01-31,LAL vs. POR,LAL,POR,Home,L,9.39,5,2,5,40.0,1,2,50.0,0,0,0.0,1,2,3,2,0,0,3,0,7
2020-01-25,LAL @ PHI,LAL,PHI,Away,L,8.12,8,1,3,33.3,0,1,0.0,6,7,85.7,0,5,5,2,0,0,1,3,-2
2020-01-23,LAL @ BKN,LAL,BKN,Away,W,7.47,8,2,5,40.0,2,3,66.7,2,2,100.0,1,1,2,5,0,0,2,0,7
2020-01-22,LAL @ NYK,LAL,NYK,Away,W,8.48,9,4,5,80.0,1,1,100.0,0,0,0.0,0,1,1,1,0,0,1,0,-1
2020-01-20,LAL @ BOS,LAL,BOS,Away,L,8.25,7,2,3,66.7,0,1,0.0,3,3,100.0,0,1,1,1,0,0,0,0,-4
2020-01-18,LAL @ HOU,LAL,HOU,Away,W,9.19,12,5,10,50.0,1,2,50.0,1,2,50.0,0,1,1,1,1,0,2,1,0
2020-01-15,LAL vs. ORL,LAL,ORL,Home,L,8.17,4,2,6,33.3,0,2,0.0,0,0,0.0,0,0,0,5,0,0,2,0,-3
2020-01-13,LAL vs. CLE,LAL,CLE,Home,W,8.43,4,1,2,50.0,0,0,0.0,2,2,100.0,0,0,0,2,0,0,2,2,4
2020-01-10,LAL @ DAL,LAL,DAL,Away,W,8.57,10,4,11,36.4,1,4,25.0,1,1,100.0,1,4,5,3,0,0,1,0,7
2020-01-07,LAL vs. NYK,LAL,NYK,Home,W,8.07,8,3,4,75.0,1,1,100.0,1,1,100.0,0,1,1,3,1,0,2,0,10
2020-01-05,LAL vs. DET,LAL,DET,Home,W,8.59,6,3,4,75.0,0,0,0.0,0,0,0.0,1,2,3,4,0,0,0,0,7
2020-01-03,LAL vs. NOP,LAL,NOP,Home,W,8.44,5,2,7,28.6,1,2,50.0,0,0,0.0,0,1,1,1,1,0,0,0,2
2020-01-01,LAL vs. PHX,LAL,PHX,Home,W,9.29,3,1,3,33.3,0,0,0.0,1,2,50.0,1,4,5,6,0,1,0,0,3
2019-12-29,LAL vs. DAL,LAL,DAL,Home,W,9.09,3,0,2,0.0,0,1,0.0,3,4,75.0,0,0,0,3,0,0,0,0,0
2019-12-28,LAL @ POR,LAL,POR,Away,W,9.28,4,1,1,100.0,0,0,0.0,2,3,66.7,0,2,2,5,1,0,1,1,8
2019-12-25,LAL vs. LAC,LAL,LAC,Home,L,9.02,6,3,7,42.9,0,2,0.0,0,0,0.0,2,3,5,3,0,0,1,1,14
2019-12-19,LAL @ MIL,LAL,MIL,Away,L,8.4,9,4,6,66.7,1,1,100.0,0,0,0.0,0,3,3,0,0,0,0,1,-19
2019-12-17,LAL @ IND,LAL,IND,Away,L,7.31,4,2,7,28.6,0,1,0.0,0,0,0.0,0,1,1,3,0,0,1,1,-5
2019-12-15,LAL @ ATL,LAL,ATL,Away,W,8.36,17,6,7,85.7,2,3,66.7,3,5,60.0,0,4,4,1,0,0,3,1,7
2019-12-13,LAL @ MIA,LAL,MIA,Away,W,9.01,5,2,6,33.3,0,1,0.0,1,2,50.0,1,5,6,1,0,0,3,0,-2
2019-12-11,LAL @ ORL,LAL,ORL,Away,W,9.21,11,5,7,71.4,0,0,0.0,1,1,100.0,1,2,3,2,0,0,3,0,1
2019-12-08,LAL vs. MIN,LAL,MIN,Home,W,4.4,9,3,4,75.0,1,2,50.0,2,2,100.0,0,1,1,2,0,0,2,2,1
2019-12-06,LAL @ POR,LAL,POR,Away,W,8.55,12,4,7,57.1,1,2,50.0,3,5,60.0,0,2,2,2,0,0,1,0,12
2019-12-04,LAL @ UTA,LAL,UTA,Away,W,8.26,10,4,11,36.4,1,4,25.0,1,1,100.0,0,1,1,1,0,0,1,1,8
2019-12-03,LAL @ DEN,LAL,DEN,Away,W,8.53,2,0,3,0.0,0,1,0.0,2,2,100.0,0,0,0,3,0,0,0,0,3
2019-12-01,LAL vs. DAL,LAL,DAL,Home,L,9.23,9,4,5,80.0,0,1,0.0,1,1,100.0,0,3,3,1,1,0,3,1,-4
2019-11-29,LAL vs. WAS,LAL,WAS,Home,W,8.2,11,4,9,44.4,2,4,50.0,1,2,50.0,0,3,3,5,1,0,0,0,5
2019-11-27,LAL @ NOP,LAL,NOP,Away,W,9.43,7,3,5,60.0,0,1,0.0,1,3,33.3,0,1,1,2,0,0,0,0,-1
