Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-10,LAL vs. DEN,LAL,DEN,Home,W,12.0,3,0,2,0.0,0,0,0.0,3,4,75.0,0,0,0,2,0,0,0,0,-5
2020-08-08,LAL @ IND,LAL,IND,Away,L,9.53,0,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,1,1,-9
2020-08-06,LAL @ HOU,LAL,HOU,Away,L,12.0,4,1,1,100.0,0,0,0.0,2,2,100.0,1,5,6,0,0,0,4,0,-6
2020-08-05,LAL vs. OKC,LAL,OKC,Home,L,9.2,0,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,0,2,-10
2020-08-03,LAL @ UTA,LAL,UTA,Away,W,12.0,10,3,4,75.0,2,2,100.0,2,2,100.0,0,2,2,1,1,1,0,1,8
2020-08-01,LAL @ TOR,LAL,TOR,Away,L,12.0,10,1,3,33.3,0,2,0.0,8,8,100.0,0,1,1,0,1,1,0,2,-5
2020-07-30,LAL vs. LAC,LAL,LAC,Home,W,12.0,12,4,8,50.0,2,3,66.7,2,2,100.0,0,1,1,2,0,0,1,2,-3
2020-03-10,LAL vs. BKN,LAL,BKN,Home,L,12.0,12,5,7,71.4,2,4,50.0,0,0,0.0,0,1,1,0,0,1,0,1,-9
2020-03-08,LAL @ LAC,LAL,LAC,Away,W,11.29,11,4,7,57.1,1,3,33.3,2,3,66.7,0,2,2,1,1,1,0,2,9
2020-03-06,LAL vs. MIL,LAL,MIL,Home,W,10.42,11,3,6,50.0,0,0,0.0,5,5,100.0,1,1,2,0,0,0,1,1,12
2020-03-03,LAL vs. PHI,LAL,PHI,Home,W,12.0,8,2,2,100.0,1,1,100.0,3,4,75.0,1,5,6,0,1,2,1,0,5
2020-02-29,LAL @ MEM,LAL,MEM,Away,L,8.28,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,2,0,1,0,1,-5
2020-02-27,LAL @ GSW,LAL,GSW,Away,W,9.43,8,2,4,50.0,0,1,0.0,4,5,80.0,0,2,2,1,1,2,0,0,20
2020-02-25,LAL vs. NOP,LAL,NOP,Home,W,12.0,4,1,4,25.0,0,0,0.0,2,2,100.0,1,5,6,1,0,2,2,2,-4
2020-02-23,LAL vs. BOS,LAL,BOS,Home,W,12.0,16,5,8,62.5,2,3,66.7,4,5,80.0,3,2,5,1,0,2,2,2,-2
2020-02-21,LAL vs. MEM,LAL,MEM,Home,W,10.37,10,3,6,50.0,1,1,100.0,3,3,100.0,2,2,4,1,0,1,3,0,-8
2020-02-12,LAL @ DEN,LAL,DEN,Away,W,10.27,4,1,4,25.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,0,1,-10
2020-02-10,LAL vs. PHX,LAL,PHX,Home,W,9.42,7,1,4,25.0,0,1,0.0,5,5,100.0,0,2,2,1,0,0,1,1,5
2020-02-08,LAL @ GSW,LAL,GSW,Away,W,12.0,7,2,3,66.7,0,0,0.0,3,3,100.0,0,1,1,2,0,0,0,1,5
2020-02-06,LAL vs. HOU,LAL,HOU,Home,L,12.0,13,5,6,83.3,0,0,0.0,3,4,75.0,0,2,2,2,1,1,0,0,-4
2020-02-04,LAL vs. SAS,LAL,SAS,Home,W,12.0,9,4,6,66.7,0,0,0.0,1,1,100.0,0,2,2,0,0,0,2,1,3
2020-02-01,LAL @ SAC,LAL,SAC,Away,W,12.0,8,2,4,50.0,0,0,0.0,4,4,100.0,1,1,2,1,0,0,1,1,-2
2020-01-31,LAL vs. POR,LAL,POR,Home,L,12.0,12,4,7,57.1,2,2,100.0,2,3,66.7,1,3,4,2,0,0,0,0,-9
2020-01-25,LAL @ PHI,LAL,PHI,Away,L,12.0,13,5,9,55.6,2,4,50.0,1,2,50.0,0,2,2,2,1,1,1,0,-3
2020-01-23,LAL @ BKN,LAL,BKN,Away,W,11.24,8,2,3,66.7,1,2,50.0,3,4,75.0,0,5,5,1,0,1,0,1,-1
2020-01-22,LAL @ NYK,LAL,NYK,Away,W,9.2,9,2,3,66.7,0,0,0.0,5,5,100.0,0,3,3,1,1,2,1,0,7
2020-01-20,LAL @ BOS,LAL,BOS,Away,L,7.06,5,2,3,66.7,0,0,0.0,1,1,100.0,0,0,0,0,0,0,2,1,-13
2020-01-07,LAL vs. NYK,LAL,NYK,Home,W,9.15,0,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,1,0
2020-01-05,LAL vs. DET,LAL,DET,Home,W,12.0,7,3,8,37.5,0,2,0.0,1,1,100.0,1,1,2,1,1,2,0,1,-13
2020-01-03,LAL vs. NOP,LAL,NOP,Home,W,12.0,19,5,6,83.3,3,3,100.0,6,6,100.0,0,2,2,0,0,0,1,0,10
2020-01-01,LAL vs. PHX,LAL,PHX,Home,W,12.0,4,1,3,33.3,0,0,0.0,2,2,100.0,0,1,1,1,0,0,2,0,-11
2019-12-29,LAL vs. DAL,LAL,DAL,Home,W,12.0,8,3,4,75.0,0,1,0.0,2,2,100.0,0,2,2,0,1,0,0,0,4
2019-12-28,LAL @ POR,LAL,POR,Away,W,12.0,9,4,8,50.0,1,3,33.3,0,0,0.0,0,3,3,2,1,0,1,3,1
2019-12-25,LAL vs. LAC,LAL,LAC,Home,L,12.0,6,2,6,33.3,1,3,33.3,1,1,100.0,0,3,3,1,1,0,2,1,-12
2019-12-22,LAL vs. DEN,LAL,DEN,Home,L,8.47,8,3,5,60.0,0,1,0.0,2,2,100.0,0,2,2,1,0,2,1,3,-8
2019-12-19,LAL @ MIL,LAL,MIL,Away,L,12.0,15,5,6,83.3,0,1,0.0,5,6,83.3,1,4,5,1,0,0,0,0,11
2019-12-15,LAL @ ATL,LAL,ATL,Away,W,12.0,13,6,10,60.0,0,2,0.0,1,1,100.0,1,5,6,1,0,0,1,0,-3
2019-12-13,LAL @ MIA,LAL,MIA,Away,W,12.0,12,4,6,66.7,2,3,66.7,2,2,100.0,0,3,3,0,0,0,0,1,11
2019-12-11,LAL @ ORL,LAL,ORL,Away,W,12.0,7,3,7,42.9,1,2,50.0,0,0,0.0,1,1,2,1,0,1,0,1,-9
2019-12-08,LAL vs. MIN,LAL,MIN,Home,W,12.0,15,6,10,60.0,0,1,0.0,3,3,100.0,2,0,2,2,1,1,1,1,-1
2019-12-06,LAL @ POR,LAL,POR,Away,W,12.0,14,4,7,57.1,1,3,33.3,5,7,71.4,0,2,2,2,0,2,2,1,2
2019-12-04,LAL @ UTA,LAL,UTA,Away,W,10.49,11,4,4,100.0,0,0,0.0,3,4,75.0,1,2,3,0,1,3,0,0,-1
2019-12-03,LAL @ DEN,LAL,DEN,Away,W,12.0,13,5,7,71.4,1,1,100.0,2,2,100.0,0,1,1,0,0,0,0,2,-3
2019-12-01,LAL vs. DAL,LAL,DAL,Home,L,12.0,5,1,6,16.7,1,2,50.0,2,2,100.0,0,4,4,1,1,1,2,2,-18
2019-11-29,LAL vs. WAS,LAL,WAS,Home,W,9.37,7,2,5,40.0,0,1,0.0,3,5,60.0,1,5,6,2,0,0,0,1,7
2019-11-27,LAL @ NOP,LAL,NOP,Away,W,12.0,9,4,9,44.4,0,2,0.0,1,2,50.0,2,2,4,0,0,0,1,1,0
2019-11-25,LAL @ SAS,LAL,SAS,Away,W,11.32,6,2,5,40.0,0,2,0.0,2,2,100.0,0,4,4,2,0,0,0,1,8
2019-11-23,LAL @ MEM,LAL,MEM,Away,W,12.0,3,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,2,2,2,0,0,9
2019-11-22,LAL @ OKC,LAL,OKC,Away,W,12.0,16,5,9,55.6,2,4,50.0,4,4,100.0,1,4,5,2,0,0,1,1,4
2019-11-19,LAL vs. OKC,LAL,OKC,Home,W,12.0,11,4,7,57.1,0,1,0.0,3,3,100.0,2,1,3,2,0,1,0,0,-4
