Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2020-08-09,TOR vs. MEM,TOR,MEM,Home,W,9.16,6,2,2,100.0,2,2,100.0,0,2,0.0,0,0,0,1,1,0,2,0,-3
2020-08-05,TOR @ ORL,TOR,ORL,Away,W,5.1,3,1,2,50.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,2,1,-3
2020-08-03,TOR @ MIA,TOR,MIA,Away,W,8.52,5,1,2,50.0,1,1,100.0,2,2,100.0,0,2,2,0,0,0,0,0,4
2020-08-01,TOR vs. LAL,TOR,LAL,Home,W,6.38,3,1,6,16.7,0,0,0.0,1,1,100.0,1,0,1,0,1,1,0,0,15
2020-03-09,TOR @ UTA,TOR,UTA,Away,W,9.06,8,1,5,20.0,0,1,0.0,6,6,100.0,0,1,1,2,0,0,1,0,5
2020-03-08,TOR @ SAC,TOR,SAC,Away,W,8.08,11,3,3,100.0,1,1,100.0,4,4,100.0,0,1,1,2,0,0,0,0,3
2020-03-05,TOR @ GSW,TOR,GSW,Away,W,7.06,6,2,3,66.7,0,0,0.0,2,3,66.7,0,0,0,1,0,0,0,2,4
2020-03-03,TOR @ PHX,TOR,PHX,Away,W,9.24,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,0,0,1,1,2,11
2020-03-01,TOR @ DEN,TOR,DEN,Away,L,10.59,6,3,8,37.5,0,1,0.0,0,0,0.0,1,2,3,2,2,1,1,1,-11
2020-02-28,TOR vs. CHA,TOR,CHA,Home,L,8.12,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,2,2
2020-02-25,TOR vs. MIL,TOR,MIL,Home,L,7.47,6,2,2,100.0,1,1,100.0,1,1,100.0,0,1,1,1,0,0,0,1,-3
2020-02-21,TOR vs. PHX,TOR,PHX,Home,W,7.08,8,4,4,100.0,0,0,0.0,0,0,0.0,1,5,6,1,0,1,0,0,10
2020-02-12,TOR @ BKN,TOR,BKN,Away,L,8.46,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,1
2020-02-10,TOR vs. MIN,TOR,MIN,Home,W,8.2,14,6,9,66.7,2,2,100.0,0,0,0.0,1,0,1,0,0,1,0,2,7
2020-02-08,TOR vs. BKN,TOR,BKN,Home,W,7.18,3,1,5,20.0,0,0,0.0,1,2,50.0,0,0,0,0,0,1,0,0,-10
2020-02-07,TOR @ IND,TOR,IND,Away,W,7.22,2,1,5,20.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,0,5
2020-02-05,TOR vs. IND,TOR,IND,Home,W,8.53,10,4,5,80.0,0,1,0.0,2,3,66.7,0,2,2,1,1,0,0,1,8
2020-01-31,TOR @ DET,TOR,DET,Away,W,10.27,13,6,8,75.0,0,0,0.0,1,1,100.0,0,1,1,0,0,0,1,1,10
2020-01-30,TOR @ CLE,TOR,CLE,Away,W,6.4,7,1,4,25.0,1,1,100.0,4,4,100.0,0,0,0,0,1,0,1,1,2
2020-01-26,TOR @ SAS,TOR,SAS,Away,W,9.08,3,1,6,16.7,0,2,0.0,1,2,50.0,1,1,2,1,0,0,0,1,10
2020-01-24,TOR @ NYK,TOR,NYK,Away,W,6.3,7,2,2,100.0,1,1,100.0,2,2,100.0,0,0,0,0,0,0,1,1,0
2020-01-22,TOR vs. PHI,TOR,PHI,Home,W,6.35,5,2,6,33.3,0,3,0.0,1,2,50.0,0,2,2,1,1,0,0,1,5
2020-01-20,TOR @ ATL,TOR,ATL,Away,W,1.39,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,-2
2020-01-15,TOR @ OKC,TOR,OKC,Away,W,6.21,4,2,3,66.7,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-12
2020-01-12,TOR vs. SAS,TOR,SAS,Home,L,9.13,1,0,4,0.0,0,1,0.0,1,2,50.0,0,3,3,2,0,0,0,3,-10
2019-12-18,TOR @ DET,TOR,DET,Away,W,9.12,8,3,7,42.9,2,4,50.0,0,0,0.0,0,2,2,0,0,0,0,2,-2
2019-12-16,TOR vs. CLE,TOR,CLE,Home,W,4.5,6,3,4,75.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0
2019-12-14,TOR vs. BKN,TOR,BKN,Home,W,6.36,3,1,5,20.0,0,0,0.0,1,2,50.0,0,3,3,0,1,0,0,1,-3
2019-12-11,TOR vs. LAC,TOR,LAC,Home,L,5.05,9,4,5,80.0,0,0,0.0,1,1,100.0,1,0,1,0,1,0,0,1,-1
2019-12-09,TOR @ CHI,TOR,CHI,Away,W,12.0,7,2,5,40.0,0,0,0.0,3,4,75.0,0,1,1,0,1,0,0,0,1
2019-12-08,TOR @ PHI,TOR,PHI,Away,L,8.01,10,4,6,66.7,0,1,0.0,2,3,66.7,1,2,3,0,1,0,0,0,13
2019-12-05,TOR vs. HOU,TOR,HOU,Home,L,6.31,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,1,1,0
2019-12-03,TOR vs. MIA,TOR,MIA,Home,L,6.53,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,8
2019-12-01,TOR vs. UTA,TOR,UTA,Home,W,3.31,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,5
2019-11-29,TOR @ ORL,TOR,ORL,Away,W,7.48,3,1,4,25.0,0,0,0.0,1,2,50.0,0,1,1,0,1,0,1,2,0
2019-11-25,TOR vs. PHI,TOR,PHI,Home,W,9.05,5,2,5,40.0,0,0,0.0,1,1,100.0,0,1,1,0,1,0,0,0,6
2019-11-23,TOR @ ATL,TOR,ATL,Away,W,7.46,12,3,4,75.0,0,0,0.0,6,7,85.7,0,1,1,1,0,1,0,0,0
2019-11-20,TOR vs. ORL,TOR,ORL,Home,W,6.32,9,3,8,37.5,0,1,0.0,3,4,75.0,1,2,3,1,0,0,0,1,7
2019-11-18,TOR vs. CHA,TOR,CHA,Home,W,5.38,2,0,1,0.0,0,0,0.0,2,2,100.0,0,2,2,2,0,0,0,1,16
