Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-16,LAL @ NOP,LAL,NOP,Away,W,30.17,14,5,12,41.7,0,3,0.0,4,6,66.7,0,5,5,1,1,0,1,0,12
2021-05-15,LAL @ IND,LAL,IND,Away,W,35.5,28,9,18,50.0,1,4,25.0,9,10,90.0,2,8,10,5,2,0,1,1,9
2021-05-11,LAL vs. NYK,LAL,NYK,Home,W,43.27,20,8,23,34.8,0,1,0.0,4,5,80.0,0,6,6,4,1,0,3,2,7
2021-05-09,LAL vs. PHX,LAL,PHX,Home,W,40.46,42,13,27,48.1,1,5,20.0,15,17,88.2,3,9,12,5,3,3,3,1,26
2021-05-07,LAL @ POR,LAL,POR,Away,L,39.04,36,12,23,52.2,2,3,66.7,10,15,66.7,3,9,12,5,0,1,3,1,-11
2021-05-06,LAL @ LAC,LAL,LAC,Away,L,9.1,4,2,9,22.2,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,-10
2021-05-03,LAL vs. DEN,LAL,DEN,Home,W,33.06,25,9,19,47.4,1,2,50.0,6,7,85.7,1,6,7,1,0,3,4,1,3
2021-05-02,LAL vs. TOR,LAL,TOR,Home,L,33.27,12,5,16,31.3,0,3,0.0,2,3,66.7,1,8,9,7,3,1,1,1,-11
2021-04-30,LAL vs. SAC,LAL,SAC,Home,L,34.11,22,9,19,47.4,1,4,25.0,3,3,100.0,1,10,11,3,0,5,2,4,-8
2021-04-28,LAL @ WAS,LAL,WAS,Away,L,31.04,26,10,20,50.0,2,5,40.0,4,6,66.7,1,4,5,2,3,2,3,3,-13
2021-04-26,LAL @ ORL,LAL,ORL,Away,W,31.22,18,8,15,53.3,1,4,25.0,1,2,50.0,1,7,8,3,0,2,5,3,6
2021-04-24,LAL @ DAL,LAL,DAL,Away,L,28.19,17,5,19,26.3,0,6,0.0,7,8,87.5,2,1,3,3,0,0,1,0,-19
2021-04-22,LAL @ DAL,LAL,DAL,Away,L,16.4,4,2,10,20.0,0,1,0.0,0,2,0.0,0,4,4,1,1,1,1,0,-11
2021-02-14,LAL @ DEN,LAL,DEN,Away,L,14.14,15,5,11,45.5,0,1,0.0,5,5,100.0,2,2,4,1,0,0,0,1,-4
2021-02-12,LAL vs. MEM,LAL,MEM,Home,W,34.5,35,16,27,59.3,0,3,0.0,3,4,75.0,3,6,9,1,2,1,3,1,0
2021-02-06,LAL vs. DET,LAL,DET,Home,W,44.3,30,13,22,59.1,1,3,33.3,3,4,75.0,2,3,5,3,1,2,3,2,9
2021-02-04,LAL vs. DEN,LAL,DEN,Home,W,33.14,13,5,8,62.5,0,1,0.0,3,6,50.0,3,6,9,2,3,2,3,3,21
2021-02-01,LAL @ ATL,LAL,ATL,Away,W,35.54,25,10,14,71.4,0,2,0.0,5,6,83.3,0,2,2,2,1,3,5,4,2
2021-01-30,LAL @ BOS,LAL,BOS,Away,W,35.48,27,11,25,44.0,1,2,50.0,4,7,57.1,6,8,14,2,2,0,1,0,-10
2021-01-27,LAL @ PHI,LAL,PHI,Away,L,34.34,23,9,18,50.0,0,3,0.0,5,10,50.0,1,7,8,2,0,2,2,4,-4
