Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-04-21,SAC vs. MIN,SAC,MIN,Home,W,39.01,30,8,20,40.0,1,6,16.7,13,14,92.9,0,5,5,7,2,1,2,4,13
2021-04-20,SAC vs. MIN,SAC,MIN,Home,L,27.38,14,5,17,29.4,2,4,50.0,2,3,66.7,2,2,4,6,2,0,3,2,-21
2021-04-18,SAC @ DAL,SAC,DAL,Away,W,36.47,30,12,21,57.1,0,2,0.0,6,7,85.7,0,4,4,12,2,0,0,2,23
2021-04-15,SAC @ PHX,SAC,PHX,Away,L,40.26,27,11,21,52.4,0,4,0.0,5,7,71.4,1,2,3,8,1,0,4,1,-13
2021-04-14,SAC vs. WAS,SAC,WAS,Home,L,39.32,33,13,28,46.4,1,3,33.3,6,6,100.0,2,3,5,6,6,1,3,3,-3
2021-04-12,SAC @ NOP,SAC,NOP,Away,L,38.49,43,15,30,50.0,5,13,38.5,8,15,53.3,0,6,6,6,1,0,4,3,-7
2021-04-10,SAC @ UTA,SAC,UTA,Away,L,39.15,30,11,20,55.0,4,7,57.1,4,6,66.7,0,2,2,8,2,0,1,3,-26
2021-04-08,SAC vs. DET,SAC,DET,Home,L,36.42,23,8,19,42.1,0,5,0.0,7,11,63.6,1,8,9,7,2,0,3,5,-6
2021-04-05,SAC @ MIN,SAC,MIN,Away,L,37.3,31,8,16,50.0,2,4,50.0,13,15,86.7,1,5,6,9,2,0,4,3,-6
2021-04-03,SAC vs. MIL,SAC,MIL,Home,L,37.39,27,10,24,41.7,2,7,28.6,5,5,100.0,0,3,3,6,1,1,3,4,-10
2021-04-02,SAC vs. LAL,SAC,LAL,Home,L,28.44,12,5,20,25.0,0,4,0.0,2,4,50.0,0,1,1,5,3,1,2,0,-24
2021-03-31,SAC @ SAS,SAC,SAS,Away,L,33.41,20,7,18,38.9,1,5,20.0,5,6,83.3,0,0,0,4,0,1,4,3,-25
2021-03-29,SAC @ SAS,SAC,SAS,Away,W,33.5,24,9,18,50.0,2,6,33.3,4,5,80.0,0,3,3,5,2,2,0,2,18
