Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-15,MIL vs. MIA,MIL,MIA,Home,W,33.45,20,8,17,47.1,2,4,50.0,2,2,100.0,0,5,5,10,1,0,1,1,14
2021-05-13,MIL @ IND,MIL,IND,Away,W,34.02,20,8,14,57.1,0,4,0.0,4,5,80.0,1,3,4,14,0,4,1,0,18
2021-05-11,MIL vs. ORL,MIL,ORL,Home,W,34.31,15,5,15,33.3,1,4,25.0,4,4,100.0,3,1,4,2,2,0,0,1,11
2021-05-10,MIL @ SAS,MIL,SAS,Away,L,30.55,20,9,14,64.3,2,5,40.0,0,0,0.0,1,1,2,6,0,0,2,1,-12
2021-05-07,MIL vs. HOU,MIL,HOU,Home,W,33.52,20,7,17,41.2,4,9,44.4,2,2,100.0,1,3,4,8,2,2,3,2,17
2021-05-05,MIL vs. WAS,MIL,WAS,Home,W,31.35,29,10,20,50.0,4,8,50.0,5,7,71.4,0,5,5,6,0,1,5,2,-3
2021-05-04,MIL vs. BKN,MIL,BKN,Home,W,36.11,23,8,13,61.5,4,6,66.7,3,4,75.0,2,6,8,10,1,1,2,2,5
2021-05-02,MIL vs. BKN,MIL,BKN,Home,W,36.1,18,7,16,43.8,3,8,37.5,1,4,25.0,2,3,5,4,1,1,4,2,-4
2021-04-30,MIL @ CHI,MIL,CHI,Away,W,29.48,16,7,17,41.2,1,5,20.0,1,2,50.0,1,1,2,7,1,0,4,2,31
2021-04-29,MIL @ HOU,MIL,HOU,Away,L,37.35,29,12,19,63.2,1,4,25.0,4,6,66.7,2,2,4,10,2,4,1,3,-6
2021-04-27,MIL @ CHA,MIL,CHA,Away,W,36.06,12,6,15,40.0,0,3,0.0,0,0,0.0,2,8,10,5,1,0,4,4,4
2021-04-25,MIL @ ATL,MIL,ATL,Away,L,34.5,19,8,11,72.7,0,1,0.0,3,5,60.0,0,5,5,11,1,0,1,2,3
