Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-16,POR vs. DEN,POR,DEN,Home,W,9.56,11,4,7,57.1,3,5,60.0,0,0,0.0,0,1,1,3,1,0,0,0,17
2021-05-13,POR @ PHX,POR,PHX,Away,L,7.54,6,3,4,75.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,-4
2021-05-12,POR @ UTA,POR,UTA,Away,W,8.04,4,2,4,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-6
2021-05-10,POR vs. HOU,POR,HOU,Home,W,12.0,21,6,7,85.7,5,5,100.0,4,4,100.0,0,0,0,1,0,0,0,1,17
2021-05-08,POR vs. SAS,POR,SAS,Home,W,8.18,3,1,4,25.0,0,1,0.0,1,1,100.0,0,1,1,0,0,1,0,0,2
2021-05-07,POR vs. LAL,POR,LAL,Home,W,8.48,5,1,4,25.0,1,2,50.0,2,2,100.0,0,0,0,0,0,0,0,0,9
2021-05-05,POR @ CLE,POR,CLE,Away,W,8.23,0,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,1,0,-3
2021-05-03,POR @ ATL,POR,ATL,Away,L,7.08,6,3,4,75.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,-5
2021-05-02,POR @ BOS,POR,BOS,Away,W,7.38,7,3,5,60.0,1,2,50.0,0,0,0.0,0,2,2,1,0,0,0,0,3
2021-04-30,POR @ BKN,POR,BKN,Away,W,7.19,0,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-7
2021-04-28,POR @ MEM,POR,MEM,Away,W,7.31,7,3,3,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,0,0,9
2021-04-27,POR @ IND,POR,IND,Away,W,8.21,6,3,6,50.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-5
2021-04-25,POR vs. MEM,POR,MEM,Home,L,9.15,5,2,6,33.3,1,2,50.0,0,0,0.0,0,0,0,0,0,0,1,1,-5
2021-04-23,POR vs. MEM,POR,MEM,Home,L,9.11,5,2,4,50.0,1,3,33.3,0,0,0.0,0,2,2,1,1,0,0,0,-1
2021-04-21,POR vs. DEN,POR,DEN,Home,L,7.09,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,2,0,0,1,1,1
2021-04-20,POR vs. LAC,POR,LAC,Home,L,12.0,8,4,8,50.0,0,3,0.0,0,0,0.0,0,2,2,3,0,0,0,0,1
2021-04-18,POR @ CHA,POR,CHA,Away,L,10.1,6,2,4,50.0,1,3,33.3,1,2,50.0,0,1,1,1,0,0,1,1,-22
2021-04-16,POR @ SAS,POR,SAS,Away,W,11.45,12,5,9,55.6,2,4,50.0,0,0,0.0,0,0,0,1,1,0,2,0,-1
2021-04-13,POR vs. BOS,POR,BOS,Home,L,9.03,6,2,5,40.0,2,5,40.0,0,0,0.0,1,1,2,1,0,0,0,0,4
2021-04-11,POR vs. MIA,POR,MIA,Home,L,8.56,7,3,5,60.0,1,2,50.0,0,0,0.0,0,2,2,0,0,0,2,0,9
2021-04-10,POR vs. DET,POR,DET,Home,W,9.14,5,2,6,33.3,1,2,50.0,0,0,0.0,0,1,1,2,0,0,0,0,1
2021-04-08,POR @ UTA,POR,UTA,Away,L,8.48,8,3,6,50.0,2,4,50.0,0,0,0.0,1,1,2,0,0,0,0,0,1
2021-04-06,POR @ LAC,POR,LAC,Away,L,8.55,12,5,5,100.0,0,0,0.0,2,3,66.7,0,1,1,1,0,0,0,0,-9
2021-04-03,POR vs. OKC,POR,OKC,Home,W,8.0,7,3,5,60.0,1,3,33.3,0,0,0.0,0,1,1,2,0,1,0,0,16
2021-04-02,POR vs. MIL,POR,MIL,Home,L,8.12,0,0,2,0.0,0,1,0.0,0,2,0.0,0,0,0,0,1,0,0,0,-11
2021-03-31,POR @ DET,POR,DET,Away,W,9.43,8,3,5,60.0,2,2,100.0,0,0,0.0,0,1,1,1,1,1,0,0,0
2021-03-28,POR @ TOR,POR,TOR,Away,W,7.5,7,2,3,66.7,1,2,50.0,2,2,100.0,0,0,0,0,0,0,0,0,-4
2021-03-26,POR @ ORL,POR,ORL,Away,W,12.0,11,4,8,50.0,1,3,33.3,2,2,100.0,0,1,1,2,0,0,1,1,3
2021-03-25,POR @ MIA,POR,MIA,Away,W,12.0,21,8,10,80.0,4,6,66.7,1,1,100.0,0,1,1,2,0,1,2,0,7
2021-03-23,POR vs. BKN,POR,BKN,Home,L,8.05,9,3,6,50.0,3,5,60.0,0,0,0.0,0,0,0,1,0,0,0,0,5
2021-03-21,POR vs. DAL,POR,DAL,Home,L,6.35,6,3,4,75.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,6
