Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-14,PHI vs. ORL,PHI,ORL,Home,W,8.57,2,0,1,0.0,0,0,0.0,2,2,100.0,0,1,1,4,0,0,0,0,14
2021-05-13,PHI @ MIA,PHI,MIA,Away,L,7.42,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0
2021-05-11,PHI @ IND,PHI,IND,Away,L,6.51,6,3,3,100.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,1,1,2
2021-05-07,PHI vs. NOP,PHI,NOP,Home,W,7.15,4,2,2,100.0,0,0,0.0,0,0,0.0,1,0,1,2,1,0,0,2,5
2021-05-05,PHI @ HOU,PHI,HOU,Away,W,5.31,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
2021-05-03,PHI @ CHI,PHI,CHI,Away,W,6.03,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,1,2
2021-05-02,PHI @ SAS,PHI,SAS,Away,W,7.32,0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,1,0,0,0,-3
2021-04-30,PHI vs. ATL,PHI,ATL,Home,W,5.25,4,1,1,100.0,0,0,0.0,2,2,100.0,0,1,1,3,0,1,0,0,13
2021-04-28,PHI vs. ATL,PHI,ATL,Home,W,0.49,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
2021-04-26,PHI vs. OKC,PHI,OKC,Home,W,5.52,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,1,2,0,0,0,6
2021-04-16,PHI vs. LAC,PHI,LAC,Home,W,9.21,6,2,5,40.0,0,0,0.0,2,4,50.0,2,3,5,2,0,1,1,1,4
2021-04-14,PHI vs. BKN,PHI,BKN,Home,W,5.53,0,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,1,-2
2021-04-12,PHI @ DAL,PHI,DAL,Away,W,8.13,6,2,3,66.7,0,0,0.0,2,4,50.0,1,1,2,3,1,0,1,2,8
2021-04-10,PHI @ OKC,PHI,OKC,Away,W,8.28,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,6
2021-04-09,PHI @ NOP,PHI,NOP,Away,L,7.3,2,1,1,100.0,0,0,0.0,0,0,0.0,0,3,3,3,2,0,1,0,3
2021-04-06,PHI @ BOS,PHI,BOS,Away,W,12.0,4,1,2,50.0,0,0,0.0,2,2,100.0,0,0,0,3,0,0,1,0,12
2021-04-04,PHI vs. MEM,PHI,MEM,Home,L,7.22,0,0,0,0.0,0,0,0.0,0,2,0.0,0,3,3,1,0,1,0,1,0
2021-04-03,PHI vs. MIN,PHI,MIN,Home,W,8.2,6,2,2,100.0,0,0,0.0,2,2,100.0,0,1,1,1,0,0,0,0,-4
2021-04-01,PHI @ CLE,PHI,CLE,Away,W,7.31,0,0,5,0.0,0,0,0.0,0,0,0.0,2,2,4,2,0,0,0,0,-6
2021-03-30,PHI @ DEN,PHI,DEN,Away,L,6.42,3,0,1,0.0,0,0,0.0,3,4,75.0,0,1,1,0,0,0,2,2,-1
2021-03-27,PHI @ LAC,PHI,LAC,Away,L,5.44,3,1,1,100.0,0,0,0.0,1,2,50.0,0,0,0,1,0,0,1,1,-5
2021-03-25,PHI @ LAL,PHI,LAL,Away,W,12.0,3,0,1,0.0,0,1,0.0,3,6,50.0,2,2,4,6,0,0,2,1,-3
2021-03-23,PHI @ GSW,PHI,GSW,Away,W,7.33,2,0,2,0.0,0,0,0.0,2,4,50.0,0,1,1,1,0,0,2,2,1
2021-03-21,PHI @ NYK,PHI,NYK,Away,W,6.37,4,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,-6
2021-03-17,PHI vs. MIL,PHI,MIL,Home,L,7.24,0,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,1
2021-03-16,PHI vs. NYK,PHI,NYK,Home,W,7.4,4,2,3,66.7,0,0,0.0,0,1,0.0,0,2,2,1,0,0,1,1,-6
2021-03-14,PHI vs. SAS,PHI,SAS,Home,W,9.1,9,4,5,80.0,0,0,0.0,1,2,50.0,1,2,3,4,1,0,2,0,-1
2021-03-03,PHI vs. UTA,PHI,UTA,Home,W,7.16,4,2,3,66.7,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,4
2021-03-01,PHI vs. IND,PHI,IND,Home,W,6.45,2,1,1,100.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,2,12
2021-02-27,PHI vs. CLE,PHI,CLE,Home,L,12.0,6,3,6,50.0,0,0,0.0,0,2,0.0,0,2,2,2,0,0,1,1,-4
2021-02-25,PHI vs. DAL,PHI,DAL,Home,W,12.0,9,4,5,80.0,0,0,0.0,1,3,33.3,1,0,1,4,2,1,0,0,15
2021-02-23,PHI @ TOR,PHI,TOR,Away,W,7.03,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,3,0,0,1,0,1
2021-02-21,PHI @ TOR,PHI,TOR,Away,L,12.0,13,5,5,100.0,0,0,0.0,3,4,75.0,0,1,1,0,1,0,0,0,7
2021-02-15,PHI @ UTA,PHI,UTA,Away,L,6.06,2,1,5,20.0,0,0,0.0,0,0,0.0,2,0,2,1,0,0,2,0,-10
2021-02-13,PHI @ PHX,PHI,PHX,Away,L,7.46,9,3,5,60.0,0,0,0.0,3,4,75.0,0,2,2,0,0,0,1,0,-2
2021-02-11,PHI @ POR,PHI,POR,Away,L,7.18,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,0,7
2021-02-09,PHI @ SAC,PHI,SAC,Away,W,5.4,0,0,0,0.0,0,0,0.0,0,2,0.0,0,1,1,3,0,0,0,0,-12
2021-02-06,PHI vs. BKN,PHI,BKN,Home,W,6.14,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,1,0,-2
2021-02-03,PHI @ CHA,PHI,CHA,Away,W,5.51,4,2,5,40.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,0,13
2021-01-31,PHI @ IND,PHI,IND,Away,W,9.46,8,4,5,80.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,1,1,-1
2021-01-29,PHI @ MIN,PHI,MIN,Away,W,5.28,5,2,4,50.0,0,0,0.0,1,2,50.0,0,2,2,0,1,0,0,0,8
2021-01-27,PHI vs. LAL,PHI,LAL,Home,W,10.5,4,2,4,50.0,0,0,0.0,0,0,0.0,1,1,2,4,0,0,0,1,-4
2021-01-25,PHI @ DET,PHI,DET,Away,L,2.03,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2
2021-01-23,PHI @ DET,PHI,DET,Away,W,9.46,8,2,2,100.0,0,0,0.0,4,4,100.0,0,2,2,2,0,1,0,0,9
2021-01-22,PHI vs. BOS,PHI,BOS,Home,W,6.33,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,0,1,3
2021-01-20,PHI vs. BOS,PHI,BOS,Home,W,11.04,5,0,0,0.0,0,0,0.0,5,6,83.3,1,1,2,1,0,0,1,2,-9
2021-01-16,PHI @ MEM,PHI,MEM,Away,L,9.09,9,2,2,100.0,0,0,0.0,5,5,100.0,0,3,3,2,0,0,3,2,-2
2021-01-14,PHI vs. MIA,PHI,MIA,Home,W,10.12,4,1,2,50.0,0,1,0.0,2,2,100.0,0,3,3,5,1,0,0,0,9
2021-01-12,PHI vs. MIA,PHI,MIA,Home,W,6.23,3,1,1,100.0,0,0,0.0,1,2,50.0,0,2,2,2,1,0,3,2,-5
2021-01-07,PHI @ BKN,PHI,BKN,Away,L,6.33,4,1,4,25.0,0,1,0.0,2,2,100.0,0,2,2,0,1,0,2,2,-14
