Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-15,PHX @ SAS,PHX,SAS,Away,W,12.0,7,3,5,60.0,1,1,100.0,0,0,0.0,0,3,3,6,1,0,1,0,4
2021-05-13,PHX vs. POR,PHX,POR,Home,W,8.0,7,2,3,66.7,1,1,100.0,2,2,100.0,0,0,0,1,0,0,0,0,-1
2021-05-11,PHX @ GSW,PHX,GSW,Away,L,7.51,4,0,2,0.0,0,2,0.0,4,4,100.0,0,0,0,3,0,0,0,0,2
2021-05-09,PHX @ LAL,PHX,LAL,Away,L,8.1,4,2,3,66.7,0,0,0.0,0,0,0.0,0,2,2,5,1,0,0,1,7
2021-05-07,PHX vs. NYK,PHX,NYK,Home,W,7.09,2,1,3,33.3,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,0,-4
2021-05-05,PHX @ ATL,PHX,ATL,Away,L,7.19,5,1,5,20.0,1,2,50.0,2,2,100.0,1,1,2,2,1,0,0,0,-4
2021-05-04,PHX @ CLE,PHX,CLE,Away,W,7.16,12,4,6,66.7,1,1,100.0,3,3,100.0,0,0,0,2,1,1,0,0,4
2021-05-02,PHX @ OKC,PHX,OKC,Away,W,7.1,5,2,3,66.7,1,1,100.0,0,0,0.0,0,0,0,4,0,0,2,0,5
2021-04-30,PHX vs. UTA,PHX,UTA,Home,W,8.39,6,2,4,50.0,0,1,0.0,2,2,100.0,0,1,1,4,1,0,1,1,-7
2021-04-28,PHX vs. LAC,PHX,LAC,Home,W,6.02,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,4,2,0,0,0,3
2021-04-26,PHX @ NYK,PHX,NYK,Away,W,7.5,4,2,5,40.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,1,-1
2021-04-25,PHX @ BKN,PHX,BKN,Away,L,6.06,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,3,0,0,2,1,0
2021-04-22,PHX @ BOS,PHX,BOS,Away,L,9.19,8,2,5,40.0,1,4,25.0,3,3,100.0,0,1,1,0,0,0,2,0,-7
2021-04-21,PHX @ PHI,PHX,PHI,Away,W,7.39,5,2,3,66.7,1,2,50.0,0,0,0.0,0,1,1,1,0,0,0,0,-1
2021-04-19,PHX @ MIL,PHX,MIL,Away,W,7.23,4,2,4,50.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,0,1,1
2021-04-17,PHX vs. SAS,PHX,SAS,Home,L,7.02,4,2,5,40.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,0,0,-14
2021-04-15,PHX vs. SAC,PHX,SAC,Home,W,7.33,7,3,4,75.0,1,2,50.0,0,0,0.0,0,1,1,2,0,0,0,0,3
2021-04-13,PHX vs. MIA,PHX,MIA,Home,W,7.35,3,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,3,0,0,0,0,9
