Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-11,PHX @ GSW,PHX,GSW,Away,L,8.24,4,2,2,100.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,-5
2021-05-09,PHX @ LAL,PHX,LAL,Away,L,10.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,-3
2021-05-07,PHX vs. NYK,PHX,NYK,Home,W,8.15,8,4,5,80.0,0,0,0.0,0,0,0.0,0,4,4,0,0,1,0,0,2
2021-05-05,PHX @ ATL,PHX,ATL,Away,L,8.26,0,0,1,0.0,0,0,0.0,0,0,0.0,2,1,3,2,1,0,0,1,-7
2021-05-04,PHX @ CLE,PHX,CLE,Away,W,9.36,9,4,4,100.0,0,0,0.0,1,1,100.0,1,1,2,0,0,1,2,1,2
2021-05-02,PHX @ OKC,PHX,OKC,Away,W,8.14,0,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,4
2021-04-30,PHX vs. UTA,PHX,UTA,Home,W,7.48,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,0,7
2021-04-28,PHX vs. LAC,PHX,LAC,Home,W,9.37,1,0,3,0.0,0,0,0.0,1,2,50.0,2,0,2,1,1,0,0,0,-1
2021-04-26,PHX @ NYK,PHX,NYK,Away,W,10.29,5,2,2,100.0,0,0,0.0,1,1,100.0,1,5,6,2,0,1,0,2,8
2021-04-25,PHX @ BKN,PHX,BKN,Away,L,8.38,8,3,3,100.0,0,0,0.0,2,2,100.0,1,1,2,2,0,0,0,1,0
2021-04-22,PHX @ BOS,PHX,BOS,Away,L,7.37,2,1,2,50.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,2,3
2021-04-21,PHX @ PHI,PHX,PHI,Away,W,9.52,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,0,1,1,0,0,5
2021-04-19,PHX @ MIL,PHX,MIL,Away,W,7.47,6,3,4,75.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,-4
2021-04-17,PHX vs. SAS,PHX,SAS,Home,L,8.33,2,1,3,33.3,0,0,0.0,0,0,0.0,4,0,4,0,0,0,1,0,-6
2021-04-15,PHX vs. SAC,PHX,SAC,Home,W,9.37,6,3,4,75.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,1,1,0
2021-04-13,PHX vs. MIA,PHX,MIA,Home,W,8.46,6,2,3,66.7,0,0,0.0,2,2,100.0,0,3,3,0,2,0,1,1,-1
2021-04-12,PHX vs. HOU,PHX,HOU,Home,W,7.33,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,0,-11
2021-04-10,PHX vs. WAS,PHX,WAS,Home,W,9.49,6,3,3,100.0,0,0,0.0,0,0,0.0,0,3,3,0,1,1,0,2,22
2021-04-08,PHX @ LAC,PHX,LAC,Away,L,7.5,10,5,5,100.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,1,1,-1
2021-04-07,PHX vs. UTA,PHX,UTA,Home,W,9.18,6,3,4,75.0,0,0,0.0,0,0,0.0,1,0,1,0,0,2,1,1,-7
2021-04-05,PHX @ HOU,PHX,HOU,Away,W,10.06,15,5,7,71.4,0,0,0.0,5,6,83.3,1,1,2,0,0,2,1,1,-3
2021-04-02,PHX vs. OKC,PHX,OKC,Home,W,8.31,4,2,4,50.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,1
