Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-14,PHI vs. ORL,PHI,ORL,Home,W,9.26,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,2,0,1,0,1,9
2021-05-13,PHI @ MIA,PHI,MIA,Away,L,11.3,7,2,6,33.3,0,3,0.0,3,4,75.0,0,1,1,0,0,1,1,0,-3
2021-05-11,PHI @ IND,PHI,IND,Away,L,9.3,6,3,8,37.5,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-8
2021-05-08,PHI vs. DET,PHI,DET,Home,W,10.02,4,1,7,14.3,0,1,0.0,2,2,100.0,1,1,2,2,0,0,0,0,2
2021-05-07,PHI vs. NOP,PHI,NOP,Home,W,10.08,5,2,4,50.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,1,0,-10
2021-05-05,PHI @ HOU,PHI,HOU,Away,W,9.52,6,2,3,66.7,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,2,5
2021-05-03,PHI @ CHI,PHI,CHI,Away,W,10.15,6,3,4,75.0,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,0,3
2021-05-02,PHI @ SAS,PHI,SAS,Away,W,9.24,0,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,2,0,1,1,0,1
2021-04-30,PHI vs. ATL,PHI,ATL,Home,W,9.0,7,3,5,60.0,1,3,33.3,0,0,0.0,0,0,0,0,0,0,0,0,3
2021-04-28,PHI vs. ATL,PHI,ATL,Home,W,9.0,9,3,4,75.0,1,1,100.0,2,2,100.0,0,3,3,1,0,0,0,3,-3
2021-04-26,PHI vs. OKC,PHI,OKC,Home,W,8.51,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,3,3,0,0,0,9
2021-04-24,PHI @ MIL,PHI,MIL,Away,L,8.07,4,2,4,50.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,0,-9
2021-04-22,PHI @ MIL,PHI,MIL,Away,L,11.26,12,6,8,75.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,-1
2021-04-14,PHI vs. BKN,PHI,BKN,Home,W,8.08,2,1,2,50.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,5
2021-04-12,PHI @ DAL,PHI,DAL,Away,W,10.3,2,1,4,25.0,0,1,0.0,0,0,0.0,0,2,2,2,0,1,0,0,8
2021-04-09,PHI @ NOP,PHI,NOP,Away,L,9.41,8,2,3,66.7,0,0,0.0,4,4,100.0,0,1,1,0,1,0,0,1,-7
2021-04-06,PHI @ BOS,PHI,BOS,Away,W,7.04,3,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0,2,1,0,0,0,8
2021-04-04,PHI vs. MEM,PHI,MEM,Home,L,6.21,8,3,5,60.0,0,2,0.0,2,2,100.0,0,0,0,0,0,0,0,2,-14
2021-04-03,PHI vs. MIN,PHI,MIN,Home,W,5.17,6,3,3,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,7
2021-04-01,PHI @ CLE,PHI,CLE,Away,W,7.01,6,3,5,60.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,1,7
2021-03-30,PHI @ DEN,PHI,DEN,Away,L,9.01,4,2,6,33.3,0,1,0.0,0,0,0.0,0,1,1,1,1,2,0,0,-2
2021-03-27,PHI @ LAC,PHI,LAC,Away,L,7.26,4,1,2,50.0,0,0,0.0,2,2,100.0,0,2,2,1,0,0,2,0,-8
2021-03-25,PHI @ LAL,PHI,LAL,Away,W,8.58,6,3,4,75.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,1,14
2021-03-23,PHI @ GSW,PHI,GSW,Away,W,6.55,4,2,4,50.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,0,-14
2021-03-21,PHI @ NYK,PHI,NYK,Away,W,6.16,5,2,4,50.0,0,1,0.0,1,1,100.0,0,1,1,1,1,0,0,1,-1
2021-03-20,PHI vs. SAC,PHI,SAC,Home,W,7.18,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,3,1,0,0,0,13
2021-03-17,PHI vs. MIL,PHI,MIL,Home,L,8.53,7,3,6,50.0,1,1,100.0,0,0,0.0,0,2,2,0,0,1,1,0,0
2021-03-16,PHI vs. NYK,PHI,NYK,Home,W,10.48,9,4,8,50.0,1,3,33.3,0,0,0.0,0,1,1,0,0,1,0,2,1
2021-03-14,PHI vs. SAS,PHI,SAS,Home,W,10.4,13,5,6,83.3,1,1,100.0,2,2,100.0,1,2,3,1,0,0,0,1,25
2021-03-12,PHI @ WAS,PHI,WAS,Away,W,7.49,6,3,4,75.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,0,7
2021-03-11,PHI @ CHI,PHI,CHI,Away,W,8.47,11,5,6,83.3,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,5
2021-03-03,PHI vs. UTA,PHI,UTA,Home,W,7.47,2,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,1,3
2021-02-25,PHI vs. DAL,PHI,DAL,Home,W,4.39,2,0,1,0.0,0,0,0.0,2,2,100.0,0,0,0,0,1,0,0,0,-6
2021-02-23,PHI @ TOR,PHI,TOR,Away,W,10.25,2,1,3,33.3,0,1,0.0,0,1,0.0,0,0,0,1,0,0,0,0,1
2021-02-21,PHI @ TOR,PHI,TOR,Away,L,10.54,3,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,2,0,0,0,2,0
2021-02-19,PHI vs. CHI,PHI,CHI,Home,W,10.27,8,3,4,75.0,0,0,0.0,2,2,100.0,0,5,5,1,0,0,3,2,2
2021-02-17,PHI vs. HOU,PHI,HOU,Home,W,12.0,5,1,5,20.0,1,2,50.0,2,2,100.0,0,7,7,0,0,0,0,1,-9
2021-02-15,PHI @ UTA,PHI,UTA,Away,L,12.0,9,4,6,66.7,1,1,100.0,0,0,0.0,0,2,2,1,1,0,0,1,-6
2021-02-13,PHI @ PHX,PHI,PHX,Away,L,12.0,10,4,4,100.0,0,0,0.0,2,2,100.0,0,1,1,3,0,0,0,0,-5
2021-02-11,PHI @ POR,PHI,POR,Away,L,9.53,4,2,3,66.7,0,1,0.0,0,0,0.0,0,2,2,3,0,0,1,0,0
2021-02-09,PHI @ SAC,PHI,SAC,Away,W,9.1,2,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,1
2021-02-06,PHI vs. BKN,PHI,BKN,Home,W,7.5,5,2,3,66.7,0,0,0.0,1,1,100.0,0,1,1,2,1,0,0,0,5
2021-02-04,PHI vs. POR,PHI,POR,Home,L,8.36,0,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,1,0,0,2,2,-22
2021-02-03,PHI @ CHA,PHI,CHA,Away,W,7.57,5,1,1,100.0,0,0,0.0,3,3,100.0,0,2,2,1,0,0,0,0,-9
2021-01-31,PHI @ IND,PHI,IND,Away,W,6.01,2,1,3,33.3,0,0,0.0,0,0,0.0,0,2,2,0,0,1,1,2,-9
2021-01-29,PHI @ MIN,PHI,MIN,Away,W,8.58,4,1,1,100.0,1,1,100.0,1,2,50.0,0,2,2,0,0,2,1,0,5
2021-01-27,PHI vs. LAL,PHI,LAL,Home,W,12.0,9,4,5,80.0,1,2,50.0,0,0,0.0,0,3,3,2,0,0,1,0,3
2021-01-25,PHI @ DET,PHI,DET,Away,L,9.44,6,2,5,40.0,0,1,0.0,2,3,66.7,1,2,3,0,0,0,1,1,7
2021-01-23,PHI @ DET,PHI,DET,Away,W,4.58,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,0,8
2021-01-22,PHI vs. BOS,PHI,BOS,Home,W,10.37,8,3,3,100.0,2,2,100.0,0,0,0.0,0,4,4,0,0,1,0,0,15
