Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-13,PHX vs. POR,PHX,POR,Home,W,5.44,6,1,2,50.0,0,0,0.0,4,4,100.0,0,0,0,0,0,0,2,0,-5
2021-05-11,PHX @ GSW,PHX,GSW,Away,L,9.01,3,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,1,0,0,1,0,-7
2021-05-09,PHX @ LAL,PHX,LAL,Away,L,5.46,2,0,0,0.0,0,0,0.0,2,2,100.0,0,2,2,0,0,0,0,2,0
2021-05-07,PHX vs. NYK,PHX,NYK,Home,W,5.4,4,1,1,100.0,1,1,100.0,1,1,100.0,0,0,0,1,0,0,0,0,5
2021-05-05,PHX @ ATL,PHX,ATL,Away,L,1.18,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-5
2021-05-04,PHX @ CLE,PHX,CLE,Away,W,6.14,4,2,4,50.0,0,1,0.0,0,0,0.0,1,0,1,2,0,0,0,1,-7
2021-05-02,PHX @ OKC,PHX,OKC,Away,W,6.27,2,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,1,-13
2021-04-28,PHX vs. LAC,PHX,LAC,Home,W,7.24,4,2,3,66.7,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,0,8
2021-04-26,PHX @ NYK,PHX,NYK,Away,W,9.56,3,1,4,25.0,0,1,0.0,1,1,100.0,0,2,2,2,0,0,0,0,6
2021-04-25,PHX @ BKN,PHX,BKN,Away,L,7.36,9,3,6,50.0,1,1,100.0,2,2,100.0,0,0,0,0,0,0,1,0,2
2021-04-22,PHX @ BOS,PHX,BOS,Away,L,1.31,2,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,1,1,1
2021-04-21,PHX @ PHI,PHX,PHI,Away,W,4.38,8,3,4,75.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,0,0,-3
2021-04-19,PHX @ MIL,PHX,MIL,Away,W,7.52,7,3,5,60.0,1,3,33.3,0,0,0.0,0,0,0,1,0,0,0,1,8
2021-04-15,PHX vs. SAC,PHX,SAC,Home,W,4.57,0,0,3,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,2,4
2021-04-13,PHX vs. MIA,PHX,MIA,Home,W,4.42,2,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,3
2021-04-12,PHX vs. HOU,PHX,HOU,Home,W,5.45,4,1,2,50.0,0,0,0.0,2,2,100.0,0,4,4,1,0,0,1,1,1
2021-04-08,PHX @ LAC,PHX,LAC,Away,L,6.57,5,0,3,0.0,0,0,0.0,5,5,100.0,0,0,0,1,0,0,0,1,-6
2021-04-07,PHX vs. UTA,PHX,UTA,Home,W,8.02,4,2,8,25.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,1,5
2021-04-05,PHX @ HOU,PHX,HOU,Away,W,7.22,18,5,7,71.4,2,2,100.0,6,7,85.7,0,2,2,1,1,0,0,1,6
2021-03-31,PHX vs. CHI,PHX,CHI,Home,W,7.04,9,1,3,33.3,0,0,0.0,7,8,87.5,0,1,1,0,0,1,1,2,2
2021-03-30,PHX vs. ATL,PHX,ATL,Home,W,6.18,0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,3
2021-03-28,PHX @ CHA,PHX,CHA,Away,W,6.5,5,2,6,33.3,1,3,33.3,0,0,0.0,1,0,1,0,0,0,1,0,-7
2021-03-26,PHX @ TOR,PHX,TOR,Away,W,6.06,2,0,4,0.0,0,1,0.0,2,2,100.0,0,1,1,0,0,0,0,0,-6
2021-03-24,PHX @ ORL,PHX,ORL,Away,L,7.46,5,1,6,16.7,1,3,33.3,2,2,100.0,0,1,1,2,1,0,0,0,-2
2021-03-21,PHX vs. LAL,PHX,LAL,Home,W,7.15,4,2,4,50.0,0,1,0.0,0,0,0.0,2,1,3,0,0,0,1,1,8
2021-03-19,PHX vs. MIN,PHX,MIN,Home,W,6.05,0,0,2,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,0,0,10
2021-03-18,PHX vs. MIN,PHX,MIN,Home,L,6.59,1,0,2,0.0,0,2,0.0,1,2,50.0,0,2,2,1,0,0,2,2,-7
2021-03-13,PHX vs. IND,PHX,IND,Home,L,10.01,9,4,6,66.7,0,1,0.0,1,2,50.0,1,0,1,3,0,0,1,0,6
2021-03-11,PHX @ POR,PHX,POR,Away,W,5.39,9,3,4,75.0,1,1,100.0,2,2,100.0,0,1,1,3,0,0,0,1,1
2021-02-28,PHX @ MIN,PHX,MIN,Away,W,4.17,2,0,2,0.0,0,1,0.0,2,2,100.0,0,1,1,1,0,0,0,1,4
2021-02-26,PHX @ CHI,PHX,CHI,Away,W,6.46,1,0,2,0.0,0,1,0.0,1,2,50.0,0,0,0,2,2,0,1,0,15
2021-02-24,PHX vs. CHA,PHX,CHA,Home,L,12.0,12,4,9,44.4,1,5,20.0,3,4,75.0,0,0,0,1,0,0,2,1,3
2021-02-19,PHX @ NOP,PHX,NOP,Away,W,3.44,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,14
2021-02-16,PHX vs. BKN,PHX,BKN,Home,L,9.11,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,-12
2021-02-14,PHX vs. ORL,PHX,ORL,Home,W,4.47,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
2021-02-13,PHX vs. PHI,PHX,PHI,Home,W,5.42,8,2,3,66.7,2,3,66.7,2,2,100.0,0,0,0,0,0,0,1,4,4
2021-02-10,PHX vs. MIL,PHX,MIL,Home,W,8.48,5,2,6,33.3,0,1,0.0,1,2,50.0,0,1,1,0,0,0,0,1,0
2021-02-08,PHX vs. CLE,PHX,CLE,Home,W,10.05,10,3,7,42.9,2,4,50.0,2,3,66.7,0,2,2,3,0,0,1,0,9
