Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-04-13,UTA vs. OKC,UTA,OKC,Home,W,7.22,2,0,3,0.0,0,2,0.0,2,2,100.0,0,2,2,1,0,0,0,2,-11
2021-04-12,UTA vs. WAS,UTA,WAS,Home,L,10.01,21,6,11,54.5,2,4,50.0,7,8,87.5,0,1,1,1,0,0,0,1,9
2021-04-10,UTA vs. SAC,UTA,SAC,Home,W,8.09,14,4,7,57.1,0,1,0.0,6,6,100.0,1,1,2,2,1,0,0,0,15
2021-04-08,UTA vs. POR,UTA,POR,Home,W,6.32,4,2,5,40.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,2,0,-2
2021-04-07,UTA @ PHX,UTA,PHX,Away,L,9.11,13,5,10,50.0,2,4,50.0,1,1,100.0,0,2,2,0,0,0,0,1,3
2021-04-05,UTA @ DAL,UTA,DAL,Away,L,8.09,6,2,5,40.0,0,2,0.0,2,4,50.0,0,1,1,1,0,0,0,1,5
2021-04-02,UTA vs. CHI,UTA,CHI,Home,W,6.4,8,2,6,33.3,0,2,0.0,4,4,100.0,1,0,1,1,0,0,0,1,1
2021-03-27,UTA vs. MEM,UTA,MEM,Home,W,1.4,0,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,-2
2021-03-26,UTA vs. MEM,UTA,MEM,Home,W,8.31,12,3,8,37.5,2,2,100.0,4,4,100.0,0,0,0,0,0,0,0,2,-14
2021-03-22,UTA @ CHI,UTA,CHI,Away,W,3.41,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,2
2021-03-19,UTA @ TOR,UTA,TOR,Away,W,9.0,12,3,6,50.0,0,3,0.0,6,7,85.7,0,1,1,0,0,0,0,1,-4
2021-03-18,UTA @ WAS,UTA,WAS,Away,L,9.32,13,4,8,50.0,1,4,25.0,4,5,80.0,0,2,2,1,0,0,0,2,7
2021-03-16,UTA @ BOS,UTA,BOS,Away,W,7.37,8,2,5,40.0,2,3,66.7,2,2,100.0,0,1,1,2,0,0,1,0,-1
2021-03-14,UTA @ GSW,UTA,GSW,Away,L,8.26,6,2,6,33.3,1,4,25.0,1,2,50.0,0,0,0,1,0,0,1,1,-11
2021-03-12,UTA vs. HOU,UTA,HOU,Home,W,8.41,3,1,6,16.7,0,2,0.0,1,2,50.0,1,1,2,2,0,0,1,0,6
2021-03-03,UTA @ PHI,UTA,PHI,Away,L,10.19,7,3,8,37.5,1,2,50.0,0,0,0.0,1,1,2,2,0,0,1,1,-2
2021-03-01,UTA @ NOP,UTA,NOP,Away,L,10.06,10,2,8,25.0,0,2,0.0,6,6,100.0,0,1,1,3,0,0,0,2,12
2021-02-27,UTA @ ORL,UTA,ORL,Away,W,7.13,10,4,5,80.0,2,3,66.7,0,0,0.0,0,0,0,1,0,0,1,0,2
2021-02-26,UTA @ MIA,UTA,MIA,Away,L,9.4,6,1,8,12.5,0,4,0.0,4,6,66.7,2,2,4,0,1,0,2,0,-3
2021-02-24,UTA vs. LAL,UTA,LAL,Home,W,2.24,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,4
2021-02-22,UTA vs. CHA,UTA,CHA,Home,W,5.5,5,2,4,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,1,4
2021-02-19,UTA @ LAC,UTA,LAC,Away,L,10.4,17,5,10,50.0,2,4,50.0,5,7,71.4,0,1,1,3,1,0,0,2,0
2021-02-17,UTA @ LAC,UTA,LAC,Away,W,6.28,4,1,3,33.3,0,0,0.0,2,2,100.0,0,3,3,1,1,0,0,0,13
2021-02-15,UTA vs. PHI,UTA,PHI,Home,W,9.09,3,1,5,20.0,0,1,0.0,1,2,50.0,0,2,2,3,0,0,0,0,1
2021-02-13,UTA vs. MIA,UTA,MIA,Home,W,6.51,8,2,2,100.0,1,1,100.0,3,3,100.0,0,0,0,0,0,0,1,0,-2
2021-02-12,UTA vs. MIL,UTA,MIL,Home,W,10.53,12,2,9,22.2,0,5,0.0,8,8,100.0,0,3,3,3,0,0,1,1,1
2021-02-09,UTA vs. BOS,UTA,BOS,Home,W,8.38,10,3,5,60.0,3,4,75.0,1,2,50.0,0,1,1,4,1,1,1,1,6
2021-02-07,UTA @ IND,UTA,IND,Away,W,10.38,6,1,3,33.3,0,1,0.0,4,4,100.0,1,2,3,5,0,0,1,0,3
2021-02-05,UTA @ CHA,UTA,CHA,Away,W,7.55,11,2,4,50.0,2,2,100.0,5,6,83.3,0,3,3,1,0,0,1,2,1
2021-02-04,UTA @ ATL,UTA,ATL,Away,W,4.17,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,0,6
2021-02-02,UTA vs. DET,UTA,DET,Home,W,7.4,2,0,2,0.0,0,0,0.0,2,5,40.0,0,0,0,0,1,0,1,0,-2
2021-01-31,UTA @ DEN,UTA,DEN,Away,L,5.13,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-3
2021-01-26,UTA vs. NYK,UTA,NYK,Home,W,7.19,3,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,1,0,0,0,1,6
2021-01-21,UTA vs. NOP,UTA,NOP,Home,W,6.23,2,0,3,0.0,0,1,0.0,2,2,100.0,0,0,0,1,0,0,0,0,2
2021-01-19,UTA vs. NOP,UTA,NOP,Home,W,7.0,4,0,2,0.0,0,0,0.0,4,4,100.0,0,1,1,1,0,0,2,2,-5
2021-01-17,UTA @ DEN,UTA,DEN,Away,W,9.15,8,4,8,50.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,3,2,0
2021-01-15,UTA vs. ATL,UTA,ATL,Home,W,2.09,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,-1
2021-01-12,UTA @ CLE,UTA,CLE,Away,W,2.43,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-2
2021-01-10,UTA @ DET,UTA,DET,Away,W,9.31,7,1,3,33.3,1,1,100.0,4,4,100.0,0,1,1,2,0,0,0,0,2
2021-01-08,UTA @ MIL,UTA,MIL,Away,W,7.38,4,2,6,33.3,0,2,0.0,0,0,0.0,0,1,1,2,0,0,1,0,4
2021-01-06,UTA @ NYK,UTA,NYK,Away,L,8.35,8,4,10,40.0,0,3,0.0,0,0,0.0,1,0,1,1,0,0,1,0,-11
2021-01-05,UTA @ BKN,UTA,BKN,Away,L,3.34,7,2,3,66.7,1,1,100.0,2,2,100.0,0,0,0,0,0,0,1,1,0
2021-01-03,UTA @ SAS,UTA,SAS,Away,W,2.53,3,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,2,0,0,0,0,7
2021-01-01,UTA vs. LAC,UTA,LAC,Home,W,8.51,2,1,5,20.0,0,4,0.0,0,1,0.0,0,1,1,1,0,0,1,1,-10
2020-12-31,UTA vs. PHX,UTA,PHX,Home,L,9.46,10,3,7,42.9,2,3,66.7,2,2,100.0,0,2,2,0,0,0,0,0,8
2020-12-28,UTA @ OKC,UTA,OKC,Away,W,8.14,12,5,9,55.6,0,3,0.0,2,2,100.0,0,1,1,1,1,0,0,0,3
2020-12-26,UTA vs. MIN,UTA,MIN,Home,L,11.21,10,3,8,37.5,2,4,50.0,2,4,50.0,0,0,0,1,2,0,0,1,6
2020-12-23,UTA @ POR,UTA,POR,Away,W,4.59,3,1,3,33.3,1,3,33.3,0,0,0.0,0,0,0,0,0,0,1,1,-5
