Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-08,BKN @ DEN,BKN,DEN,Away,W,7.54,3,1,1,100.0,0,0,0.0,1,2,50.0,0,0,0,0,0,1,3,1,6
2021-05-06,BKN @ DAL,BKN,DAL,Away,L,9.19,15,5,11,45.5,2,6,33.3,3,3,100.0,0,1,1,0,2,0,0,3,-4
2021-05-04,BKN @ MIL,BKN,MIL,Away,L,8.11,7,2,4,50.0,1,3,33.3,2,2,100.0,0,0,0,0,1,0,2,1,-6
2021-05-02,BKN @ MIL,BKN,MIL,Away,L,9.05,5,2,6,33.3,1,4,25.0,0,0,0.0,1,2,3,1,0,0,2,0,-3
2021-04-30,BKN vs. POR,BKN,POR,Home,L,4.01,4,2,5,40.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-6
2021-04-27,BKN @ TOR,BKN,TOR,Away,W,5.31,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,0,5
2021-04-25,BKN vs. PHX,BKN,PHX,Home,W,9.39,2,1,5,20.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,0,1
2021-04-23,BKN vs. BOS,BKN,BOS,Home,W,8.26,2,0,6,0.0,0,2,0.0,2,2,100.0,0,3,3,2,0,1,0,1,-10
2021-04-21,BKN @ TOR,BKN,TOR,Away,L,8.47,10,2,4,50.0,0,2,0.0,6,6,100.0,0,2,2,0,0,0,0,0,-1
2021-04-20,BKN @ NOP,BKN,NOP,Away,W,9.16,15,5,6,83.3,1,2,50.0,4,4,100.0,0,1,1,2,1,0,1,1,-1
2021-04-18,BKN @ MIA,BKN,MIA,Away,L,9.01,2,0,4,0.0,0,3,0.0,2,2,100.0,0,1,1,3,0,1,1,0,-1
2021-04-16,BKN vs. CHA,BKN,CHA,Home,W,5.11,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,1,1,0,0,0,2
2021-04-14,BKN @ PHI,BKN,PHI,Away,L,3.21,4,1,2,50.0,0,0,0.0,2,2,100.0,0,0,0,1,0,0,0,0,-9
2021-04-05,BKN vs. NYK,BKN,NYK,Home,W,8.59,6,2,5,40.0,2,4,50.0,0,0,0.0,0,2,2,2,0,0,1,1,1
2021-04-04,BKN @ CHI,BKN,CHI,Away,L,8.38,10,5,6,83.3,0,0,0.0,0,0,0.0,0,1,1,4,0,0,0,0,4
2021-04-01,BKN vs. CHA,BKN,CHA,Home,W,6.06,0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,1
2021-03-31,BKN vs. HOU,BKN,HOU,Home,W,9.25,2,1,4,25.0,0,1,0.0,0,0,0.0,0,0,0,5,0,0,1,2,16
2021-03-29,BKN vs. MIN,BKN,MIN,Home,W,5.26,6,2,5,40.0,0,3,0.0,2,2,100.0,0,2,2,0,0,0,0,0,-4
2021-03-21,BKN vs. WAS,BKN,WAS,Home,W,7.45,4,0,3,0.0,0,2,0.0,4,4,100.0,0,2,2,2,1,0,1,1,-4
2021-03-19,BKN @ ORL,BKN,ORL,Away,L,9.22,7,3,6,50.0,1,1,100.0,0,0,0.0,1,2,3,0,0,0,0,0,1
2021-03-15,BKN vs. NYK,BKN,NYK,Home,W,9.11,9,3,4,75.0,1,1,100.0,2,4,50.0,0,0,0,1,1,0,1,2,-2
2021-03-13,BKN vs. DET,BKN,DET,Home,W,9.06,4,2,4,50.0,0,2,0.0,0,0,0.0,0,1,1,0,1,0,1,0,-1
2021-03-11,BKN vs. BOS,BKN,BOS,Home,W,7.34,8,2,3,66.7,2,2,100.0,2,2,100.0,0,2,2,0,0,0,0,1,7
2021-03-03,BKN @ HOU,BKN,HOU,Away,W,3.33,7,3,3,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,0,0,1,5
2021-03-01,BKN @ SAS,BKN,SAS,Away,W,7.31,5,2,5,40.0,1,3,33.3,0,0,0.0,0,2,2,0,0,0,0,0,-6
2021-02-25,BKN vs. ORL,BKN,ORL,Home,W,4.43,4,1,1,100.0,0,0,0.0,2,2,100.0,1,0,1,1,0,0,0,0,9
2021-02-23,BKN vs. SAC,BKN,SAC,Home,W,7.43,5,1,4,25.0,0,1,0.0,3,3,100.0,2,0,2,2,1,0,0,1,5
2021-02-21,BKN @ LAC,BKN,LAC,Away,W,8.14,4,2,9,22.2,0,4,0.0,0,0,0.0,2,1,3,2,0,0,0,1,-7
2021-02-18,BKN @ LAL,BKN,LAL,Away,W,3.36,4,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,2
2021-02-15,BKN @ SAC,BKN,SAC,Away,W,2.6,3,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,-4
2021-02-13,BKN @ GSW,BKN,GSW,Away,W,3.41,8,3,4,75.0,1,1,100.0,1,1,100.0,0,1,1,0,0,0,1,0,2
2021-02-10,BKN vs. IND,BKN,IND,Home,W,9.19,11,2,5,40.0,1,3,33.3,6,6,100.0,0,0,0,1,1,0,0,1,-1
