Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2021-05-16,POR vs. DEN,POR,DEN,Home,W,6.31,4,1,3,33.3,0,0,0.0,2,2,100.0,0,0,0,0,0,0,0,0,4
2021-05-13,POR @ PHX,POR,PHX,Away,L,12.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,1,0,0,1,7
2021-05-12,POR @ UTA,POR,UTA,Away,W,8.15,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,2,-6
2021-05-10,POR vs. HOU,POR,HOU,Home,W,9.57,3,1,3,33.3,0,0,0.0,1,2,50.0,1,2,3,0,0,0,0,1,4
2021-05-08,POR vs. SAS,POR,SAS,Home,W,6.54,11,3,5,60.0,1,2,50.0,4,4,100.0,0,3,3,0,0,0,0,1,9
2021-05-07,POR vs. LAL,POR,LAL,Home,W,12.0,4,2,5,40.0,0,2,0.0,0,0,0.0,0,1,1,0,0,1,2,2,1
2021-05-03,POR @ ATL,POR,ATL,Away,L,6.47,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-13
2021-05-02,POR @ BOS,POR,BOS,Away,W,12.0,3,1,3,33.3,0,1,0.0,1,2,50.0,0,0,0,2,0,1,0,1,5
2021-04-30,POR @ BKN,POR,BKN,Away,W,6.42,4,1,2,50.0,0,1,0.0,2,2,100.0,0,1,1,0,0,0,0,0,9
2021-04-28,POR @ MEM,POR,MEM,Away,W,8.46,6,3,4,75.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,1
2021-04-25,POR vs. MEM,POR,MEM,Home,L,7.13,6,3,3,100.0,0,0,0.0,0,0,0.0,0,0,0,1,2,0,1,3,-1
2021-04-23,POR vs. MEM,POR,MEM,Home,L,7.48,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
2021-04-21,POR vs. DEN,POR,DEN,Home,L,7.42,2,0,2,0.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,0,0,0
2021-04-20,POR vs. LAC,POR,LAC,Home,L,12.0,6,3,7,42.9,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,1,3
2021-04-18,POR @ CHA,POR,CHA,Away,L,12.0,5,2,5,40.0,0,1,0.0,1,1,100.0,1,0,1,1,0,0,0,2,13
2021-04-16,POR @ SAS,POR,SAS,Away,W,8.15,9,4,5,80.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,6
2021-04-13,POR vs. BOS,POR,BOS,Home,L,12.0,3,1,5,20.0,1,3,33.3,0,0,0.0,1,0,1,2,0,0,0,1,4
2021-04-11,POR vs. MIA,POR,MIA,Home,L,7.26,4,2,4,50.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,0,-1
2021-04-10,POR vs. DET,POR,DET,Home,W,8.07,0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,2,-6
2021-04-08,POR @ UTA,POR,UTA,Away,L,7.15,3,1,3,33.3,0,1,0.0,1,1,100.0,0,0,0,1,0,0,0,1,-3
2021-04-06,POR @ LAC,POR,LAC,Away,L,8.05,10,2,4,50.0,0,2,0.0,6,6,100.0,0,0,0,1,0,0,0,0,-8
2021-04-02,POR vs. MIL,POR,MIL,Home,L,2.52,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,1
2021-03-31,POR @ DET,POR,DET,Away,W,10.43,7,3,5,60.0,0,1,0.0,1,1,100.0,0,1,1,0,1,1,0,1,10
2021-03-28,POR @ TOR,POR,TOR,Away,W,7.49,2,0,0,0.0,0,0,0.0,2,4,50.0,0,2,2,0,0,0,2,1,-6
2021-03-26,POR @ ORL,POR,ORL,Away,W,10.06,4,1,2,50.0,0,0,0.0,2,3,66.7,0,1,1,0,2,0,0,2,7
2021-03-22,TOR @ HOU,TOR,HOU,Away,L,8.56,4,2,5,40.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,2,1,-12
2021-03-21,TOR @ CLE,TOR,CLE,Away,L,3.55,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0
2021-03-19,TOR vs. UTA,TOR,UTA,Home,L,9.0,8,3,4,75.0,2,2,100.0,0,0,0.0,0,0,0,0,0,0,0,1,4
2021-03-17,TOR @ DET,TOR,DET,Away,L,7.06,9,2,3,66.7,2,3,66.7,3,5,60.0,1,1,2,0,0,0,1,2,2
2021-03-14,TOR @ CHI,TOR,CHI,Away,L,7.53,3,1,2,50.0,0,0,0.0,1,2,50.0,0,3,3,3,0,0,1,0,-10
2021-03-11,TOR vs. ATL,TOR,ATL,Home,L,9.52,2,1,2,50.0,0,0,0.0,0,2,0.0,0,1,1,2,0,0,0,1,-6
2021-03-04,TOR @ BOS,TOR,BOS,Away,L,8.09,2,0,1,0.0,0,1,0.0,2,2,100.0,0,0,0,2,0,0,1,3,4
2021-03-03,TOR vs. DET,TOR,DET,Home,L,6.56,4,2,4,50.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,0,-2
2021-02-26,TOR vs. HOU,TOR,HOU,Home,W,6.42,8,3,3,100.0,1,1,100.0,1,1,100.0,0,0,0,0,0,0,1,0,2
2021-02-24,TOR @ MIA,TOR,MIA,Away,L,6.32,5,1,2,50.0,1,2,50.0,2,2,100.0,0,0,0,1,0,0,1,0,-1
2021-02-23,TOR vs. PHI,TOR,PHI,Home,L,7.04,6,3,5,60.0,0,2,0.0,0,0,0.0,0,0,0,4,2,0,1,1,4
2021-02-21,TOR vs. PHI,TOR,PHI,Home,W,2.04,2,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,0,0,0,1,0,0
2021-02-19,TOR @ MIN,TOR,MIN,Away,W,9.13,7,2,4,50.0,1,1,100.0,2,2,100.0,1,1,2,1,1,0,0,0,13
2021-02-18,TOR @ MIL,TOR,MIL,Away,W,6.31,5,1,1,100.0,1,1,100.0,2,2,100.0,0,0,0,0,0,0,0,1,3
2021-02-16,TOR @ MIL,TOR,MIL,Away,W,12.0,5,2,2,100.0,1,1,100.0,0,0,0.0,0,1,1,2,0,0,2,0,8
2021-02-14,TOR vs. MIN,TOR,MIN,Home,L,12.0,3,1,2,50.0,0,0,0.0,1,2,50.0,0,1,1,1,0,0,1,0,4
