Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-05,CHI vs. MIL,CHI,MIL,Home,L,22.1,0,0,6,0.0,0,5,0.0,0,0,0.0,1,2,3,8,0,0,0,4,-16
2022-04-02,CHI vs. MIA,CHI,MIA,Home,L,21.43,0,0,2,0.0,0,1,0.0,0,0,0.0,2,1,3,4,1,0,1,2,-9
2022-03-31,CHI vs. LAC,CHI,LAC,Home,W,33.26,7,3,8,37.5,1,4,25.0,0,0,0.0,1,2,3,7,0,0,0,1,15
2022-03-29,CHI @ WAS,CHI,WAS,Away,W,28.05,2,1,3,33.3,0,1,0.0,0,0,0.0,0,3,3,4,3,0,1,1,9
2022-03-28,CHI @ NYK,CHI,NYK,Away,L,30.17,3,1,4,25.0,1,4,25.0,0,0,0.0,0,5,5,2,2,1,1,6,1
2022-03-26,CHI @ CLE,CHI,CLE,Away,W,38.03,10,3,5,60.0,2,2,100.0,2,2,100.0,2,6,8,7,2,0,0,2,18
2022-03-24,CHI @ NOP,CHI,NOP,Away,L,27.58,11,3,7,42.9,1,3,33.3,4,4,100.0,0,1,1,2,1,0,3,5,-21
2022-03-22,CHI @ MIL,CHI,MIL,Away,L,29.46,3,1,5,20.0,1,3,33.3,0,2,0.0,1,4,5,6,1,0,2,1,-11
2022-03-21,CHI vs. TOR,CHI,TOR,Home,W,32.37,7,2,7,28.6,2,4,50.0,1,2,50.0,0,2,2,6,1,0,0,2,17
2022-03-18,CHI @ PHX,CHI,PHX,Away,L,25.29,8,3,7,42.9,2,4,50.0,0,0,0.0,1,2,3,3,1,0,1,3,-19
2022-03-16,CHI @ UTA,CHI,UTA,Away,L,25.29,2,1,5,20.0,0,2,0.0,0,0,0.0,0,2,2,1,1,1,3,4,-13
2022-03-14,CHI @ SAC,CHI,SAC,Away,L,27.08,6,2,7,28.6,1,4,25.0,1,2,50.0,0,1,1,2,0,1,4,3,-10
2022-03-12,CHI vs. CLE,CHI,CLE,Home,W,29.12,11,4,8,50.0,1,2,50.0,2,2,100.0,0,1,1,4,4,1,1,4,9
2022-01-21,CHI @ MIL,CHI,MIL,Away,L,23.34,7,3,11,27.3,1,6,16.7,0,2,0.0,0,8,8,4,1,1,0,2,2
2022-01-19,CHI vs. CLE,CHI,CLE,Home,W,22.55,9,2,8,25.0,1,4,25.0,4,4,100.0,0,3,3,2,0,1,1,0,18
2021-12-20,CHI vs. HOU,CHI,HOU,Home,W,6.04,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,0,2
2021-12-19,CHI vs. LAL,CHI,LAL,Home,W,37.46,17,6,11,54.5,3,5,60.0,2,4,50.0,2,7,9,2,1,0,3,2,8
2021-12-11,CHI @ MIA,CHI,MIA,Away,L,27.25,6,2,5,40.0,2,3,66.7,0,0,0.0,0,1,1,5,1,0,2,3,-4
2021-12-04,CHI @ BKN,CHI,BKN,Away,W,7.59,6,2,4,50.0,2,4,50.0,0,0,0.0,1,0,1,0,1,0,0,0,-6
2021-12-02,CHI @ NYK,CHI,NYK,Away,W,30.3,6,2,7,28.6,0,3,0.0,2,2,100.0,3,3,6,6,4,0,4,4,21
2021-11-29,CHI vs. CHA,CHI,CHA,Home,W,25.05,14,5,7,71.4,1,3,33.3,3,6,50.0,1,2,3,7,0,1,3,1,-2
2021-11-27,CHI vs. MIA,CHI,MIA,Home,L,34.07,22,6,8,75.0,3,4,75.0,7,7,100.0,2,1,3,6,1,0,2,0,3
2021-11-26,CHI @ ORL,CHI,ORL,Away,W,25.15,4,2,5,40.0,0,1,0.0,0,0,0.0,1,4,5,3,4,0,0,1,38
2021-11-24,CHI @ HOU,CHI,HOU,Away,L,32.49,15,6,10,60.0,3,5,60.0,0,0,0.0,1,3,4,2,3,0,0,2,-6
2021-11-21,CHI vs. NYK,CHI,NYK,Home,W,30.02,7,2,7,28.6,1,4,25.0,2,2,100.0,0,4,4,4,0,0,0,6,17
2021-11-19,CHI @ DEN,CHI,DEN,Away,W,34.18,4,1,8,12.5,0,5,0.0,2,2,100.0,1,3,4,2,1,1,0,3,-7
2021-11-17,CHI @ POR,CHI,POR,Away,L,37.36,12,3,9,33.3,1,4,25.0,5,6,83.3,4,6,10,9,2,2,1,4,5
2021-11-15,CHI @ LAL,CHI,LAL,Away,W,34.27,0,0,1,0.0,0,1,0.0,0,0,0.0,0,6,6,5,2,0,1,4,28
2021-11-14,CHI @ LAC,CHI,LAC,Away,W,38.4,7,2,11,18.2,1,5,20.0,2,2,100.0,3,6,9,5,3,1,1,4,16
2021-11-12,CHI @ GSW,CHI,GSW,Away,L,24.45,4,2,5,40.0,0,3,0.0,0,0,0.0,0,3,3,5,1,0,1,4,-16
2021-11-10,CHI vs. DAL,CHI,DAL,Home,W,22.43,16,6,7,85.7,3,4,75.0,1,1,100.0,0,2,2,1,6,0,2,2,-3
2021-11-08,CHI vs. BKN,CHI,BKN,Home,W,23.58,5,1,4,25.0,1,3,33.3,2,2,100.0,0,4,4,2,2,0,2,1,9
2021-11-06,CHI vs. PHI,CHI,PHI,Home,L,32.13,9,3,7,42.9,0,3,0.0,3,4,75.0,2,1,3,4,1,0,2,3,-14
2021-11-03,CHI @ PHI,CHI,PHI,Away,L,31.55,6,3,6,50.0,0,2,0.0,0,0,0.0,0,3,3,6,2,0,0,4,-1
