Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-05,NOP @ SAC,NOP,SAC,Away,W,33.55,17,5,15,33.3,1,3,33.3,6,8,75.0,0,7,7,8,0,0,2,3,23
2022-04-03,NOP @ LAC,NOP,LAC,Away,L,34.55,15,3,11,27.3,1,2,50.0,8,8,100.0,0,8,8,4,0,0,6,2,-7
2022-04-01,NOP @ LAL,NOP,LAL,Away,W,34.46,29,10,17,58.8,0,2,0.0,9,9,100.0,0,8,8,7,1,2,5,3,-1
2022-03-30,NOP @ POR,NOP,POR,Away,W,27.47,19,4,12,33.3,0,2,0.0,11,13,84.6,1,5,6,6,1,0,1,2,4
2022-03-27,NOP vs. LAL,NOP,LAL,Home,W,25.35,26,10,17,58.8,0,2,0.0,6,7,85.7,1,6,7,5,0,0,1,1,9
2022-03-06,NOP @ DEN,NOP,DEN,Away,L,40.19,38,12,24,50.0,3,7,42.9,11,13,84.6,0,5,5,9,0,1,5,4,-8
2022-03-04,NOP vs. UTA,NOP,UTA,Home,W,30.03,29,11,16,68.8,1,3,33.3,6,6,100.0,1,7,8,6,1,1,5,2,26
2022-03-02,NOP vs. SAC,NOP,SAC,Home,W,31.39,33,15,19,78.9,2,3,66.7,1,2,50.0,0,5,5,6,0,0,3,2,21
2022-02-27,NOP @ LAL,NOP,LAL,Away,W,31.26,19,8,18,44.4,0,2,0.0,3,6,50.0,1,4,5,8,2,0,3,2,29
2022-02-25,NOP @ PHX,NOP,PHX,Away,W,33.35,28,9,17,52.9,0,2,0.0,10,11,90.9,0,5,5,7,0,0,1,1,12
2022-02-17,NOP vs. DAL,NOP,DAL,Home,L,35.1,12,6,21,28.6,0,4,0.0,0,1,0.0,1,4,5,8,1,0,1,1,-11
2022-02-15,NOP vs. MEM,NOP,MEM,Home,L,33.41,18,8,18,44.4,1,3,33.3,1,1,100.0,1,3,4,4,0,0,3,5,-9
2022-02-14,NOP vs. TOR,NOP,TOR,Home,W,28.45,10,4,7,57.1,0,2,0.0,2,3,66.7,0,11,11,8,1,2,2,3,15
2022-02-12,NOP vs. SAS,NOP,SAS,Home,L,35.16,22,9,19,47.4,1,5,20.0,3,3,100.0,0,2,2,2,0,0,3,3,-6
2022-02-10,NOP vs. MIA,NOP,MIA,Home,L,33.16,15,6,12,50.0,1,3,33.3,2,3,66.7,1,2,3,1,0,1,5,5,-15
2022-02-08,NOP vs. HOU,NOP,HOU,Home,W,34.21,26,11,17,64.7,1,3,33.3,3,4,75.0,0,2,2,2,0,3,5,3,-1
2022-02-06,NOP @ HOU,NOP,HOU,Away,W,35.5,33,12,21,57.1,3,5,60.0,6,9,66.7,0,3,3,12,3,1,4,3,16
2022-02-04,NOP @ DEN,NOP,DEN,Away,W,38.28,23,8,20,40.0,0,4,0.0,7,7,100.0,0,4,4,12,1,2,1,1,9
2022-02-01,NOP @ DET,NOP,DET,Away,W,32.2,26,8,18,44.4,1,1,100.0,9,10,90.0,0,3,3,4,1,1,0,1,15
2022-01-20,NOP @ NYK,NOP,NYK,Away,W,26.53,15,4,10,40.0,1,1,100.0,6,8,75.0,0,5,5,6,1,0,3,2,20
2022-01-17,NOP @ BOS,NOP,BOS,Away,L,35.01,15,6,19,31.6,0,4,0.0,3,3,100.0,2,8,10,6,1,0,1,2,-7
2022-01-15,NOP @ BKN,NOP,BKN,Away,L,34.25,22,8,21,38.1,2,6,33.3,4,6,66.7,1,3,4,8,0,1,1,1,-3
2022-01-13,NOP vs. LAC,NOP,LAC,Home,W,33.19,24,10,19,52.6,1,4,25.0,3,4,75.0,0,5,5,6,1,0,1,2,27
2022-01-11,NOP vs. MIN,NOP,MIN,Home,W,36.59,33,11,19,57.9,6,7,85.7,5,5,100.0,0,4,4,9,1,1,5,3,2
2022-01-09,NOP @ TOR,NOP,TOR,Away,L,35.01,22,6,13,46.2,1,2,50.0,9,10,90.0,2,3,5,4,0,0,1,2,4
2022-01-06,NOP vs. GSW,NOP,GSW,Home,W,34.47,32,12,21,57.1,1,4,25.0,7,8,87.5,2,9,11,6,0,0,2,2,-3
2022-01-04,NOP vs. PHX,NOP,PHX,Home,L,33.11,16,5,18,27.8,0,4,0.0,6,8,75.0,1,5,6,5,1,0,5,4,-10
2022-01-03,NOP vs. UTA,NOP,UTA,Home,L,31.28,10,3,18,16.7,1,7,14.3,3,4,75.0,0,4,4,7,0,1,0,3,2
2021-12-26,NOP @ OKC,NOP,OKC,Away,L,8.43,0,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,2,1,0,1,0,-12
2021-12-23,NOP @ ORL,NOP,ORL,Away,W,36.22,31,12,23,52.2,0,1,0.0,7,7,100.0,1,5,6,4,0,0,2,0,2
2021-12-21,NOP vs. POR,NOP,POR,Home,W,37.17,28,12,22,54.5,2,7,28.6,2,5,40.0,1,7,8,8,0,0,3,1,20
2021-12-17,NOP vs. MIL,NOP,MIL,Home,W,42.59,22,6,16,37.5,3,8,37.5,7,9,77.8,0,5,5,5,3,0,3,0,-2
2021-12-15,NOP @ OKC,NOP,OKC,Away,W,37.24,34,11,21,52.4,1,2,50.0,11,15,73.3,0,8,8,4,1,0,2,2,7
2021-12-12,NOP @ SAS,NOP,SAS,Away,L,38.3,27,11,25,44.0,0,4,0.0,5,8,62.5,1,6,7,9,1,0,1,3,0
2021-12-10,NOP vs. DET,NOP,DET,Home,W,33.44,26,9,19,47.4,4,8,50.0,4,4,100.0,0,3,3,5,0,2,0,0,28
2021-12-08,NOP vs. DEN,NOP,DEN,Home,L,43.28,16,6,12,50.0,1,4,25.0,3,3,100.0,0,8,8,5,4,0,6,5,-6
2021-12-05,NOP @ HOU,NOP,HOU,Away,L,37.4,40,15,28,53.6,3,10,30.0,7,8,87.5,1,4,5,4,1,1,0,4,-3
2021-12-03,NOP @ DAL,NOP,DAL,Away,W,37.53,24,7,20,35.0,1,4,25.0,9,11,81.8,2,6,8,12,2,0,2,2,12
2021-12-01,NOP vs. DAL,NOP,DAL,Home,L,30.52,29,11,17,64.7,3,5,60.0,4,4,100.0,0,2,2,3,0,0,2,0,-32
2021-11-29,NOP @ LAC,NOP,LAC,Away,W,34.14,27,12,18,66.7,1,2,50.0,2,4,50.0,1,6,7,4,0,0,1,2,27
2021-11-27,NOP @ UTA,NOP,UTA,Away,L,26.07,11,4,14,28.6,0,4,0.0,3,3,100.0,1,3,4,3,0,1,4,0,-22
2021-11-26,NOP @ UTA,NOP,UTA,Away,W,37.31,21,8,22,36.4,1,4,25.0,4,4,100.0,0,8,8,5,1,0,5,1,-3
2021-11-24,NOP vs. WAS,NOP,WAS,Home,W,31.34,26,9,15,60.0,1,3,33.3,7,8,87.5,2,3,5,3,1,0,0,2,21
2021-11-22,NOP vs. MIN,NOP,MIN,Home,L,36.33,9,2,13,15.4,1,7,14.3,4,4,100.0,2,6,8,4,0,1,6,3,-19
2021-11-20,NOP @ IND,NOP,IND,Away,L,25.49,12,4,14,28.6,1,2,50.0,3,3,100.0,1,2,3,4,0,0,1,1,-22
2021-11-19,NOP vs. LAC,NOP,LAC,Home,W,39.07,17,6,17,35.3,3,5,60.0,2,4,50.0,1,11,12,5,0,0,6,2,21
2021-11-17,NOP @ MIA,NOP,MIA,Away,L,37.28,19,6,14,42.9,1,6,16.7,6,6,100.0,0,4,4,5,0,0,5,2,-13
2021-11-15,NOP @ WAS,NOP,WAS,Away,L,32.07,31,9,23,39.1,2,4,50.0,11,12,91.7,0,5,5,4,0,0,1,1,-2
2021-11-13,NOP vs. MEM,NOP,MEM,Home,W,29.27,19,7,17,41.2,1,4,25.0,4,4,100.0,0,3,3,4,0,1,4,3,10
2021-10-29,NOP vs. SAC,NOP,SAC,Home,L,35.44,22,9,22,40.9,2,6,33.3,2,4,50.0,1,5,6,6,0,0,2,2,6
