Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-09,PHI vs. IND,PHI,IND,Home,W,36.57,41,14,17,82.4,2,2,100.0,11,15,73.3,5,15,20,4,2,1,5,4,11
2022-04-07,PHI @ TOR,PHI,TOR,Away,L,37.2,30,10,22,45.5,0,4,0.0,10,12,83.3,0,10,10,2,1,1,5,2,8
2022-04-05,PHI @ IND,PHI,IND,Away,W,38.39,45,18,30,60.0,2,3,66.7,7,10,70.0,2,11,13,2,0,1,3,1,20
2022-04-03,PHI @ CLE,PHI,CLE,Away,W,38.03,44,12,26,46.2,3,6,50.0,17,20,85.0,4,13,17,3,1,5,3,1,16
2022-04-02,PHI vs. CHA,PHI,CHA,Home,W,31.21,29,12,16,75.0,1,3,33.3,4,6,66.7,2,12,14,6,0,0,4,2,26
2022-03-31,PHI @ DET,PHI,DET,Away,L,36.32,37,11,19,57.9,1,2,50.0,14,16,87.5,0,15,15,3,1,2,7,4,-1
2022-03-29,PHI vs. MIL,PHI,MIL,Home,L,38.35,29,11,21,52.4,3,5,60.0,4,6,66.7,1,13,14,7,1,0,4,2,3
2022-03-27,PHI @ PHX,PHI,PHX,Away,L,37.35,37,14,27,51.9,1,5,20.0,8,12,66.7,7,8,15,2,3,2,4,2,-15
2022-03-25,PHI @ LAC,PHI,LAC,Away,W,27.53,27,9,19,47.4,2,3,66.7,7,8,87.5,2,8,10,2,1,2,3,2,23
2022-03-23,PHI @ LAL,PHI,LAL,Away,W,34.19,30,11,19,57.9,0,1,0.0,8,12,66.7,4,6,10,3,3,3,2,4,2
2022-03-20,PHI vs. TOR,PHI,TOR,Home,L,37.14,21,6,20,30.0,0,3,0.0,9,11,81.8,1,12,13,2,1,1,1,3,7
2022-03-18,PHI vs. DAL,PHI,DAL,Home,W,33.5,32,11,20,55.0,2,6,33.3,8,9,88.9,0,8,8,4,5,1,6,3,5
2022-03-16,PHI @ CLE,PHI,CLE,Away,W,34.29,35,13,19,68.4,1,3,33.3,8,10,80.0,5,12,17,5,0,0,3,3,-1
2022-03-14,PHI vs. DEN,PHI,DEN,Home,L,36.2,34,11,20,55.0,3,3,100.0,9,10,90.0,3,6,9,4,1,2,5,5,2
2022-03-13,PHI @ ORL,PHI,ORL,Away,W,41.17,35,9,28,32.1,2,5,40.0,15,17,88.2,4,12,16,7,1,2,2,1,11
2022-03-10,PHI vs. BKN,PHI,BKN,Home,L,30.28,27,5,17,29.4,2,3,66.7,15,19,78.9,4,8,12,2,0,1,4,4,-30
2022-03-07,PHI vs. CHI,PHI,CHI,Home,W,36.19,43,15,27,55.6,1,3,33.3,12,16,75.0,3,11,14,2,2,3,2,2,14
2022-03-05,PHI @ MIA,PHI,MIA,Away,L,36.09,22,4,15,26.7,0,6,0.0,14,14,100.0,5,10,15,2,2,0,4,3,-12
2022-03-04,PHI vs. CLE,PHI,CLE,Home,W,36.07,22,7,14,50.0,0,4,0.0,8,9,88.9,2,7,9,5,2,0,2,4,-1
2022-03-02,PHI vs. NYK,PHI,NYK,Home,W,34.46,27,7,15,46.7,2,4,50.0,11,13,84.6,1,11,12,4,1,2,4,2,22
2022-02-27,PHI @ NYK,PHI,NYK,Away,W,36.08,37,7,18,38.9,0,4,0.0,23,27,85.2,0,9,9,3,1,4,2,3,18
2022-02-25,PHI @ MIN,PHI,MIN,Away,W,31.21,34,10,18,55.6,3,5,60.0,11,13,84.6,0,10,10,3,1,0,2,3,25
2022-02-17,PHI @ MIL,PHI,MIL,Away,W,37.03,42,14,21,66.7,3,4,75.0,11,14,78.6,2,12,14,5,1,0,6,5,13
2022-02-15,PHI vs. BOS,PHI,BOS,Home,L,26.21,19,3,9,33.3,0,1,0.0,13,16,81.3,0,9,9,6,0,1,3,2,-34
2022-02-12,PHI vs. CLE,PHI,CLE,Home,W,32.46,40,11,22,50.0,4,5,80.0,14,15,93.3,1,13,14,10,3,0,4,4,24
2022-02-11,PHI vs. OKC,PHI,OKC,Home,W,34.38,25,8,25,32.0,1,7,14.3,8,11,72.7,4,15,19,4,1,5,4,1,14
2022-02-08,PHI vs. PHX,PHI,PHX,Home,L,32.31,34,13,25,52.0,2,8,25.0,6,6,100.0,1,11,12,3,3,0,2,3,-4
2022-02-06,PHI @ CHI,PHI,CHI,Away,W,32.01,40,14,23,60.9,2,4,50.0,10,11,90.9,1,9,10,3,0,1,4,4,11
