Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-02-16,POR @ MEM,POR,MEM,Away,W,34.25,32,12,17,70.6,1,2,50.0,7,10,70.0,5,3,8,4,1,1,1,5,6
2022-02-14,POR @ MIL,POR,MIL,Away,W,29.45,23,7,16,43.8,2,2,100.0,7,8,87.5,4,12,16,4,1,0,3,2,28
2022-02-12,POR vs. NYK,POR,NYK,Home,W,33.17,12,5,10,50.0,0,0,0.0,2,2,100.0,4,16,20,6,0,0,5,5,6
2022-02-09,POR vs. LAL,POR,LAL,Home,W,33.21,19,8,11,72.7,0,0,0.0,3,5,60.0,2,10,12,3,0,0,2,3,6
2022-02-08,POR vs. ORL,POR,ORL,Home,L,34.11,14,4,16,25.0,0,3,0.0,6,8,75.0,5,6,11,4,1,2,2,2,-14
2022-02-05,POR vs. MIL,POR,MIL,Home,L,25.1,11,5,6,83.3,0,0,0.0,1,3,33.3,3,7,10,3,0,2,3,2,-36
2022-02-04,POR vs. OKC,POR,OKC,Home,L,32.41,14,6,19,31.6,0,0,0.0,2,3,66.7,7,9,16,2,2,0,3,5,7
2022-02-02,POR @ LAL,POR,LAL,Away,L,35.49,16,7,15,46.7,2,3,66.7,0,3,0.0,5,8,13,4,1,1,3,4,0
2022-01-31,POR @ OKC,POR,OKC,Away,L,30.49,14,7,12,58.3,0,0,0.0,0,0,0.0,4,5,9,1,1,1,2,3,-22
2022-01-30,POR @ CHI,POR,CHI,Away,L,26.05,11,3,5,60.0,1,1,100.0,4,6,66.7,1,3,4,1,0,0,4,1,-12
2022-01-28,POR @ HOU,POR,HOU,Away,W,32.32,25,8,11,72.7,0,0,0.0,9,11,81.8,1,12,13,0,1,1,6,4,9
2022-01-26,POR vs. DAL,POR,DAL,Home,L,30.37,18,7,11,63.6,0,1,0.0,4,7,57.1,2,6,8,3,1,0,2,1,-8
2022-01-25,POR vs. MIN,POR,MIN,Home,L,31.3,20,8,18,44.4,0,0,0.0,4,6,66.7,8,6,14,4,1,0,1,5,9
2022-01-23,POR @ TOR,POR,TOR,Away,W,31.27,11,5,9,55.6,0,1,0.0,1,5,20.0,4,7,11,2,1,2,4,4,-2
2022-01-21,POR @ BOS,POR,BOS,Away,W,37.51,29,9,16,56.3,1,1,100.0,10,13,76.9,6,11,17,6,1,1,5,4,20
2022-01-19,POR @ MIA,POR,MIA,Away,L,27.48,18,6,10,60.0,0,0,0.0,6,8,75.0,7,7,14,2,1,1,2,5,-2
2022-01-17,POR @ ORL,POR,ORL,Away,W,35.39,21,10,21,47.6,0,3,0.0,1,2,50.0,4,18,22,2,4,2,6,3,23
2022-01-15,POR @ WAS,POR,WAS,Away,W,30.55,23,9,15,60.0,0,1,0.0,5,10,50.0,3,11,14,2,2,0,4,6,11
2022-01-13,POR @ DEN,POR,DEN,Away,L,24.58,10,4,9,44.4,0,3,0.0,2,3,66.7,2,6,8,6,1,1,3,4,-11
2022-01-10,POR vs. BKN,POR,BKN,Home,W,32.51,14,4,13,30.8,0,2,0.0,6,8,75.0,2,6,8,3,1,0,2,3,5
2022-01-09,POR vs. SAC,POR,SAC,Home,W,38.27,14,6,12,50.0,1,2,50.0,1,3,33.3,3,13,16,9,2,1,5,3,14
2022-01-07,POR vs. CLE,POR,CLE,Home,L,31.09,14,5,17,29.4,2,2,100.0,2,4,50.0,4,8,12,4,2,1,2,3,-13
2022-01-05,POR vs. MIA,POR,MIA,Home,L,33.12,14,5,7,71.4,0,2,0.0,4,6,66.7,2,11,13,1,2,1,1,4,-13
2022-01-03,POR vs. ATL,POR,ATL,Home,W,26.15,21,8,18,44.4,0,2,0.0,5,7,71.4,5,7,12,5,1,0,2,4,11
2021-12-21,POR @ NOP,POR,NOP,Away,L,32.33,17,6,10,60.0,0,0,0.0,5,8,62.5,0,5,5,4,2,1,3,5,-6
2021-12-19,POR @ MEM,POR,MEM,Away,W,33.36,9,4,10,40.0,0,1,0.0,1,2,50.0,2,9,11,1,0,0,7,3,-2
2021-12-17,POR vs. CHA,POR,CHA,Home,W,14.44,10,5,8,62.5,0,1,0.0,0,0,0.0,1,3,4,2,0,0,0,6,8
2021-12-15,POR vs. MEM,POR,MEM,Home,L,31.27,16,5,11,45.5,0,1,0.0,6,8,75.0,1,11,12,2,2,0,3,4,9
2021-12-14,POR vs. PHX,POR,PHX,Home,L,38.57,17,7,11,63.6,0,1,0.0,3,5,60.0,4,9,13,5,1,0,1,2,-9
2021-12-12,POR vs. MIN,POR,MIN,Home,L,21.15,8,3,6,50.0,0,0,0.0,2,2,100.0,2,5,7,1,1,1,4,5,-22
2021-12-08,POR @ GSW,POR,GSW,Away,L,27.48,12,5,13,38.5,0,1,0.0,2,3,66.7,2,10,12,6,0,0,5,6,-8
2021-12-06,POR vs. LAC,POR,LAC,Home,L,30.03,31,12,19,63.2,1,2,50.0,6,10,60.0,0,5,5,1,0,1,3,5,-9
2021-12-04,POR vs. BOS,POR,BOS,Home,L,19.45,18,6,9,66.7,0,1,0.0,6,7,85.7,2,3,5,1,1,1,1,2,-15
2021-12-02,POR vs. SAS,POR,SAS,Home,L,23.28,10,3,8,37.5,0,0,0.0,4,4,100.0,1,6,7,1,0,0,2,2,-19
2021-11-30,POR vs. DET,POR,DET,Home,W,27.01,13,5,8,62.5,0,0,0.0,3,5,60.0,4,4,8,5,1,1,2,4,12
2021-11-29,POR @ UTA,POR,UTA,Away,L,26.53,24,9,13,69.2,1,1,100.0,5,7,71.4,5,5,10,1,0,0,0,3,-15
2021-11-26,POR @ GSW,POR,GSW,Away,L,23.53,17,6,10,60.0,0,2,0.0,5,8,62.5,1,4,5,3,1,0,1,4,-15
2021-11-24,POR @ SAC,POR,SAC,Away,L,31.53,28,12,17,70.6,0,2,0.0,4,5,80.0,3,14,17,5,1,0,2,6,-1
2021-11-23,POR vs. DEN,POR,DEN,Home,W,24.1,6,2,6,33.3,0,0,0.0,2,2,100.0,2,5,7,3,1,1,2,1,18
