Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-08,CHI vs. CHA,CHI,CHA,Home,L,7.38,6,3,4,75.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,-9
2022-04-06,CHI vs. BOS,CHI,BOS,Home,L,10.09,4,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,0,-11
2022-04-05,CHI vs. MIL,CHI,MIL,Home,L,11.28,6,3,9,33.3,0,2,0.0,0,0,0.0,0,0,0,1,1,0,1,0,-6
2022-04-02,CHI vs. MIA,CHI,MIA,Home,L,8.47,4,1,4,25.0,0,0,0.0,2,2,100.0,0,0,0,0,1,0,0,1,-8
2022-03-31,CHI vs. LAC,CHI,LAC,Home,W,9.27,4,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,-9
2022-03-29,CHI @ WAS,CHI,WAS,Away,W,8.25,3,1,5,20.0,1,1,100.0,0,0,0.0,0,1,1,2,0,0,0,0,3
2022-03-28,CHI @ NYK,CHI,NYK,Away,L,9.26,5,2,3,66.7,1,1,100.0,0,0,0.0,0,2,2,1,0,0,1,0,-1
2022-03-26,CHI @ CLE,CHI,CLE,Away,W,9.31,4,2,5,40.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,14
2022-03-22,CHI @ MIL,CHI,MIL,Away,L,9.27,2,1,5,20.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,1,1,-9
2022-03-21,CHI vs. TOR,CHI,TOR,Home,W,8.0,8,4,4,100.0,0,0,0.0,0,0,0.0,0,3,3,0,0,2,0,0,6
2022-03-18,CHI @ PHX,CHI,PHX,Away,L,8.0,6,3,5,60.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,-3
2022-03-16,CHI @ UTA,CHI,UTA,Away,L,7.2,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,-9
2022-03-14,CHI @ SAC,CHI,SAC,Away,L,8.54,0,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,-7
2022-03-12,CHI vs. CLE,CHI,CLE,Home,W,9.22,8,2,6,33.3,0,2,0.0,4,4,100.0,1,2,3,2,1,0,3,0,5
2022-03-09,CHI @ DET,CHI,DET,Away,W,9.46,6,3,6,50.0,0,1,0.0,0,0,0.0,0,1,1,2,1,0,1,0,5
2022-03-07,CHI @ PHI,CHI,PHI,Away,L,12.0,11,4,6,66.7,0,0,0.0,3,4,75.0,1,1,2,3,0,0,2,0,-5
