Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-10,CLE vs. MIL,CLE,MIL,Home,W,6.04,18,5,8,62.5,5,6,83.3,3,5,60.0,0,4,4,1,1,0,0,0,13
2022-04-08,CLE @ BKN,CLE,BKN,Away,L,7.35,0,0,1,0.0,0,1,0.0,0,0,0.0,2,0,2,0,0,0,1,0,-12
2022-04-05,CLE @ ORL,CLE,ORL,Away,L,5.12,5,2,3,66.7,1,2,50.0,0,0,0.0,0,1,1,1,0,0,0,0,0
2022-04-03,CLE vs. PHI,CLE,PHI,Home,L,5.39,5,2,4,50.0,1,3,33.3,0,0,0.0,0,2,2,1,0,0,0,2,0
2022-04-02,CLE @ NYK,CLE,NYK,Away,W,5.01,5,2,2,100.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,9
2022-03-31,CLE @ ATL,CLE,ATL,Away,L,5.46,6,2,3,66.7,2,2,100.0,0,0,0.0,0,1,1,1,0,0,0,2,-4
2022-03-30,CLE vs. DAL,CLE,DAL,Home,L,7.27,3,1,4,25.0,1,4,25.0,0,0,0.0,0,1,1,1,0,0,0,0,-4
2022-03-28,CLE vs. ORL,CLE,ORL,Home,W,6.41,0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,4
2022-03-26,CLE vs. CHI,CLE,CHI,Home,L,4.18,0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,-2
2022-03-24,CLE @ TOR,CLE,TOR,Away,L,10.14,2,1,3,33.3,0,2,0.0,0,0,0.0,0,3,3,1,2,0,1,0,-4
2022-03-21,CLE vs. LAL,CLE,LAL,Home,L,5.34,6,2,4,50.0,2,4,50.0,0,0,0.0,1,1,2,2,0,0,1,0,-2
2022-03-19,CLE vs. DET,CLE,DET,Home,W,4.26,2,1,2,50.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,2,-3
2022-03-18,CLE vs. DEN,CLE,DEN,Home,W,5.08,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-6
2022-03-16,CLE vs. PHI,CLE,PHI,Home,L,4.59,4,2,5,40.0,0,2,0.0,0,0,0.0,2,3,5,0,0,0,1,0,5
2022-03-14,CLE vs. LAC,CLE,LAC,Home,W,3.51,5,1,5,20.0,1,3,33.3,2,2,100.0,0,3,3,0,0,0,0,0,4
2022-03-12,CLE @ CHI,CLE,CHI,Away,L,7.46,0,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,0,-3
2022-03-11,CLE @ MIA,CLE,MIA,Away,L,7.02,3,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,0,1,0,1,2,0
2022-03-08,CLE @ IND,CLE,IND,Away,W,6.29,4,2,6,33.3,0,2,0.0,0,0,0.0,1,3,4,0,0,0,1,0,0
2022-03-06,CLE vs. TOR,CLE,TOR,Home,W,4.42,6,2,3,66.7,2,2,100.0,0,0,0.0,0,0,0,0,0,0,0,0,1
2022-03-04,CLE @ PHI,CLE,PHI,Away,L,5.4,9,3,3,100.0,3,3,100.0,0,0,0.0,0,3,3,2,0,0,0,0,2
2022-03-02,CLE vs. CHA,CLE,CHA,Home,L,6.04,5,1,4,25.0,1,3,33.3,2,2,100.0,0,1,1,2,0,0,0,0,-6
2022-02-28,CLE vs. MIN,CLE,MIN,Home,L,6.11,6,2,6,33.3,2,5,40.0,0,0,0.0,0,2,2,1,1,0,0,0,1
2022-02-26,CLE vs. WAS,CLE,WAS,Home,W,4.08,2,1,4,25.0,0,0,0.0,0,0,0.0,1,2,3,0,0,1,1,0,-1
2022-02-24,CLE @ DET,CLE,DET,Away,L,4.37,3,1,3,33.3,1,3,33.3,0,0,0.0,0,1,1,0,0,0,2,1,2
2022-02-15,CLE @ ATL,CLE,ATL,Away,L,6.1,14,4,5,80.0,4,5,80.0,2,2,100.0,0,2,2,1,0,0,0,0,8
2022-02-12,CLE @ PHI,CLE,PHI,Away,L,5.33,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-7
2022-02-11,CLE @ IND,CLE,IND,Away,W,6.36,10,3,4,75.0,3,3,100.0,1,2,50.0,0,1,1,0,0,0,0,0,-15
2022-02-09,CLE vs. SAS,CLE,SAS,Home,W,6.31,0,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,5
2022-02-06,CLE vs. IND,CLE,IND,Home,W,6.58,0,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,0,-7
2022-02-04,CLE @ CHA,CLE,CHA,Away,W,5.41,0,0,3,0.0,0,2,0.0,0,0,0.0,0,3,3,1,0,0,0,0,-1
2022-02-02,CLE @ HOU,CLE,HOU,Away,L,7.13,2,1,5,20.0,0,2,0.0,0,0,0.0,1,2,3,1,0,0,1,0,-6
2022-01-31,CLE vs. NOP,CLE,NOP,Home,W,5.37,2,1,3,33.3,0,1,0.0,0,0,0.0,0,2,2,0,0,2,0,1,5
2022-01-30,CLE @ DET,CLE,DET,Away,L,6.35,6,3,6,50.0,0,1,0.0,0,0,0.0,1,2,3,1,1,0,0,0,-8
2022-01-26,CLE vs. MIL,CLE,MIL,Home,W,6.1,8,3,5,60.0,2,3,66.7,0,0,0.0,1,1,2,0,0,0,0,0,-6
2022-01-24,CLE vs. NYK,CLE,NYK,Home,W,7.43,6,2,5,40.0,2,5,40.0,0,0,0.0,0,6,6,1,1,0,1,0,3
2022-01-22,CLE vs. OKC,CLE,OKC,Home,W,4.28,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,0,-3
2022-01-19,CLE @ CHI,CLE,CHI,Away,L,4.45,2,1,3,33.3,0,1,0.0,0,0,0.0,1,2,3,1,0,0,0,0,1
2022-01-17,CLE vs. BKN,CLE,BKN,Home,W,4.06,3,0,3,0.0,0,1,0.0,3,3,100.0,0,1,1,2,0,0,0,0,5
2022-01-15,CLE @ OKC,CLE,OKC,Away,W,6.09,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-6
2022-01-14,CLE @ SAS,CLE,SAS,Away,W,5.57,4,2,3,66.7,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,3
2022-01-12,CLE @ UTA,CLE,UTA,Away,W,4.31,3,0,2,0.0,0,2,0.0,3,3,100.0,0,0,0,0,0,0,0,0,-8
2022-01-10,CLE @ SAC,CLE,SAC,Away,W,5.36,3,0,2,0.0,0,2,0.0,3,4,75.0,0,1,1,1,0,0,0,0,2
2022-01-09,CLE @ GSW,CLE,GSW,Away,L,6.16,0,0,3,0.0,0,2,0.0,0,0,0.0,0,5,5,1,0,0,1,0,-5
2022-01-07,CLE @ POR,CLE,POR,Away,W,6.52,3,1,3,33.3,1,2,50.0,0,0,0.0,0,1,1,1,0,0,0,0,4
2022-01-04,CLE vs. MEM,CLE,MEM,Home,L,8.05,6,2,4,50.0,1,2,50.0,1,1,100.0,1,3,4,1,0,0,2,0,-2
2022-01-02,CLE vs. IND,CLE,IND,Home,W,5.44,5,2,2,100.0,1,1,100.0,0,0,0.0,0,1,1,0,1,0,0,0,-2
2021-12-31,CLE vs. ATL,CLE,ATL,Home,L,5.31,9,3,5,60.0,3,4,75.0,0,0,0.0,0,2,2,1,0,0,1,0,5
2021-12-30,CLE @ WAS,CLE,WAS,Away,L,9.02,11,4,7,57.1,3,5,60.0,0,0,0.0,0,3,3,0,1,0,0,0,-1
2021-12-28,CLE @ NOP,CLE,NOP,Away,L,7.14,12,4,5,80.0,4,4,100.0,0,0,0.0,0,0,0,0,0,0,0,0,12
