Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-08,CHI vs. CHA,CHI,CHA,Home,L,8.42,4,2,4,50.0,0,0,0.0,0,0,0.0,1,1,2,2,0,0,0,0,-9
2022-04-06,CHI vs. BOS,CHI,BOS,Home,L,8.51,4,2,4,50.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,2,1,-12
2022-04-05,CHI vs. MIL,CHI,MIL,Home,L,9.27,2,1,5,20.0,0,2,0.0,0,0,0.0,0,4,4,0,1,0,1,0,-9
2022-04-02,CHI vs. MIA,CHI,MIA,Home,L,10.01,6,3,4,75.0,0,1,0.0,0,0,0.0,2,0,2,1,0,0,0,0,3
2022-03-31,CHI vs. LAC,CHI,LAC,Home,W,9.01,8,3,5,60.0,2,2,100.0,0,0,0.0,1,1,2,1,0,0,2,0,-6
2022-03-29,CHI @ WAS,CHI,WAS,Away,W,9.54,15,7,11,63.6,1,2,50.0,0,0,0.0,1,0,1,0,0,0,0,0,1
2022-03-28,CHI @ NYK,CHI,NYK,Away,L,9.42,4,2,4,50.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,9
2022-03-26,CHI @ CLE,CHI,CLE,Away,W,10.11,10,4,6,66.7,1,2,50.0,1,1,100.0,0,2,2,0,1,0,0,1,8
2022-03-24,CHI @ NOP,CHI,NOP,Away,L,6.11,7,3,4,75.0,1,1,100.0,0,0,0.0,0,1,1,0,1,0,0,1,-3
2022-03-22,CHI @ MIL,CHI,MIL,Away,L,9.3,11,4,5,80.0,3,3,100.0,0,0,0.0,0,1,1,0,0,0,0,0,-5
2022-03-21,CHI vs. TOR,CHI,TOR,Home,W,8.5,4,2,5,40.0,0,1,0.0,0,2,0.0,2,2,4,1,0,0,1,1,-2
2022-03-18,CHI @ PHX,CHI,PHX,Away,L,5.58,6,3,6,50.0,0,0,0.0,0,0,0.0,2,0,2,0,1,0,0,0,-5
2022-03-16,CHI @ UTA,CHI,UTA,Away,L,5.46,4,2,4,50.0,0,1,0.0,0,0,0.0,0,2,2,0,1,0,0,2,-5
2022-03-14,CHI @ SAC,CHI,SAC,Away,L,8.35,4,2,6,33.3,0,1,0.0,0,0,0.0,0,4,4,1,0,0,0,0,-7
2022-03-12,CHI vs. CLE,CHI,CLE,Home,W,8.07,7,3,6,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,1,2,1,-4
2022-03-09,CHI @ DET,CHI,DET,Away,W,6.47,6,3,3,100.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,0,0,8
2022-03-04,CHI vs. MIL,CHI,MIL,Home,L,9.41,6,3,5,60.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,2,1,-2
2022-03-03,CHI @ ATL,CHI,ATL,Away,L,9.05,6,3,4,75.0,0,0,0.0,0,0,0.0,0,3,3,3,0,0,0,0,4
2022-02-28,CHI @ MIA,CHI,MIA,Away,L,8.25,4,2,4,50.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,-13
2022-02-26,CHI vs. MEM,CHI,MEM,Home,L,9.51,8,4,6,66.7,0,1,0.0,0,0,0.0,1,4,5,0,0,1,1,1,-9
2022-02-24,CHI vs. ATL,CHI,ATL,Home,W,8.53,0,0,1,0.0,0,1,0.0,0,0,0.0,0,5,5,0,1,1,1,0,8
2022-02-16,CHI vs. SAC,CHI,SAC,Home,W,9.44,9,4,7,57.1,1,2,50.0,0,0,0.0,1,2,3,2,0,0,1,1,0
2022-02-14,CHI vs. SAS,CHI,SAS,Home,W,10.12,12,6,9,66.7,0,1,0.0,0,0,0.0,0,6,6,1,0,0,1,0,4
2022-02-12,CHI vs. OKC,CHI,OKC,Home,W,8.12,4,2,4,50.0,0,0,0.0,0,0,0.0,1,4,5,0,1,0,3,0,-9
2022-02-11,CHI vs. MIN,CHI,MIN,Home,W,9.05,8,4,4,100.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,6
2022-02-09,CHI @ CHA,CHI,CHA,Away,W,8.5,4,2,2,100.0,0,0,0.0,0,0,0.0,0,3,3,2,0,2,1,1,3
2022-02-07,CHI vs. PHX,CHI,PHX,Home,L,9.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,0,-5
2022-02-06,CHI vs. PHI,CHI,PHI,Home,L,9.19,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,1,1,-6
2022-02-04,CHI @ IND,CHI,IND,Away,W,7.59,13,6,7,85.7,1,1,100.0,0,0,0.0,2,4,6,0,0,0,1,0,8
2022-02-03,CHI @ TOR,CHI,TOR,Away,L,9.07,5,2,4,50.0,1,1,100.0,0,0,0.0,1,5,6,0,1,0,1,0,0
2022-02-01,CHI vs. ORL,CHI,ORL,Home,W,9.55,6,3,7,42.9,0,2,0.0,0,0,0.0,1,3,4,0,0,1,0,1,-1
2022-01-30,CHI vs. POR,CHI,POR,Home,W,9.46,7,3,3,100.0,1,1,100.0,0,0,0.0,0,2,2,2,1,0,0,0,-4
2022-01-28,CHI @ SAS,CHI,SAS,Away,L,9.13,8,4,7,57.1,0,2,0.0,0,0,0.0,0,1,1,3,0,0,0,0,5
2022-01-26,CHI vs. TOR,CHI,TOR,Home,W,9.16,6,3,3,100.0,0,0,0.0,0,0,0.0,1,4,5,4,0,0,1,1,12
2022-01-24,CHI @ OKC,CHI,OKC,Away,W,9.27,2,1,2,50.0,0,0,0.0,0,0,0.0,2,0,2,2,0,0,1,0,2
2022-01-23,CHI @ ORL,CHI,ORL,Away,L,8.03,2,1,4,25.0,0,1,0.0,0,0,0.0,1,3,4,0,0,0,0,2,-2
2022-01-21,CHI @ MIL,CHI,MIL,Away,L,9.13,3,1,3,33.3,1,2,50.0,0,0,0.0,0,2,2,1,1,0,0,0,2
2022-01-19,CHI vs. CLE,CHI,CLE,Home,W,10.31,6,3,7,42.9,0,2,0.0,0,0,0.0,0,3,3,1,0,0,1,1,-3
2022-01-17,CHI @ MEM,CHI,MEM,Away,L,8.44,0,0,3,0.0,0,1,0.0,0,0,0.0,0,5,5,0,0,0,1,0,-3
2022-01-15,CHI @ BOS,CHI,BOS,Away,L,10.04,7,3,6,50.0,1,2,50.0,0,0,0.0,1,4,5,4,0,0,0,0,-8
2022-01-14,CHI vs. GSW,CHI,GSW,Home,L,10.19,6,3,5,60.0,0,2,0.0,0,0,0.0,0,2,2,3,0,0,0,0,-3
2022-01-12,CHI vs. BKN,CHI,BKN,Home,L,8.58,4,2,3,66.7,0,1,0.0,0,0,0.0,0,2,2,1,0,1,0,0,-3
