Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-03-16,SAC vs. MIL,SAC,MIL,Home,L,5.58,0,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,2,0,-8
2022-03-14,SAC vs. CHI,SAC,CHI,Home,W,9.47,5,2,5,40.0,1,2,50.0,0,0,0.0,1,0,1,3,1,0,1,0,14
2022-03-12,SAC @ UTA,SAC,UTA,Away,L,8.5,2,1,7,14.3,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,0,-3
2022-03-09,SAC vs. DEN,SAC,DEN,Home,L,7.21,8,2,4,50.0,1,2,50.0,3,3,100.0,0,0,0,0,0,0,0,1,-4
2022-03-07,SAC vs. NYK,SAC,NYK,Home,L,7.39,7,3,3,100.0,0,0,0.0,1,1,100.0,0,1,1,1,0,0,0,1,1
2022-03-05,SAC @ DAL,SAC,DAL,Away,L,6.37,12,4,8,50.0,1,1,100.0,3,3,100.0,0,0,0,0,0,0,0,0,3
2022-03-03,SAC @ SAS,SAC,SAS,Away,W,12.0,10,5,7,71.4,0,1,0.0,0,0,0.0,0,1,1,5,0,1,0,0,10
2022-03-02,SAC @ NOP,SAC,NOP,Away,L,8.16,7,3,7,42.9,0,2,0.0,1,2,50.0,0,0,0,0,0,0,0,1,-2
2022-02-28,SAC @ OKC,SAC,OKC,Away,W,8.25,4,2,3,66.7,0,0,0.0,0,1,0.0,0,2,2,3,0,1,0,2,3
2022-02-26,SAC @ DEN,SAC,DEN,Away,L,7.55,4,1,2,50.0,0,0,0.0,2,2,100.0,0,1,1,3,0,1,0,2,10
2022-02-24,SAC vs. DEN,SAC,DEN,Home,L,9.34,5,2,5,40.0,0,0,0.0,1,2,50.0,0,1,1,1,0,0,0,0,3
2022-02-16,SAC @ CHI,SAC,CHI,Away,L,7.36,5,2,3,66.7,0,1,0.0,1,2,50.0,0,1,1,3,1,0,1,0,1
2022-02-14,SAC @ BKN,SAC,BKN,Away,L,9.08,12,4,7,57.1,2,3,66.7,2,2,100.0,0,0,0,0,0,0,1,0,5
