Date,Matchup,Team,Away,Home/Away_game,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2022-04-10,BOS @ MEM,BOS,MEM,Away,W,9.31,12,4,4,100.0,3,3,100.0,1,1,100.0,0,3,3,2,1,0,4,1,18
2022-04-06,BOS @ CHI,BOS,CHI,Away,W,9.18,5,2,6,33.3,1,2,50.0,0,1,0.0,0,2,2,5,1,0,1,1,2
2022-04-03,BOS vs. WAS,BOS,WAS,Home,W,7.44,10,4,5,80.0,0,1,0.0,2,5,40.0,0,0,0,3,1,0,1,1,-2
2022-04-01,BOS vs. IND,BOS,IND,Home,W,9.04,10,2,7,28.6,1,3,33.3,5,6,83.3,1,2,3,1,0,0,0,0,-1
2022-03-30,BOS vs. MIA,BOS,MIA,Home,L,9.29,6,3,6,50.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,2,1,-8
2022-03-27,BOS vs. MIN,BOS,MIN,Home,W,8.34,10,4,7,57.1,1,3,33.3,1,1,100.0,0,2,2,2,1,0,0,0,20
2022-03-23,BOS vs. UTA,BOS,UTA,Home,W,8.32,8,2,5,40.0,1,2,50.0,3,3,100.0,0,1,1,1,0,0,0,1,4
2022-03-21,BOS @ OKC,BOS,OKC,Away,W,8.33,14,5,9,55.6,2,5,40.0,2,2,100.0,0,0,0,2,1,1,0,0,-1
2022-03-20,BOS @ DEN,BOS,DEN,Away,W,8.55,9,3,5,60.0,3,4,75.0,0,0,0.0,0,2,2,2,0,0,3,1,11
2022-03-18,BOS @ SAC,BOS,SAC,Away,W,10.15,17,6,6,100.0,5,5,100.0,0,0,0.0,0,1,1,1,0,0,0,0,17
2022-03-16,BOS @ GSW,BOS,GSW,Away,W,9.26,7,0,3,0.0,0,1,0.0,7,7,100.0,0,3,3,0,0,0,2,1,11
2022-03-13,BOS vs. DAL,BOS,DAL,Home,L,10.39,11,3,7,42.9,1,2,50.0,4,5,80.0,3,2,5,1,0,0,0,0,7
2022-03-11,BOS vs. DET,BOS,DET,Home,W,8.53,9,3,6,50.0,1,1,100.0,2,2,100.0,1,2,3,2,0,0,0,0,0
2022-03-09,BOS @ CHA,BOS,CHA,Away,W,8.45,6,2,3,66.7,1,2,50.0,1,1,100.0,0,2,2,1,2,0,2,1,6
